gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.4892267;0.29497156;0.29970577;2.8799999;6.0;-49.32;-2.066196;-0.40701428;8.011298;
-0.8636871;0.34078646;0.51595205;3.3;8.82;-47.94;-4.402937;-1.5346833;6.524499;
-1.1697305;0.44646615;1.164691;6.3599997;11.34;-45.539997;-6.514922;-2.0757728;7.472603;
-1.8496236;0.20212004;2.5818982;9.84;14.16;-42.719997;-8.973767;-3.3997664;8.5476;
-1.6761379;0.7164686;2.864729;14.04;14.46;-37.32;-8.013692;-2.0805612;11.863568;
-1.2008847;0.65965813;3.852498;16.859999;12.719999;-36.36;-13.822025;-3.1651347;14.078205;
-0.47090074;0.18990274;6.1310253;18.779999;10.44;-37.079998;-11.0495405;-4.072537;18.847754;
0.55290943;-0.20960313;5.9691463;17.699999;4.44;-38.04;-5.4830213;-1.9536686;21.718403;
2.3024275;-0.2945134;4.919069;13.98;-2.1599998;-39.059998;-3.809175;-2.1260512;25.930101;
3.0458505;-1.1869875;4.1799216;8.34;-8.88;-39.3;-2.566584;-2.7461493;23.356035;
3.637168;-2.5473845;3.9111412;-0.78;-15.36;-37.62;0.6512229;-5.0017867;21.96261;
3.5595882;-2.4331527;2.270968;-10.86;-20.46;-35.579998;1.8531121;-5.614702;16.362574;
2.9963703;-3.750178;1.5495361;-19.199999;-25.92;-29.88;3.5577838;-4.24492;12.41184;
1.9322431;-3.8033233;0.3852269;-26.039999;-28.68;-20.699999;2.5474305;-3.5745432;8.095096;
0.60788727;-4.04095;-0.34231362;-29.099998;-30.359999;-12.719999;1.7956513;-2.4468741;7.1829042;
0.7514406;-4.4422884;-0.46631926;-30.779999;-32.219997;-4.98;1.3000516;-0.82360536;6.3066263;
-0.38965568;-3.9432116;-1.2702179;-29.88;-33.059998;3.6;1.4676456;-0.08379706;2.9257145;
-1.0823768;-3.3158529;-1.8016707;-24.779999;-35.88;9.78;-0.2657564;0.7517793;5.9235544;
-0.32490396;-3.0128636;-1.4797447;-21.66;-37.92;11.759999;-1.4748282;1.7501614;2.6886885;
-1.2870167;-3.2602642;-1.2408963;-14.94;-40.559998;15.299999;-0.94570965;2.420538;0.7062895;
-1.6712509;-2.8015044;-1.3166437;-10.5;-41.46;15.12;-1.292869;3.2321723;2.552219;
-1.7824284;-2.3305273;-1.4430928;-5.16;-44.399998;13.44;-2.042254;2.882619;1.3862427;
-1.9418643;-2.643901;-1.0826823;-0.53999996;-45.6;9.599999;-2.906561;1.9991584;2.1739352;
-2.205758;-1.5822173;-1.2292899;3.6;-45.3;4.5;-3.4213142;1.4173675;2.5234885;
-2.645581;-1.1546117;-1.2274574;5.4;-45.18;-0.59999996;-5.0329113;-0.23463176;2.2505496;
-3.2271247;-0.84062696;-0.802906;8.639999;-44.219997;-7.8599997;-5.3393693;0.24660277;5.296273;
-3.429321;-0.36537376;-0.9006444;9.78;-41.7;-13.92;-6.5340757;0.21308395;8.593089;
-3.497127;0.96203643;-1.5744288;10.92;-38.28;-22.199999;-10.743082;0.38067806;11.899482;
-4.345619;0.6187301;-0.32704198;12.36;-32.399998;-29.519999;-10.922647;-0.25139117;14.739305;
-3.9656608;1.1642329;0.07857254;11.94;-23.699999;-37.62;-10.199598;1.328782;18.342577;
-3.2973742;1.1477394;0.7254788;11.04;-12.9;-44.219997;-5.992986;2.2816741;21.92191;
-2.7671432;0.97730803;1.2917509;13.32;0.24;-45.18;-3.9959226;1.1827357;20.67932;
-1.8148043;1.0958159;1.0907762;14.58;7.7999997;-42.059998;-1.0390835;0.8834604;19.350536;
-1.2185998;0.51854825;1.1433107;19.32;11.759999;-37.92;-0.8283938;-0.062249243;15.555727;
-0.94493216;0.65904725;0.78717625;22.32;13.32;-35.04;-2.1787236;-1.2449849;12.636896;
-0.94309956;0.070173144;1.2343296;24.6;14.099999;-33.059998;-2.1883004;-2.315193;11.631331;
-0.39759693;-0.28107437;1.1219304;26.939999;14.4;-33.059998;-1.364695;-2.4971523;10.379164;
-0.31451926;-0.14668402;0.7230354;26.16;13.5;-32.46;-1.3575124;-2.8778305;9.126996;
-0.34078646;-0.25847235;0.46891543;27.9;12.66;-32.94;-1.043872;-3.241749;8.384793;
-0.44463354;-0.4124104;0.36506835;26.88;12.54;-33.3;-3.071761;-3.1052797;9.5292225;
-0.008475755;-0.46922088;0.37178785;25.92;12.9;-33.42;-3.6128504;-2.4995465;9.404723;
0.06299548;0.1465313;-0.09674578;25.619999;12.96;-33.899998;-3.4715924;-2.420538;9.237129;
0.22915083;-0.10881037;-0.06742425;25.38;13.74;-34.32;-4.3646297;-3.2704794;8.001721;
0.004352415;-0.17783815;0.21174116;25.8;13.259999;-34.38;-3.632004;-3.1364043;7.927501;
-0.05245805;-0.26213756;0.16226108;25.92;13.139999;-33.54;-3.3279405;-2.8898015;8.988132;
0.015347989;0.010919216;-0.006337727;24.48;13.799999;-34.44;-3.6415808;-2.6982653;8.638579;
-0.044516806;-0.03611741;0.05169447;24.48;13.38;-34.62;-3.9839516;-2.3822308;8.712799;
-0.032910366;-0.10881037;0.12927435;25.5;12.66;-34.739998;-3.8762126;-2.3056161;8.638579;
-0.11598804;-0.021456642;0.13477215;25.439999;13.139999;-33.899998;-4.0078936;-2.4420857;8.691252;
-0.00908662;-0.14118622;0.20257819;24.9;11.639999;-34.32;-3.8139634;-2.5306711;8.518868;
