gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.2585487;-0.40301836;0.24930938;-11.759999;-5.52;-37.98;3.265691;-0.40701428;9.148544;
-0.12782355;-0.36758816;0.34093916;-10.8;-5.22;-39.12;2.8802247;-0.61770403;8.863634;
0.23258694;-0.38224894;0.80092067;-13.38;-4.8599997;-38.1;2.4349031;-1.0103531;10.369587;
0.463494;-0.6082691;1.2328024;-14.28;-5.04;-37.92;1.1324574;-1.0630256;10.568306;
1.2374603;-0.9992228;1.833283;-17.039999;-4.62;-37.079998;0.2705448;-1.6783354;12.605771;
1.7573066;-0.5856671;2.4691937;-19.56;-6.06;-36.84;0.29688102;-1.9728222;13.939342;
3.7707183;-0.70356405;2.9591076;-23.22;-9.24;-33.96;3.7541082;-0.45489833;13.977649;
3.7383425;0.42653665;2.373288;-26.22;-13.559999;-31.199999;5.315427;1.769315;14.516344;
4.1916046;1.1992812;2.1924717;-28.8;-16.98;-28.5;7.1350203;2.5354595;16.534956;
4.3730316;1.150412;1.4014013;-30.9;-20.88;-25.92;7.8341274;5.71047;14.1308775;
4.8311806;1.5590808;0.33544138;-31.08;-25.32;-22.02;10.321703;5.099949;13.968072;
5.273447;0.70509124;0.23403774;-28.98;-29.22;-17.76;11.315296;5.4375315;13.197139;
5.132337;0.5309946;-0.40798163;-29.82;-32.88;-10.5;12.531551;5.418378;10.043976;
5.0529246;-0.20143281;-0.8080984;-29.699999;-34.5;-0.65999997;11.719916;5.7607484;6.514922;
5.009553;-1.2124147;-0.7024187;-27.599998;-35.16;9.12;10.446201;5.6913166;4.2185836;
4.0138426;-1.8232801;-1.0988702;-24.66;-32.16;22.619999;9.857227;5.7846904;0.20350714;
3.3431127;-2.6467264;-0.58818686;-20.939999;-28.92;29.16;9.047988;4.271256;-3.040636;
2.6583328;-3.7084103;-0.13187054;-15.299999;-23.64;37.38;5.96665;3.040636;-3.1387985;
2.0260873;-4.2178717;0.49426633;-6.7799997;-19.199999;41.1;4.5298295;2.1930888;-2.8514943;
2.2203424;-4.66136;1.2419654;3.1799998;-13.74;43.2;2.669535;1.4101849;-1.2473791;
2.3553436;-4.6473103;1.9359083;12.9;-8.7;42.42;1.0199299;1.7046716;-2.6839;
2.3834434;-4.5642323;2.7569113;19.92;-3.24;39.36;-0.20111294;1.7645266;-4.086902;
1.515404;-4.020562;2.6799421;24.66;-0.96;35.7;-0.6368576;2.669535;-4.8937483;
0.041996986;-3.5330918;2.1857522;29.939999;-1.56;32.399998;0.5722142;4.3718123;-4.3047748;
-0.28420505;-3.319289;1.6029868;33.719997;-7.02;28.859999;-2.1045034;2.5737667;-3.3087866;
-0.39354995;-3.3980906;2.4117723;37.14;-14.88;23.16;-2.5617957;2.2864625;-1.412579;
-0.44608435;-3.2575917;2.462474;39.239998;-22.56;14.82;-0.521936;4.06296;-1.0821792;
-0.63606346;-2.894127;2.348853;36.36;-25.98;6.54;1.1611878;4.4675803;0.48602295;
-1.9231565;-1.9961549;2.1466568;32.219997;-30.599998;0.24;0.79487497;3.5122938;3.3901896;
-1.9103284;-2.535549;2.0849595;27.779999;-33.059998;-6.48;-0.6991069;2.4133554;6.2252235;
-0.7637343;-2.0657935;3.1032717;18.9;-34.32;-14.58;3.6224272;5.2507834;7.6593504;
-0.9512699;-1.2899947;2.8595366;15.0;-35.219997;-16.74;3.6583402;6.208464;7.4079595;
-0.8535315;-0.268628;3.4624605;5.46;-35.34;-19.5;4.2880154;6.071995;7.252336;
-1.223105;-0.3315471;3.4734561;0.42;-35.579998;-20.64;7.010522;5.3441577;11.935394;
-1.4362969;0.13881913;3.1582496;-7.02;-33.12;-24.42;9.804555;8.466196;8.348881;
-0.8425359;0.60246587;2.8222737;-11.639999;-30.179998;-26.099998;10.515634;9.136573;9.81892;
-1.3171781;0.311694;2.9963703;-15.36;-26.76;-29.34;9.854834;5.992986;12.5147915;
-1.0483974;0.8046622;2.8919125;-17.52;-22.74;-31.56;9.79019;6.5891423;10.61619;
1.1562152;1.1461359;3.3775504;-19.32;-18.96;-33.84;14.061446;8.03524;9.392753;
-0.4552473;1.0031935;2.5846472;-20.34;-17.16;-34.62;10.2618475;4.4077253;12.031163;
2.5098925;1.9084958;3.093498;-20.279999;-15.179999;-35.94;14.310443;5.753566;6.869264;
-0.35323283;1.0367911;1.6066519;-19.439999;-15.299999;-35.04;8.894758;2.801216;7.2930374;
1.5899295;1.444849;1.7703638;-20.34;-14.16;-36.0;11.870751;3.4883518;5.8517284;
0.3052799;1.2780828;1.1246793;-19.619999;-15.719999;-37.2;9.957784;2.3439236;6.2395887;
0.52519137;1.0942124;1.0782535;-18.359999;-14.58;-37.079998;7.949049;0.82599956;6.6609683;
0.7530441;0.80954915;0.94447404;-17.16;-14.5199995;-37.5;7.7575126;0.9696517;5.5069633;
0.61376685;0.36850446;1.2211959;-17.22;-14.7;-38.1;8.3033905;1.532289;4.6519337;
0.5917757;-0.5013676;0.599946;-17.279999;-15.36;-37.5;7.1469913;2.1883004;5.406407;
-0.09850202;-0.062155537;0.26213756;-19.08;-15.42;-36.18;6.5652003;1.3503298;6.6035075;
-0.28787026;-0.25885415;0.14851661;-18.84;-15.78;-36.6;6.014534;1.3215994;6.854899;
