gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11110111;0.45990518;0.032757647;-5.3399997;-7.44;-43.32;-3.2225955;4.0318356;8.492533;
-0.37927097;0.16913332;0.6344599;-4.56;-7.74;-43.44;-3.952827;3.6128504;7.412748;
-0.5460372;0.4928919;0.7682394;-3.54;-6.72;-44.7;-4.3837833;3.727772;7.2355766;
-0.682871;1.013349;1.4475216;-3.24;-4.8599997;-45.059998;-8.724771;3.9025488;7.3002205;
-0.80137885;1.1428525;2.4633904;-1.62;-3.84;-45.059998;-7.814974;4.7261543;8.9163065;
-0.39393172;1.6132188;2.847014;0.96;-1.5;-46.2;-7.424719;4.9993925;10.022428;
-0.15202908;2.1361194;3.0974686;4.74;-0.35999998;-47.039997;-8.123826;4.8099513;10.88434;
0.13629931;1.680414;4.2587233;9.78;-1.0799999;-45.719997;-3.5889084;5.3920417;13.19235;
0.9524153;1.5924493;2.9899564;13.08;-2.7;-45.18;-0.90500826;8.866028;12.869133;
1.7917441;1.36704;2.4890468;15.299999;-6.3599997;-43.379997;-2.0326772;8.957007;14.202703;
2.2285128;1.1941652;2.1231384;16.14;-12.24;-42.059998;-3.3183637;8.995315;13.450925;
2.336025;0.3768275;2.7370582;15.96;-18.119999;-40.98;0.074220255;9.00968;12.7135105;
2.6567292;-0.19372064;2.4456754;13.139999;-24.72;-37.079998;2.3463178;8.111855;11.777377;
2.6707792;-0.6194937;1.7590629;9.66;-31.8;-33.0;3.940856;6.632238;12.076653;
2.4337635;-1.4545465;1.5617534;5.7599998;-35.94;-29.279999;5.526117;4.343082;7.288249;
2.091068;-2.2022455;1.4493542;0.78;-38.82;-23.22;6.143821;3.8235402;6.024111;
1.0654254;-2.5369997;1.2990813;-3.72;-41.52;-18.48;4.9371433;4.7740383;5.102343;
0.68241286;-3.1374803;1.5110515;-9.719999;-42.0;-14.7;5.6410384;5.8277864;3.1507695;
0.45578182;-3.102661;0.76762855;-15.54;-42.059998;-9.9;3.8139634;5.7487774;3.9791632;
0.08315403;-3.266373;0.32658383;-17.1;-41.34;-7.44;2.0398598;4.747702;4.096479;
-0.071394876;-3.0959413;0.22273675;-19.439999;-41.7;-3.4199998;-1.4341269;3.739743;2.2098482;
-0.23205243;-3.2804227;0.9405034;-20.22;-41.64;-0.65999997;-0.7637503;4.024653;-0.5793968;
-1.1336895;-3.207119;0.8421541;-21.06;-39.42;2.76;0.5410896;4.122815;0.09816227;
-1.1349113;-2.489963;0.09017898;-21.359999;-39.059998;2.7;-1.2593501;4.4556093;-0.9840169;
-1.390253;-2.5925884;-0.0075594573;-20.88;-38.28;3.78;-0.6368576;4.932355;-0.4429273;
-1.9137645;-2.2474496;-0.23724478;-19.32;-39.36;3.8999999;-2.5953147;4.8219223;-0.2873042;
-2.4000132;-1.9878318;-0.41867176;-16.619999;-40.14;3.9599998;-3.1244333;5.612308;-0.7182605;
-2.2778401;-1.4191164;-0.5585599;-14.099999;-41.76;1.4399999;-4.5034933;6.929119;0.8403648;
-2.655355;-1.3354278;-0.6831764;-13.2;-43.68;-5.46;-3.5745432;8.2315645;1.9488802;
-2.9778917;-0.47105345;-1.5255595;-12.84;-42.96;-11.759999;-7.3217683;8.219594;3.5673606;
-3.093956;-0.13019066;-0.55367297;-11.34;-40.44;-19.08;-9.665691;7.7814546;3.5913026;
-3.5093446;0.45013133;-0.1437824;-11.639999;-36.6;-24.6;-6.4359136;8.980949;6.9458785;
-3.6009743;1.3035101;-0.07658723;-11.5199995;-31.08;-30.359999;-10.922647;8.298602;7.6593504;
-3.479412;1.1349113;1.5397623;-9.3;-25.619999;-36.3;-3.371036;9.929053;13.28333;
-2.4397194;2.2320251;0.25572348;-7.62;-18.539999;-40.079998;-5.1789575;10.771812;13.218687;
-1.6944638;1.7848719;1.495169;-2.8799999;-12.36;-42.18;-5.0831895;9.392753;13.491626;
-1.4409548;2.3322072;1.8091538;-0.53999996;-8.46;-44.16;-4.1276035;7.0631943;12.4429655;
-0.6694319;1.9772944;1.9734765;3.0;-5.7599998;-45.059998;-1.8004397;5.255572;12.991238;
-0.8649088;2.2460752;1.4218652;6.8399997;-4.2;-44.64;-1.7525556;3.952827;12.098201;
-0.061010167;1.9443077;0.94722295;10.98;-2.9399998;-44.52;-1.0654198;2.9712043;9.608231;
-1.1489612;0.4030947;2.9221504;14.759999;-2.9399998;-44.64;-1.757344;0.59855044;10.790966;
-0.17096591;-0.17172949;1.808543;15.839999;-3.24;-44.34;4.6519337;3.9480386;10.606613;
0.010461068;0.67859495;-0.74976075;15.24;-4.08;-43.98;-0.7757214;4.084508;7.9322896;
-0.1428661;-0.5101488;0.17264579;16.14;-3.36;-43.32;-4.548983;4.098873;7.0440407;
0.0092393365;-0.18516853;-0.2916118;16.08;-2.7;-44.1;-2.8658595;5.006575;8.5739355;
-0.034132097;-0.09903653;-0.36063957;15.0;-2.7;-43.98;-4.807557;4.414908;7.79582;
-0.02313652;-0.29940033;-0.0026725354;15.0;-2.3999999;-44.46;-3.7181952;4.9179897;8.480561;
0.13263412;0.010919216;-0.2916118;14.219999;-3.54;-44.34;-3.6583402;4.474763;7.4199305;
-0.17951803;-0.13874277;-0.061926465;13.5;-2.22;-45.059998;-5.1047373;4.1156325;7.261913;
-0.102549;-0.21082486;0.15737416;13.799999;-1.74;-45.12;-4.3143516;4.453215;7.25473;
