gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.49350277;-0.044058654;0.24167356;15.179999;0.35999998;-39.6;-2.0231004;-1.1611878;8.207623;
-0.1868484;0.12942708;0.41210496;15.059999;1.62;-39.78;-2.4827871;-1.0079589;9.411906;
-1.0554988;0.07933612;0.7786241;15.36;2.3999999;-39.6;-4.5202527;-2.1284454;6.1150904;
-1.6901878;-0.41118866;1.8702403;15.42;3.72;-40.02;-9.577106;-2.6623523;8.710405;
-1.5154803;-0.21265747;4.0962334;14.58;6.06;-39.0;-13.383886;-1.7788919;10.0751;
-1.7995327;0.6052911;5.6319485;15.12;8.16;-38.399998;-15.747263;-4.1539397;13.604154;
-0.8814022;-0.49182287;7.503029;18.42;8.04;-37.32;-9.349657;-4.8865657;14.715363;
0.14362969;0.20273091;6.09193;18.84;4.2;-37.5;-8.286632;0.6607997;20.688896;
2.1625392;-0.4001931;5.43525;18.42;-2.1;-38.82;-7.214029;1.4389153;24.955662;
3.5039995;0.0884991;4.114559;13.32;-11.28;-40.68;-8.923489;-2.3056161;21.41434;
3.5754707;-1.9023107;5.186017;5.04;-20.34;-37.62;-7.2355766;-6.4502788;18.045696;
3.1722996;-2.5412757;4.440761;-8.16;-25.74;-33.0;0.89543146;-5.2244473;14.664784;
2.4777458;-2.9365056;2.791425;-19.619999;-29.76;-26.039999;2.6982653;-2.4588451;12.074259;
1.388573;-4.058054;2.542803;-28.32;-28.98;-18.779999;2.861071;-1.1827357;8.061577;
0.5034293;-4.657313;0.9863183;-35.76;-26.279999;-9.3;5.1813517;-0.80684596;7.156568;
-0.5209917;-4.7135124;0.64606637;-38.16;-25.619999;-1.92;2.5210943;-0.4429273;4.9395375;
-1.2057717;-5.133788;0.25022566;-38.219997;-24.66;8.22;6.8118033;0.78529817;7.190087;
-1.6413186;-4.2315397;-1.1901946;-36.54;-24.96;14.46;4.1683054;0.20590134;6.1653686;
-1.7726545;-4.3653193;-1.3942236;-29.519999;-29.46;20.52;1.0319009;-0.40940848;6.2012815;
-1.9461403;-3.7336848;-1.5964199;-22.32;-33.719997;23.88;-0.7254431;-0.5602432;2.885013;
-2.4989734;-3.2339969;-1.5139532;-15.0;-37.02;22.439999;-1.958457;0.29448682;2.542642;
-2.1660519;-3.3250158;-1.0570259;-8.76;-40.86;20.22;-2.717419;0.6871359;1.4149733;
-2.9241357;-2.8815277;-0.90919656;-2.46;-42.42;15.599999;-2.7509377;1.0630256;3.4332852;
-2.9290226;-1.7618117;-1.3368022;3.1799998;-44.46;9.179999;-3.5889084;2.4995465;3.2752678;
-3.5130095;-1.7624226;-0.65263313;6.7799997;-44.7;1.5;-6.146215;2.8443117;4.525041;
-3.4079409;-0.5461899;-0.7351;7.44;-42.36;-6.72;-4.5801077;3.3782187;8.042423;
-3.5649333;0.21189389;-0.8627708;9.719999;-39.3;-15.059999;-6.4215484;3.8833952;11.001657;
-3.3627367;0.65843636;-1.1578187;10.559999;-36.0;-21.42;-5.978621;4.9634795;10.513239;
-3.4464254;1.2644147;-1.287933;12.9;-30.9;-27.3;-6.5292873;5.550059;15.096041;
-3.285157;1.2509756;-1.0148762;16.14;-25.08;-31.92;-8.401553;4.6471453;14.382269;
-2.936353;1.1404091;-0.41683918;19.619999;-18.06;-35.28;-6.452673;5.2028995;17.162237;
-2.5771642;1.1764501;-0.013057245;21.9;-11.219999;-37.079998;-5.348946;4.0701427;17.214909;
-2.1782691;1.0854312;0.44753516;23.699999;-5.8799996;-37.32;-5.806238;3.095703;16.04175;
-1.7243962;0.37621662;1.0541244;25.08;-1.3199999;-37.26;-2.6479871;2.3511062;15.311519;
-1.6553684;0.5442046;1.5440383;25.439999;0.53999996;-36.6;-4.525041;0.40222588;13.16362;
-0.8484155;-0.4881577;1.8555795;25.5;3.1799998;-36.12;2.0398598;1.1875241;13.831602;
-0.73051846;0.6865362;0.71631587;24.539999;3.54;-36.059998;-2.1068976;-0.91219085;11.37994;
-0.09155343;-0.18944459;1.087722;24.119999;4.3199997;-35.52;-0.14844051;-0.5410896;11.061511;
-0.22350033;0.27969992;0.31619912;24.0;3.84;-35.76;-1.0103531;-1.1851299;10.175656;
-0.007254025;0.18196149;0.16348282;24.3;4.44;-35.94;-2.5187001;-1.4413095;9.134179;
-0.15325081;-0.38553232;0.5581018;24.42;4.14;-35.46;-3.1914709;-1.5993267;8.518868;
-0.39332086;-0.23953554;0.46769372;23.76;3.8999999;-36.48;-2.825158;-1.2330139;8.66731;
-0.17035505;-0.15890132;0.3412446;23.22;3.8999999;-35.16;-2.741361;-1.1611878;9.845257;
-0.14775303;-0.14485142;0.14943291;22.98;4.02;-35.7;-2.777274;-1.1300632;9.217976;
-0.048181996;0.03718642;-0.14439327;22.98;4.68;-36.239998;-3.3375173;-1.2665327;9.239524;
-0.035353824;-0.032452215;0.037033707;22.8;4.3199997;-35.82;-3.9217024;-1.4437037;8.973767;
-0.027412578;-0.16073392;0.198913;23.1;4.02;-36.36;-3.502717;-1.2976574;9.361628;
-0.09094256;0.0182496;0.08773552;23.039999;4.8599997;-37.079998;-3.5122938;-1.3503298;8.5978775;
-0.097662084;-0.11675162;0.24656048;22.26;4.8599997;-35.88;-3.3614593;-1.3192052;9.215582;
-0.1202641;-0.025732698;0.17508925;22.32;4.8599997;-37.68;-3.3901896;-1.4796166;8.911518;
