gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
7.6358156E-5;0.15508342;0.4377613;23.22;11.28;-30.599998;-4.855441;-1.3623008;7.1852984;
-1.0060188;-0.072158456;2.3241131;19.98;9.84;-28.859999;-7.5180926;-1.2138603;7.6114664;
-1.1593459;0.6120106;3.0296626;17.88;9.84;-29.939999;-10.652102;-0.6392518;10.388741;
-0.99746656;0.610178;5.370498;19.26;10.74;-32.88;-15.42644;-0.7685388;13.0894;
0.45944703;0.4806746;7.151781;24.72;9.66;-35.76;-11.181221;-0.019153614;21.684883;
1.7691422;0.22594379;6.594672;26.939999;1.02;-36.6;-2.942474;1.8842367;18.297089;
2.4789674;0.16485725;4.8054476;24.119999;-9.3;-36.66;-3.193865;4.0581717;24.294563;
3.3708308;-0.68913233;4.1597633;19.14;-17.64;-37.559998;-3.86903;1.8267759;23.107038;
3.5754707;-2.405053;4.3576837;11.639999;-29.099998;-34.739998;-0.7038953;-1.3575124;21.129429;
3.3097444;-2.8625908;2.9801824;0.42;-38.34;-26.22;2.7868507;-1.5059528;16.700155;
2.1448243;-4.11853;2.4780512;-10.5;-42.48;-15.36;3.2609026;-1.3072342;11.571476;
1.0367147;-4.7275624;2.0638845;-15.66;-41.28;-7.3799996;4.7740383;-1.0893618;9.153333;
-0.1379792;-5.056819;1.1946234;-21.3;-40.379997;-0.9;4.8027687;-0.5626374;7.319374;
-1.0322859;-5.1185164;0.44875687;-22.38;-40.14;4.7999997;4.656722;-1.2378023;6.938696;
-1.585119;-4.6695304;-0.52984923;-19.8;-40.68;7.62;2.5833437;-1.1827357;7.2714896;
-1.5722908;-3.7446804;-1.3661238;-17.64;-41.399998;9.42;0.9768343;-1.2952632;6.548441;
-1.6449838;-3.1441998;-1.677665;-10.32;-43.44;8.28;-2.006341;-0.40940848;4.2305546;
-1.3542119;-3.2578206;-1.1217777;-6.72;-44.94;6.06;-1.8195933;0.32800564;3.9312792;
-1.8319085;-3.1967342;-0.6202573;-1.38;-46.5;3.4199998;-1.9560628;1.2258313;0.90500826;
-2.4837017;-2.676277;-0.8462774;1.26;-46.44;-0.78;-4.000711;0.7086837;1.7860745;
-3.18864;-2.6298513;-0.12056953;3.48;-45.059998;-6.7799997;-4.7668557;2.0853498;0.19632454;
-3.9137373;-1.6720145;-0.4724279;4.08;-44.64;-14.58;-4.197036;2.7509377;4.76925;
-4.219781;-0.7966446;-0.92874426;2.76;-39.6;-24.48;-6.632238;4.271256;6.5101337;
-4.454353;0.011530082;-1.1291081;3.3;-34.32;-32.1;-8.20044;4.0557775;12.430994;
-4.200233;0.34078646;-0.49502993;5.22;-25.38;-39.66;-7.934684;5.4040127;12.914623;
-4.02125;1.335275;-0.5634468;6.48;-15.0;-46.02;-6.6394205;6.4454904;16.712126;
-3.4910185;1.362764;-0.14805846;9.12;-6.18;-47.7;-6.064812;7.1852984;18.498201;
-2.7781389;1.7787633;0.034590244;12.3;3.84;-47.039997;-5.0568533;5.964256;18.043303;
-2.1501694;1.326723;0.62346435;16.08;10.0199995;-45.719997;-2.89459;5.384859;18.033726;
-2.2100341;1.4415656;0.64056855;20.22;15.78;-40.02;-2.396596;2.6431987;13.817237;
-2.11535;0.46662468;1.4572954;23.699999;17.82;-36.899998;-0.3184288;1.127669;15.696985;
-1.5722908;0.51610476;0.8091674;25.32;16.8;-30.779999;-0.050278235;0.260968;13.230658;
-0.8392525;0.3224605;0.58436894;23.34;16.68;-29.039999;0.78769237;0.29688102;13.977649;
-0.4085925;0.10377073;0.3907247;22.98;16.44;-28.56;-0.062249243;-0.17477672;11.281777;
-0.12148582;0.1782963;0.15920675;22.02;16.92;-29.64;-1.2641385;-0.36152446;11.521198;
-0.17218764;-0.21449006;0.40538543;22.32;16.92;-29.939999;-2.078167;-1.412579;8.863634;
-0.5796348;-0.40935606;0.6961573;21.48;16.5;-30.3;-3.3087866;-1.8890251;10.175656;
-0.16913332;-0.69524103;0.76701766;21.779999;16.98;-31.14;-1.982399;-1.5873557;9.222764;
-0.14958562;-0.09476047;0.19830213;21.06;17.16;-31.56;-3.0238767;-1.6687586;9.179668;
0.030619621;-0.22915083;0.18486309;21.06;17.34;-31.08;-2.7748797;-1.4556746;9.474155;
-5.345071E-4;-0.06604981;-0.016111571;20.939999;16.619999;-31.92;-3.122039;-1.5610195;8.657733;
-0.017027868;0.034132097;0.008323039;20.76;17.279999;-31.98;-3.4452562;-1.7070658;9.380781;
0.075212784;-0.11797335;0.18058704;20.699999;16.74;-31.859999;-2.834735;-1.5610195;8.942642;
-0.25343272;-0.028176159;0.20624338;20.64;17.039999;-32.399998;-2.870648;-1.70946;8.933065;
-0.11049025;-0.20044015;0.3497967;20.4;16.859999;-32.52;-2.5809495;-1.3838485;9.617807;
-0.04757113;-0.110032104;0.22090414;21.539999;17.039999;-32.34;-2.3582888;-1.5275006;9.306561;
-0.04085161;-0.083764896;0.1286635;21.18;16.199999;-32.579998;-2.7629087;-1.4748282;9.261071;
-0.037797287;-0.062384613;0.12622003;21.119999;16.98;-32.64;-3.0789435;-1.6112977;9.028834;
-0.06650795;-0.04222606;0.2111303;20.64;16.32;-32.76;-3.3423057;-1.6711528;9.316138;
-0.026190847;-0.08071057;0.2654973;20.039999;17.52;-31.679998;-3.0765493;-1.5682021;9.2586775;
