gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.34811684;-0.1596649;0.35033122;-44.879997;15.96;-12.3;7.532458;-0.30166942;5.5332994;
0.58146733;-0.1596649;0.4700608;-44.64;16.32;-11.88;7.400777;-0.5267244;6.4622498;
0.9602038;9.92656E-4;0.95142263;-44.579998;17.46;-11.94;6.8381395;-1.0749966;8.593089;
2.1348977;-0.27267498;1.0961977;-43.079998;17.039999;-13.32;9.2347355;-1.7118542;14.799159;
3.9112937;0.052305337;0.6068946;-41.879997;17.34;-15.839999;11.209951;-0.24181437;14.150031;
4.1605268;0.96249455;-0.14874569;-41.579998;16.14;-18.66;15.416863;1.553837;12.90744;
4.181907;1.4408021;-0.8689558;-40.26;11.639999;-23.699999;16.81747;3.1124623;9.759066;
3.4763577;2.3540456;-1.570229;-39.36;4.38;-28.68;21.05042;2.707842;8.652945;
3.479412;2.0553324;-2.6624563;-36.12;-3.54;-32.1;21.292234;2.80361;2.6408045;
2.0542634;2.3992496;-2.690556;-30.66;-12.96;-35.34;19.051262;2.6288335;0.14844051;
1.1214722;1.9948568;-2.9856038;-23.88;-19.74;-35.579998;16.240469;3.4021606;-0.7350199;
2.301053;-0.3618613;-3.8182132;-17.4;-26.16;-36.18;10.824485;3.7948096;-1.9129672;
1.8942168;-1.1920272;-3.606243;-12.42;-32.88;-33.36;6.3114147;5.957073;-3.9863458;
1.2619712;-2.8761826;-2.8591547;-7.74;-37.5;-28.619999;3.5865142;6.244377;-6.830957;
-0.099647395;-3.3013449;-2.2708917;-5.22;-42.42;-25.26;6.476615;4.343082;-5.885247;
-0.008017606;-4.225584;-2.4785857;-3.54;-43.2;-25.38;6.277896;2.7389667;-1.9009962;
0.437914;-4.7716975;-2.3692408;-2.82;-44.7;-25.199999;5.150227;2.1883004;-0.9792285;
0.5411503;-5.16876;-2.3154848;-2.52;-45.719997;-23.82;3.5865142;1.6280571;-0.78529817;
0.30657798;-4.973894;-1.5396858;-2.76;-45.84;-21.6;2.2840683;1.4939818;-0.60094464;
0.27175868;-5.142493;-1.0424415;-3.9599998;-45.48;-20.64;3.3925838;1.3575124;1.4437037;
0.31757358;-4.623257;-0.43768495;-6.42;-45.36;-17.58;2.7030537;0.32800564;2.5234885;
0.031077769;-4.3092723;0.5335908;-8.82;-45.36;-14.4;2.7581203;-0.36870706;3.1794999;
-0.24197899;-3.105257;2.1053472;-13.38;-43.2;-11.28;5.159804;0.15801731;6.0672064;
0.4098142;-3.2958472;2.1297817;-19.02;-41.82;-8.46;9.081507;0.22984336;5.574001;
0.8478046;-2.2237785;3.0069842;-24.119999;-39.719997;-4.2;10.316915;0.035913024;5.576395;
0.2955824;-1.0851258;3.1859677;-29.22;-36.36;0.06;11.897087;0.62967503;5.8301806;
0.53015465;-1.2048553;3.3008103;-34.32;-31.439999;1.56;13.194745;0.5363012;6.41676;
0.8429177;-0.78274745;3.4205399;-40.62;-24.3;5.64;15.1295595;1.3215994;6.038476;
0.094607756;-0.22624922;4.046066;-45.18;-18.06;7.3199997;15.689802;-1.1875241;7.166145;
2.1000783;-0.56650114;3.374725;-47.039997;-9.059999;7.98;20.186113;-0.4285621;7.879617;
2.6889524;-0.04665483;2.9819386;-47.28;-0.53999996;9.36;18.981829;0.7038953;5.789479;
3.130608;0.44448084;2.209805;-47.16;7.14;9.54;21.591509;3.3183637;0.48602295;
2.4305565;1.1573606;1.8255708;-46.44;13.32;7.14;17.10238;1.4389153;1.4269443;
3.2295682;0.4554764;0.58062744;-44.82;17.039999;3.3;16.214132;2.4756045;-2.7150247;
1.385366;1.0596222;0.8219192;-44.52;19.5;-1.26;11.61936;-0.20590134;-1.5107412;
1.852678;0.6417903;0.5122105;-42.84;20.46;-4.7999997;11.78456;-0.6895301;-0.80205756;
2.804406;-0.34292448;-0.14996742;-43.02;20.58;-7.44;11.1931925;0.009576807;-2.0494366;
2.0994675;-0.56894463;-0.17623462;-42.84;19.14;-9.059999;8.025663;0.18195933;-1.9871874;
0.48495063;0.28015807;0.13897185;-43.62;17.64;-10.2;9.335292;1.2856863;-1.364695;
-0.42523858;0.878806;0.3368922;-43.44;18.0;-11.46;8.533235;0.2657564;1.5634137;
-0.09353874;1.237384;0.7852673;-42.6;19.56;-12.84;8.384793;-0.37110126;2.717419;
0.01947133;0.21968241;0.1572978;-40.32;20.58;-14.82;9.979332;0.016759412;2.1763294;
-0.13691017;-0.24213171;-0.1572978;-41.28;20.039999;-15.179999;9.038411;-0.6560113;3.442862;
-0.72639513;0.30642527;0.11759156;-40.92;20.16;-15.9;9.047988;-0.62249243;3.5697548;
-0.7355581;0.39438987;0.12980886;-40.739998;21.18;-15.0;8.77026;-1.2689269;5.1933227;
-0.22182044;0.052916203;0.0076358155;-39.059998;22.02;-15.42;8.834904;-1.0534488;4.8865657;
-0.05627596;-0.013057245;-0.008857546;-39.899998;22.68;-15.48;8.724771;-0.9935937;4.560954;
-0.07704538;-0.04604397;-0.14752395;-39.84;22.5;-15.12;9.02644;-0.8834604;4.5394063;
0.018860465;-0.0735329;-0.12308934;-41.1;22.74;-14.7;9.287408;-0.78769237;4.292804;
-0.047112983;-0.04176791;-0.18417588;-40.379997;21.9;-13.679999;8.887576;-0.6967127;3.9145198;
