gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.21853705;0.14477506;0.06772968;6.3599997;-35.399998;-20.82;2.2840683;8.162133;5.3992243;
0.033444874;0.43066;0.017638734;6.48;-35.64;-21.84;1.484405;8.652945;4.9371433;
0.28084528;0.49602258;-7.6358156E-5;7.08;-35.399998;-21.3;-0.055066638;10.266636;5.040094;
-0.041080687;1.0946705;-0.7111235;7.8599997;-35.64;-19.92;-0.24899697;14.683938;5.880459;
1.596649;1.1282681;-1.878487;10.98;-35.94;-19.08;-3.7493198;13.242629;7.319374;
1.9430096;0.8943067;-1.7190511;15.42;-36.66;-14.58;-6.9793973;11.751041;2.4420857;
0.95646226;1.1117748;-0.96096736;19.98;-36.54;-10.8;-6.742371;10.055946;1.1755531;
1.2863295;-0.3378085;-0.8864418;21.84;-35.7;-6.54;-6.438308;7.0536175;0.2825158;
1.7243198;-1.1881329;0.3310126;23.64;-36.18;-3.8999999;-0.11252748;6.5915365;0.40222588;
2.5337162;-2.1465805;0.9162215;22.619999;-36.6;-1.38;2.705448;1.5442601;-1.8100165;
0.05177083;-1.9419407;4.1757984;19.02;-38.46;3.06;16.290747;4.606444;-4.3885717;
0.34437528;-1.6762142;2.03777;10.679999;-41.1;2.1;18.004995;6.962638;3.7086184;
-0.57436603;-0.8246681;1.0164034;6.18;-42.96;1.3199999;7.340922;10.257059;4.9132013;
0.5862779;0.45814893;-0.5022076;2.82;-42.239998;0.78;7.79582;8.17171;3.5218706;
1.0181596;0.806953;-0.66103256;3.84;-43.379997;1.4399999;7.75033;6.7495537;-1.1707647;
0.05665775;1.5454891;-1.2169199;6.06;-43.32;4.14;8.624214;7.0081277;-1.448492;
-0.86635965;1.0415252;-0.9200394;8.28;-41.64;4.3199997;6.914754;7.7096286;-1.3910311;
-1.158964;1.2791518;-0.31345022;9.9;-41.94;2.58;7.58513;9.601048;0.80684596;
-1.109484;1.5283848;-0.8296314;11.4;-42.059998;0.53999996;7.10629;8.808567;2.813187;
-0.52488595;0.70249504;-0.24747679;13.799999;-41.76;-0.59999996;1.3814543;7.451055;2.8491;
-0.014202617;0.12644911;-0.50465107;15.599999;-41.7;-2.76;-2.0254946;9.241918;1.0103531;
-1.0606148;-0.9388999;-0.5107597;15.66;-41.1;-3.4199998;-6.136638;11.391911;1.7477672;
-0.22983804;-4.02438;-0.46005788;17.46;-39.3;-6.0;-8.5499935;12.507609;-1.1587936;
-0.6403395;-0.79901177;0.15447254;15.78;-39.48;-9.78;-9.244312;9.720758;3.0885203;
0.055436023;-0.46914452;-0.0129045285;16.38;-39.12;-10.62;-1.0366893;11.873145;3.5338416;
0.16417004;-0.07819075;-0.1821142;15.66;-38.46;-12.179999;-1.2066777;9.914688;0.49559975;
0.04444045;0.06352998;-0.36231944;16.08;-39.18;-12.54;-0.8571242;8.657733;2.777274;
-0.13454308;0.36774087;0.30779973;16.199999;-37.739998;-10.92;-1.5777789;8.487744;0.6967127;
-0.26710084;-0.027488936;0.011530082;16.5;-39.12;-11.04;-0.1412579;9.471761;3.5625722;
-0.030695979;0.3408628;0.35666895;16.68;-38.28;-12.36;0.8331822;10.625767;2.3008277;
-0.09972375;0.24190263;-0.1735621;16.38;-38.879997;-13.2;0.8810662;10.156503;3.6224272;
0.25396723;0.38056904;0.18623754;16.859999;-38.7;-12.24;0.36391866;9.548376;1.8794483;
-0.09728029;0.28099802;-0.13691017;15.839999;-38.76;-10.74;0.44771573;9.179668;2.4756045;
0.1947133;0.116675265;0.19478965;16.859999;-38.82;-10.679999;0.33758244;8.9641905;2.1643584;
-0.12782355;0.16737708;0.067118816;15.9;-38.7;-10.0199995;1.2545617;9.476549;2.4756045;
-0.05024367;0.10140363;0.08972083;16.32;-37.86;-11.099999;1.1923125;9.320927;3.0885203;
0.035277467;0.15393804;0.15386169;15.78;-38.52;-11.219999;0.641646;9.059958;2.5498247;
0.051159963;-0.01282817;0.067118816;16.26;-38.94;-10.92;0.62249243;9.20361;2.3942018;
-0.018478673;0.022602014;0.09582949;16.02;-39.36;-11.28;0.8882488;9.45979;2.3702598;
-0.11927144;-0.0720821;0.09582949;14.639999;-38.28;-10.8;1.1180922;9.711182;2.719813;
-0.074067414;-0.01038471;-0.015958855;15.599999;-37.98;-10.08;0.770933;9.543588;2.966416;
-0.23900102;0.07269296;0.021914791;15.599999;-38.64;-11.82;0.830788;9.526828;2.7940333;
0.018784106;0.32620203;0.10743593;15.12;-38.94;-10.32;0.35673606;9.26586;3.3087866;
-0.1638646;0.17348573;0.12454015;15.059999;-38.82;-11.28;0.110133275;8.79899;2.2170308;
-0.3911065;0.2932153;0.30963233;14.58;-38.7;-11.82;-0.021547815;8.93546;3.4452562;
-0.1638646;0.33414328;0.37988183;14.58;-38.46;-13.08;0.8810662;9.639356;3.9504328;
-0.1498147;0.539394;0.3346778;13.98;-38.94;-13.0199995;0.39025488;9.517251;4.2999864;
0.122020334;0.66645396;0.38965568;13.44;-39.239998;-12.66;1.4413095;9.768642;5.2531776;
0.26190847;0.7452556;0.11965323;13.5;-38.399998;-11.88;1.6376339;9.275436;4.050989;
0.27290404;0.82833326;0.19906572;13.38;-39.66;-10.74;0.5482722;8.6697035;3.323152;
