gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.007254025;0.25098926;0.28382325;12.78;-38.82;-18.539999;-1.0606314;8.727164;3.8977604;
0.04222606;0.081779584;0.30642527;11.88;-39.54;-18.72;-0.40462008;9.289802;3.9719806;
0.055665094;-0.032452215;0.13355042;10.92;-39.42;-18.539999;-0.18674773;9.634567;3.1723173;
-0.16730072;0.42569673;-0.18654297;12.0;-39.12;-18.48;-0.94810385;10.027216;3.6367924;
-0.021914791;0.43180537;-0.5573382;12.0;-39.78;-19.02;-3.9983168;10.637737;2.870648;
0.87300277;0.67615145;-0.37713292;14.099999;-38.04;-18.9;-7.700052;10.869975;2.6839;
0.85467684;1.1019245;0.09628764;14.58;-39.42;-15.48;-11.353603;12.871528;-0.08140286;
0.8803332;2.1452823;-0.37468946;14.88;-40.559998;-12.9;-9.787796;9.732729;-0.7326257;
1.9438496;-2.0489185;0.38950294;16.859999;-40.92;-9.42;-4.4843397;7.5659766;-3.8666358;
2.8546495;-2.5467737;1.5599208;16.02;-42.059998;-6.96;-0.019153614;3.58412;-1.4628572;
1.3592515;-1.9945514;4.7162614;11.94;-44.7;-2.8799999;10.814908;-1.13964;0.6392518;
0.8277988;-0.86994845;5.61912;-1.68;-48.539997;-0.71999997;26.875813;5.1645923;3.107674;
-4.012697;-0.736169;-0.06925685;-11.16;-48.6;0.78;15.388133;16.379332;8.286632;
0.66469777;1.9162079;-1.5182292;-12.059999;-48.899998;-6.42;3.8067808;1.9129672;3.8642416;
2.2205715;0.18379408;-0.4198935;-9.059999;-48.719997;-7.3199997;8.966584;5.2148705;-1.9033904;
-0.16485725;0.55153495;-1.0784062;-7.08;-49.92;-1.68;7.3481045;5.5428762;-3.8762126;
-0.9302714;0.6132324;-0.73204565;-4.98;-49.739998;-1.74;10.017639;8.57633;1.0295067;
-2.3804655;0.04268421;-0.058872137;-2.22;-49.86;-6.2999997;4.9012303;6.8764467;0.7422025;
-0.9693668;-0.3311653;0.9166797;-3.78;-50.34;-10.679999;5.720047;6.4335194;5.600337;
-0.8447503;1.480661;-0.66362876;-5.3399997;-48.6;-14.82;3.145981;8.406342;-1.7142484;
-1.652925;0.5252678;-0.85605127;-4.56;-47.82;-16.56;0.19871874;8.135797;1.352724;
-1.177061;-0.6524804;-0.73387825;-2.58;-45.539997;-19.26;1.7381904;10.465355;6.8956003;
-2.1904864;-0.24686591;0.13416128;-1.0799999;-44.82;-22.92;1.4077905;13.673585;13.920188;
0.9011026;-0.4405102;-1.1944706;-0.96;-43.079998;-27.3;-5.585972;12.14369;8.162133;
-0.37194058;1.1007028;-1.5084554;1.5;-43.32;-26.22;-4.31914;11.810896;-1.3000516;
-0.15080735;0.64072126;-1.1529318;4.92;-42.48;-25.56;-7.0536175;5.432743;-2.5234885;
0.6512587;-0.2523637;0.66011626;8.94;-41.16;-25.14;-1.661576;7.25473;1.0462662;
0.49732068;0.094607756;0.42798746;7.08;-42.48;-24.539999;2.4971523;10.350433;4.8338933;
0.39225185;0.13370313;0.3009275;5.8799996;-43.32;-22.98;2.8754363;10.271424;5.7870846;
0.8149706;0.11049025;0.124387436;5.7599998;-44.1;-20.52;1.5825673;9.129391;5.06643;
0.1295798;0.1288162;-0.16638441;6.2999997;-44.579998;-20.279999;1.532289;8.691252;2.9759927;
0.11308643;-0.14240795;-0.19509509;5.3399997;-44.76;-19.98;0.9864111;8.736741;1.8100165;
0.11064297;-0.53824866;0.24350616;6.24;-44.7;-20.279999;2.9975405;6.8477163;2.303222;
0.121638544;-0.27924177;-0.010002919;5.52;-44.879997;-19.98;1.7621324;9.9673605;3.406949;
-0.22044599;0.116598904;-0.07047858;4.5;-45.36;-20.22;0.28491;8.518868;4.173094;
0.03611741;-0.20227276;-0.1175152;5.46;-45.12;-20.699999;1.910573;9.921871;3.4356794;
0.1521818;-0.023900103;0.17753272;5.64;-46.14;-20.46;0.78769237;8.66731;4.189853;
0.30673072;-0.09720393;0.08590292;5.7599998;-45.48;-19.8;0.90261406;8.676887;2.9352913;
-0.0139735425;0.25404358;0.15615243;4.5;-45.42;-19.92;1.5131354;9.56753;2.695871;
0.07399105;-0.22487476;-0.05093089;4.62;-45.66;-19.98;1.6017209;8.992921;4.177882;
0.27252227;-0.03306308;0.12805262;4.14;-45.78;-20.039999;2.2649148;9.361628;3.4931402;
-0.15080735;0.18257235;-0.21525364;4.02;-46.68;-19.56;1.5705963;8.719982;3.727772;
0.05138904;0.1764637;0.08345947;4.56;-45.6;-19.32;1.2856863;9.038411;2.7509377;
0.0019089539;-0.10881037;-0.020998493;4.5;-45.539997;-19.68;1.1492168;8.741529;3.0334535;
-0.044516806;0.06834055;0.112780996;4.38;-44.94;-19.8;2.1523874;9.644144;3.2249897;
-0.0884991;-0.038560867;-0.06742425;4.68;-46.2;-20.64;1.5011644;8.794202;4.122815;
0.07704538;0.106214195;0.10178542;4.56;-45.18;-19.859999;1.6472107;9.447819;3.2321723;
-0.042073343;0.067118816;0.09017898;3.84;-45.899998;-19.859999;0.8834604;8.674492;3.4596214;
0.058719423;0.06772968;0.08590292;4.2599998;-45.239998;-18.9;1.8076223;9.44303;3.028665;
-0.02069306;0.04268421;0.123165704;5.16;-45.96;-19.56;1.5346833;8.882788;3.8786068;
