gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.29940033;0.10377073;-0.20120373;-19.38;-40.26;-13.38;0.4285621;8.643368;4.1371803;
0.0800997;-0.16012305;-0.019776762;-20.039999;-40.079998;-11.759999;0.39025488;8.973767;4.261679;
0.43745586;-0.09231701;-0.13645202;-19.14;-41.1;-13.0199995;-0.33758244;9.498097;4.465186;
1.9133064;-0.740445;-0.22991441;-18.42;-40.98;-12.36;-1.4891934;12.979267;4.501099;
-6.2380795;3.851429;-0.79985166;-17.94;-41.879997;-11.88;-1.4820108;11.420641;-3.1651347;
5.96823;-5.5540633;-1.2567788;-13.799999;-39.719997;-22.619999;-3.6415808;2.1332338;25.812786;
6.475248;-0.011682798;-0.07231117;-15.9;-41.46;-10.0199995;-4.656722;8.736741;-8.825327;
-6.42195;4.994358;-0.7039458;-14.04;-42.059998;2.6399999;-3.1364043;13.319243;-4.898836;
0.9750173;-1.8577175;-1.2683853;-14.58;-42.54;-11.759999;-3.6703112;5.650615;22.376808;
6.9450035;-1.3189344;-0.21647537;-12.3;-43.559998;-10.139999;-7.5659766;3.821146;-0.62728083;
-3.4965162;3.701767;0.7584656;-9.9;-42.96;4.92;1.5873557;9.1150255;-9.337686;
-0.7164686;-2.290821;1.2587641;-12.0;-44.34;-2.04;0.8403648;4.5777135;6.8381395;
6.768463;-1.9615647;0.8507062;-14.5199995;-45.42;-1.0799999;5.9834094;2.5354595;3.2920272;
2.308536;0.6694319;3.14084;-15.42;-41.76;18.3;9.356839;7.803003;-10.946589;
1.0416017;-2.0599139;1.164691;-19.8;-38.399998;23.82;7.831733;8.025663;-7.3097973;
0.35559994;-2.1576524;1.2795336;-20.699999;-36.84;29.16;5.3417635;10.201993;-1.3479356;
1.1784354;-0.60788727;-1.7088192;-18.6;-36.0;31.199999;6.9793973;10.178051;-2.765303;
0.08498663;0.020082194;-0.036270123;-14.7;-33.18;34.68;-0.7493851;6.2946553;-10.132561;
-3.5954764;1.2399801;-0.11629347;-14.82;-33.48;33.54;4.9395375;8.899547;-6.170157;
1.1045207;-0.6530913;-1.2952634;-14.759999;-38.879997;26.88;5.3633113;9.237129;1.7477672;
-1.1159744;1.3138947;-1.6526196;-11.58;-38.1;28.439999;7.343316;11.763012;-9.335292;
-3.9803216;0.36766452;-1.9800433;-10.26;-39.6;24.0;4.4220905;6.3640876;-4.908413;
-1.5521322;1.0445032;-0.6471354;-7.68;-42.899998;14.639999;6.4837976;10.058341;1.6831238;
-3.180088;1.349325;-0.9904416;-7.3799996;-43.739998;9.36;-1.055843;8.195652;-0.32561144;
-0.58635426;1.4910457;0.7578547;-7.2;-44.7;2.46;-1.6543933;7.9179244;0.6536171;
-1.458059;1.8600084;-0.9910525;-9.66;-45.3;-0.65999997;-0.20829555;9.021651;-1.1348516;
-0.10132727;0.089109965;-0.22563834;-8.639999;-46.079998;-3.4199998;-5.4638677;9.711182;-0.9840169;
-2.3480897;1.4006376;-0.51030153;-8.22;-45.66;-5.04;-7.774272;9.239524;-2.5929205;
-2.9888873;0.20334177;-1.1089495;-7.3799996;-44.82;-10.98;-6.071995;7.5061216;3.442862;
3.6115117;-3.7342956;-1.4229342;-4.92;-44.399998;-15.54;-8.265083;4.9491143;7.913136;
-1.0512227;-0.35010216;0.4621959;-3.84;-45.36;-10.679999;-5.6075196;9.613019;-1.7525556;
-0.33345607;-0.9658543;-0.019776762;-4.68;-44.399998;-9.48;-3.406949;8.846874;7.156568;
0.39774963;-0.4179082;0.702266;-6.72;-43.68;-10.559999;-3.7588966;9.900323;3.1531637;
-0.45929432;0.2607631;0.108504936;-7.5;-43.92;-9.48;-1.2114661;11.0974245;3.6296098;
0.7092909;-0.07826711;-0.064369924;-6.0;-44.46;-11.04;-2.3870192;9.629779;3.5362358;
-0.0322995;0.17340937;-0.03932445;-7.02;-44.28;-10.679999;-2.1906946;9.1868515;1.5179238;
-0.4873941;0.034132097;0.07307476;-6.66;-44.64;-10.92;-2.9831753;7.680898;4.1683054;
3.7477345;-2.3812292;-0.16943875;-6.96;-44.34;-10.44;-2.8562827;7.498939;5.5572414;
-1.0231229;1.3652074;0.23556492;-7.2599998;-45.78;-2.1599998;-1.0893618;10.652102;-2.4851813;
-2.4537694;0.7262424;0.1109484;-7.14;-45.539997;-4.68;-2.0805612;8.427889;4.2904096;
3.1032717;-1.0684797;-0.08513934;-6.7799997;-44.76;-8.82;-2.0518308;8.39437;5.3992243;
-1.2784646;1.2570844;-0.09369145;-7.08;-45.3;-3.8999999;-0.9576807;11.291354;-3.3207579;
-0.7036404;-0.38308886;-0.2616794;-5.64;-46.26;-6.24;-3.4931402;7.0536175;8.229171;
1.95118;-0.030008756;0.33574682;-6.7799997;-46.379997;-7.7999997;-1.5849615;10.680833;-1.0366893;
-2.038992;0.9076694;-0.12423472;-6.7799997;-44.28;-3.8999999;-2.3798366;8.760683;2.956839;
1.488144;-0.43195808;0.23251058;-7.7999997;-45.84;-7.74;-1.9967642;8.626608;3.964798;
0.009850202;0.42142066;-0.011224649;-7.14;-45.059998;-4.3199997;-0.6368576;10.666468;0.78769237;
-0.7042513;0.5399285;-0.07964156;-7.02;-45.6;-4.5;-3.052607;8.581119;2.2768857;
0.2590832;-0.061773747;0.45058948;-7.2;-45.059998;-6.66;-2.0709844;8.602666;1.9393034;
-0.47578767;0.46662468;0.29604056;-7.74;-45.48;-5.7;-2.8778305;8.406342;1.4556746;
