gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.6256787;0.69004864;0.50052774;-20.64;-36.059998;-23.519999;-2.3319526;8.913912;4.2664676;
0.28909197;0.94722295;0.51396674;-20.4;-35.34;-22.98;-1.8028339;9.404723;3.7660792;
0.25305092;1.5941292;0.32765284;-20.16;-35.46;-24.24;-2.5881321;10.319308;4.7884035;
0.6488916;1.6142877;-0.025427265;-18.9;-35.76;-25.26;-3.5003228;12.311284;5.791873;
0.57436603;1.8977293;-0.34918585;-16.26;-35.82;-25.619999;-4.7285485;13.010391;6.634632;
1.3067935;1.6527723;-0.16226108;-13.559999;-37.68;-26.58;-3.5793316;11.114183;7.6473794;
2.2530236;1.5403731;-0.31253394;-11.94;-37.86;-25.619999;-1.6448165;10.3336735;2.5905263;
1.0929906;0.6436229;-0.7389179;-8.7;-41.399998;-22.26;-3.6176388;8.344092;-0.9552865;
-0.74204856;0.10239629;0.022220224;-6.72;-42.84;-21.42;1.0726024;10.096648;-2.7461493;
-0.46715918;-0.952568;-0.07612908;-6.2999997;-42.54;-22.32;0.107739076;6.809409;1.6903064;
-0.05177083;-2.0197496;0.5555056;-8.099999;-41.64;-23.34;7.2690954;7.448661;2.657564;
1.268309;-1.8065577;1.9788216;-10.38;-41.34;-21.96;4.675876;4.2999864;3.394978;
1.2072225;-1.4638622;2.0961077;-16.08;-41.04;-18.66;14.480432;8.219594;-0.533907;
-1.9521726;-0.76197803;0.8988119;-21.42;-40.739998;-14.88;8.952219;9.383176;1.4867992;
-1.2496775;0.36201403;0.05215262;-22.56;-38.34;-17.699999;4.5298295;6.2994437;8.2794485;
1.8406897;0.14821118;0.41867176;-23.4;-37.92;-19.56;4.9275665;7.000945;2.8778305;
0.68432176;1.0608438;-0.63751423;-24.119999;-38.52;-16.5;7.388806;9.014469;-2.6503813;
0.12293663;1.1445324;-0.8995754;-22.38;-39.12;-16.619999;7.5659766;7.4319015;2.0925324;
-0.68584895;1.3748286;-1.10055;-19.08;-41.04;-17.58;7.1613564;7.549217;2.291251;
-0.78542;1.6851481;-0.90751666;-16.619999;-41.46;-20.039999;6.716035;7.496545;3.7900212;
-0.049938235;1.653994;-0.5452736;-13.2;-42.12;-22.74;3.8355112;8.107066;3.0502129;
0.3923282;1.0803915;-0.3198643;-11.04;-40.98;-23.82;2.1260512;9.500492;0.91937345;
0.019700404;0.3131448;-0.39866593;-8.16;-41.04;-23.519999;-1.8938135;9.253889;0.49559975;
0.42287147;-0.6135378;0.091858864;-7.3799996;-40.92;-23.34;-2.7126305;10.350433;2.0135236;
-0.02611449;-1.3954453;0.061926465;-9.24;-40.68;-22.56;-2.3056161;10.989685;-0.7230489;
-1.5612189;-1.1419362;0.33620495;-10.62;-39.96;-20.699999;-2.789245;10.88434;2.3343468;
-1.3321444;-2.1413116;-0.29848403;-12.599999;-40.14;-23.82;-3.8833952;10.563518;3.2345665;
-0.79641557;-1.5182292;0.029550606;-13.44;-38.76;-23.82;-4.8386817;10.077495;4.000711;
0.052687127;-2.02708;-0.011377365;-15.54;-37.62;-24.24;-3.3925838;11.485285;2.0398598;
-0.15928312;-0.9867765;-0.17753272;-17.34;-37.739998;-22.08;-2.8802247;11.027992;2.2002714;
0.077121735;-0.69722635;-0.371177;-17.699999;-38.579998;-22.02;-1.5897499;9.948207;2.7581203;
0.26282477;-0.426613;-0.17570011;-18.24;-38.399998;-21.119999;-0.5410896;9.299378;2.822764;
-0.05299256;-0.2848923;-0.026648996;-18.06;-39.239998;-21.539999;0.023942016;9.0839;3.0885203;
-0.009010263;-8.399397E-4;-0.08895725;-18.48;-38.46;-19.02;0.50278234;9.059958;3.3686419;
0.14676037;-0.4003458;0.037491854;-18.42;-39.0;-19.98;0.5674258;8.700829;3.2249897;
0.07162395;-0.35025486;0.055817813;-17.46;-39.3;-19.439999;1.508347;9.426271;2.942474;
-0.15745051;-0.3826307;-0.060246583;-17.699999;-38.52;-18.06;1.1779473;9.229947;2.753332;
-0.3388775;-0.094913185;-0.010155635;-16.619999;-39.84;-19.38;0.78529817;9.033623;3.3854012;
-0.22036964;-0.19753855;0.0753655;-16.8;-39.239998;-19.8;0.7015011;9.206005;3.5218706;
-0.18127427;0.008933905;0.13217597;-17.46;-38.82;-19.439999;0.33518824;9.105449;3.763685;
0.2591596;-0.04482224;0.15844317;-17.279999;-39.239998;-19.439999;0.78050977;9.364022;3.5242648;
0.26710084;-0.025885414;0.27145323;-18.119999;-38.46;-18.3;1.3263878;9.507674;2.8562827;
0.17547104;-0.1895973;0.08819367;-19.08;-38.879997;-18.779999;1.8004397;9.639356;2.7461493;
-0.1684461;0.020540344;-0.030925052;-20.88;-37.2;-18.24;1.4460979;9.019258;3.1747115;
-0.075594574;-0.11323915;0.032604933;-20.279999;-38.34;-17.94;1.4341269;8.808567;3.655946;
0.061239243;-0.16271923;0.08636107;-20.64;-37.02;-18.72;1.2808979;9.057565;2.9161377;
-0.03283401;-0.15416712;0.058872137;-20.279999;-37.559998;-18.42;1.7022774;9.507674;3.016694;
-0.25335637;0.012599096;-0.061468314;-21.539999;-37.62;-18.3;1.2497733;9.273043;2.6360161;
-0.20631973;-0.049098294;0.041157044;-21.359999;-37.14;-19.32;1.5442601;9.153333;3.2154129;
-0.011453724;-0.09002627;-0.0052687125;-21.119999;-37.02;-19.859999;1.4460979;9.141361;3.4237084;
