gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14469871;0.43730316;-0.09980011;-17.22;-22.02;-44.28;-1.1180922;5.720047;7.6378026;
-0.094607756;-0.05138904;0.38644862;-16.02;-22.32;-45.18;-1.5634137;5.758354;6.5699887;
-0.13492486;-0.3030655;0.23189972;-17.16;-22.5;-44.76;0.1412579;6.404789;6.8525047;
-0.81909394;-0.18516853;-0.58788145;-17.4;-21.6;-45.42;-1.4532804;7.4175363;6.7806783;
-1.5881733;0.26015225;-1.0075458;-16.74;-20.4;-45.66;-4.855441;7.568371;7.1876926;
-1.2668581;0.10865766;-1.1737012;-14.58;-16.56;-47.34;-6.5915365;7.6234374;6.9219365;
-1.3865877;0.11965323;-0.89025974;-14.58;-14.16;-49.32;-8.538023;5.746383;10.158897;
-0.45990518;0.7769442;0.58986676;-13.38;-12.12;-49.8;-7.597101;2.992752;13.122919;
0.20593795;0.008475755;-1.0991757;-12.599999;-10.5;-50.879997;-3.9504328;4.9179897;10.551546;
1.5351807;0.5894086;-2.054569;-12.719999;-11.46;-50.34;-3.4021606;4.898836;5.5811834;
-1.7445548;-0.5217553;-0.69356114;-11.04;-14.04;-49.98;-4.0533834;3.181894;-0.074220255;
-2.1807125;-2.1191678;-0.53107095;-12.24;-9.24;-50.7;6.076783;2.2720973;6.830957;
0.8125271;-3.8760164;-0.44554985;-18.0;-4.62;-49.5;11.217134;0.320823;5.4231663;
-0.025579982;-3.6628244;0.58436894;-26.16;-6.24;-47.399998;17.059286;2.2002714;10.008062;
0.14301883;-1.914528;-1.324585;-33.54;-5.3399997;-43.2;5.11192;1.4556746;13.738229;
-0.53198725;0.77816594;0.5312237;-36.239998;-7.3199997;-40.86;3.406949;1.5921441;14.9547825;
1.7886899;1.1569024;-0.19265163;-35.46;-7.2599998;-42.059998;5.114314;2.6599581;8.269872;
0.95791304;0.5765804;0.3742313;-32.82;-9.42;-42.36;3.289633;3.2561142;3.6463692;
-0.15508342;0.39759693;0.070631295;-31.74;-10.92;-43.62;5.0233345;3.9719806;9.342474;
-0.24182628;1.0377837;-0.19570595;-31.019999;-10.8;-44.28;6.670545;2.8682537;9.517251;
-0.49716794;2.038992;0.3907247;-29.82;-11.94;-45.6;6.3066263;1.8052281;11.774983;
-0.28764117;2.1709387;0.26366472;-26.34;-10.86;-46.92;6.146215;1.5370775;8.2794485;
-1.2729669;2.2705097;0.71509415;-20.52;-9.9;-50.7;2.6599581;1.2665327;7.8700404;
-0.8465829;1.3975834;0.60025144;-17.34;-7.8599997;-51.78;0.62488663;3.6176388;9.122208;
-1.4959326;-0.4160756;0.14026994;-12.9;-6.18;-52.739998;-2.932897;-0.533907;3.8163576;
-3.9729912;-0.023900103;0.9130145;-13.92;-0.29999998;-52.26;0.5363012;-0.80684596;15.617976;
1.0678688;0.074449204;-1.4858533;-13.259999;7.68;-52.14;-3.7134068;-1.2234371;12.972084;
0.21082486;0.8508589;-1.4094952;-12.84;5.4;-52.02;-8.004115;0.17238252;9.5292225;
0.9682978;0.27603474;-1.6318501;-11.04;3.36;-52.559998;-8.600272;1.5131354;4.5441947;
0.14240795;-0.16867517;-0.6996698;-11.04;1.14;-52.8;-10.292973;-0.34476504;7.3097973;
-0.7066947;-0.4160756;-0.07231117;-10.26;0.78;-52.739998;-5.279514;-0.2657564;10.312126;
0.2523637;0.16302466;0.4414265;-11.4;2.34;-52.14;-3.205836;-0.7038953;12.363956;
0.6537022;0.2008983;0.1249983;-10.86;2.1;-52.5;-3.4117374;-0.0047884034;9.217976;
0.31161764;0.26015225;0.38400516;-10.38;1.3199999;-52.739998;-1.6328455;0.31124622;7.561188;
0.53824866;-0.27068967;0.21357377;-10.5;-0.59999996;-52.559998;-3.0454245;0.107739076;7.2690954;
-0.5118287;-0.16500998;0.52328247;-10.98;-1.3199999;-53.219997;-1.9321208;0.016759412;8.78702;
-0.113544576;-0.12408201;0.24167356;-12.059999;0.78;-52.5;-1.3790601;0.36152446;10.807726;
-0.11537717;-0.04100433;0.15798502;-11.759999;1.26;-52.559998;-1.8435353;0.7589619;9.20361;
-0.34750596;-0.0067958757;0.11033753;-11.099999;0.96;-52.199997;-2.4349031;-0.02633622;9.93863;
-0.22288945;-0.09170614;0.22884539;-11.639999;1.9799999;-52.079998;-1.6543933;-0.14844051;10.132561;
-0.015195273;-0.16134478;0.36079228;-11.5199995;2.1599998;-52.199997;-1.5442601;0.095768064;10.338462;
0.15767959;-0.062384613;0.13660474;-11.4;2.28;-52.379997;-1.13964;0.8283938;9.878776;
0.13568844;-0.04100433;0.10239629;-12.0;1.86;-52.26;-1.5227122;0.25378537;9.735124;
0.14057536;-0.030619621;0.032757647;-13.0199995;1.5;-51.66;-1.910573;0.01436521;9.395146;
0.16134478;-0.15340354;0.09017898;-11.759999;2.04;-51.719997;-2.1739352;-0.047884032;9.086295;
-0.20028745;-0.08315403;0.037644573;-12.24;0.65999997;-52.98;-1.6328455;0.10295067;9.421483;
-0.20395264;0.0182496;0.33574682;-13.44;1.5;-51.3;-1.99437;-0.48602295;9.933842;
0.053221636;-0.07154759;0.076739945;-13.2;3.12;-51.3;-2.2385786;-0.15801731;9.948207;
0.0129045285;-0.072158456;0.32658383;-13.62;2.46;-51.6;-1.685518;0.22744916;8.825327;
-0.16668986;-0.036728274;0.32414037;-12.42;2.22;-51.719997;-2.2361844;-0.6847417;10.297761;
