gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.0154243475;0.17264579;0.04176791;-15.42;-38.399998;12.84;2.6623523;9.761459;0.33758244;
0.07223482;-0.03443753;0.13461943;-15.299999;-37.8;13.08;2.6288335;9.569923;0.06703765;
-0.0010690142;0.30825788;0.06925685;-15.36;-38.64;13.2;2.540248;9.81892;0.7086837;
0.14065172;0.4731915;0.03443753;-16.02;-38.52;12.599999;1.8004397;10.431836;2.8203697;
0.07040222;0.7932849;8.399397E-4;-16.98;-38.04;12.96;2.96881;10.276213;4.795586;
0.28787026;1.567862;-0.20135646;-16.92;-37.92;10.86;2.006341;10.668862;5.198111;
0.3727805;1.6387224;-0.73280925;-18.359999;-38.1;10.26;2.0470424;12.093412;4.656722;
0.28420505;1.4762322;-0.6008623;-17.1;-38.76;9.36;1.4820108;11.834838;4.6926355;
0.08750644;1.4976125;-0.6558402;-17.4;-39.719997;7.7999997;-0.62967503;10.676044;3.0813377;
-0.27290404;0.5770386;-0.13477215;-17.279999;-40.5;6.12;-1.2473791;10.010457;2.2577322;
-0.3126103;0.07307476;0.87132293;-16.8;-40.68;5.1;0.20590134;8.961796;0.3854665;
0.19440787;-1.7558558;-0.5312237;-19.26;-40.62;4.14;2.96881;8.380005;-3.608062;
0.733191;-1.9220111;-1.1616366;-17.58;-41.52;5.7599998;3.311181;6.292261;-3.7086184;
2.2353086;-2.5066092;-1.2245557;-12.48;-41.04;11.16;1.1587936;6.0073514;-10.59943;
1.871233;-0.98066777;1.3679564;-10.0199995;-40.62;16.14;4.3406878;5.933131;-8.818144;
0.24144448;-1.220127;1.3875041;-10.26;-37.5;22.859999;5.720047;9.617807;-9.80695;
-0.5746715;0.051083606;1.9641608;-12.0;-35.46;24.119999;5.3106384;7.8125796;-5.822998;
0.1375974;0.18058704;0.18287778;-15.12;-34.8;22.619999;4.0054994;8.066365;-4.3718123;
0.5145013;0.25938866;-0.5733734;-15.599999;-34.5;23.16;1.4437037;8.590695;-6.6729393;
-0.14523321;0.5446627;-0.55504745;-15.299999;-34.739998;23.82;2.3558946;9.088689;-6.194099;
-0.83184576;0.90751666;-0.9166797;-14.58;-35.219997;21.6;3.0502129;8.487744;-10.683228;
-0.9961685;1.3277919;-0.2111303;-14.58;-36.54;20.699999;2.9879637;6.194099;-8.53084;
-0.5728389;1.3736069;-0.26366472;-14.7;-38.579998;16.5;2.9831753;6.359299;-6.988974;
-0.14401148;1.4493542;0.22991441;-15.78;-39.54;13.62;3.3399115;6.878841;-5.360917;
0.18707748;0.94722295;0.25190556;-16.5;-39.66;12.3;3.1483753;7.7551184;-1.7046716;
0.06795876;0.05169447;0.091248;-17.16;-38.7;11.759999;2.5354595;9.301773;-0.59136784;
0.3031419;-0.86032736;-0.4084398;-17.82;-39.0;11.94;3.0095115;10.178051;1.1755531;
-0.07803804;-1.21524;0.08208502;-15.12;-39.54;12.9;0.93373865;10.846033;1.6448165;
-0.41401392;-0.69478285;0.9904416;-16.14;-36.78;15.42;2.456451;12.134113;1.8507179;
-0.20265454;-1.7210364;0.43272167;-16.68;-37.5;14.639999;1.3455414;13.1277075;3.0119057;
-0.45066583;-1.6110808;-0.10789407;-15.66;-37.2;16.26;3.181894;12.584224;2.705448;
-0.6601926;-0.88842714;-0.0016035213;-13.679999;-36.54;18.359999;-0.51235914;9.773431;3.1148565;
-0.47693303;-0.73082393;-0.26366472;-13.2;-37.02;18.06;-1.520318;8.827721;1.6424223;
-0.3987423;-0.43821946;0.22686008;-12.0;-38.16;16.859999;0.02633622;8.425495;0.82360536;
0.032528576;-0.20242546;0.40828705;-11.82;-38.16;16.98;3.4237084;9.239524;0.50996494;
0.08506299;0.03153592;0.1437824;-12.12;-36.96;16.8;4.1491513;10.264242;-0.2657564;
0.012370021;0.3198643;0.0026725354;-12.84;-37.62;17.88;3.1028855;10.367192;-1.5442601;
-0.026725354;-0.011224649;-0.22212587;-13.139999;-37.5;16.74;2.5258827;9.651326;-0.9983821;
0.049021937;0.16103935;-0.1512655;-12.84;-37.559998;16.92;2.7964275;9.768642;-1.3838485;
-0.18432859;0.15248723;0.022831088;-12.78;-38.879997;16.44;1.9321208;9.119814;-1.0534488;
0.24266621;-0.122402124;-0.029092457;-12.96;-38.1;16.26;2.27928;9.0839;-1.1180922;
0.16325374;-0.049098294;-0.049861874;-13.679999;-36.899998;16.619999;3.1914709;9.689633;-1.5179238;
0.22250767;0.1512655;0.069867715;-13.2;-38.16;17.46;2.813187;9.680057;-1.3814543;
0.0154243475;0.13416128;-0.06207918;-13.139999;-37.32;18.119999;2.3989902;9.737517;-1.6543933;
0.05085453;0.19219348;0.014278975;-14.099999;-38.28;17.82;1.910573;9.304167;-1.1827357;
0.07651087;0.09934196;0.07841983;-13.139999;-37.8;17.58;2.0254946;8.743924;-0.89064306;
0.13515393;0.0077121737;0.11568261;-13.32;-37.32;17.46;2.861071;9.198822;-0.9840169;
0.23716843;0.11950051;0.07780896;-14.5199995;-37.02;18.48;3.1148565;9.785401;-1.9680338;
0.12904528;0.19097175;0.014278975;-14.46;-36.899998;17.88;2.5689783;9.708787;-1.99437;
0.028252518;0.36873353;0.25190556;-13.86;-35.88;18.0;1.4987702;9.347262;-2.1308396;
