gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.016340645;0.18180877;0.024663685;11.759999;-19.199999;-45.899998;-4.084508;4.771644;6.414366;
0.030085113;-0.12179126;0.14256068;10.98;-19.14;-46.32;-3.6463692;5.064036;7.9658084;
-0.24113905;0.059024855;0.13400856;10.92;-19.68;-45.84;-3.4045548;5.44232;7.1589622;
-0.02733622;-0.23785566;-0.18913916;12.059999;-19.859999;-46.86;-3.1771057;5.408801;8.133403;
-0.0364992;0.032757647;-0.13355042;11.94;-18.72;-46.98;-3.3614593;5.6649804;7.609072;
-0.22586742;-0.35269833;0.091248;12.059999;-17.46;-46.8;-4.283227;4.7860093;8.243536;
0.004428773;0.8000044;0.075976364;11.82;-17.82;-46.26;-4.086902;6.014534;10.146926;
2.4674375;0.897132;0.8310058;14.4;-17.16;-46.92;-7.3002205;6.8285627;11.604995;
2.741105;-0.107741356;1.2934308;17.16;-21.42;-44.34;-6.790255;13.695133;-0.15801731;
1.680643;0.9912052;0.82367545;17.22;-26.34;-41.94;-8.581119;12.979267;4.050989;
2.4307854;1.1512519;1.6068047;18.96;-31.74;-38.16;-8.356063;11.28896;-0.3878607;
2.5181394;1.0309114;1.4577535;18.539999;-37.559998;-34.2;-5.267543;9.002498;-3.4165258;
1.4973835;-0.17432567;1.4412602;17.699999;-42.66;-29.46;-2.6264393;7.285855;-3.5434184;
0.40454552;-0.490143;0.38079813;15.299999;-45.0;-26.519999;0.19632454;6.869264;-1.2354081;
-0.049938235;-1.5243379;0.59154665;14.16;-45.0;-26.4;0.8355764;5.3920417;4.817134;
-0.8153524;-1.7442493;0.084528476;10.2;-45.899998;-27.48;2.4253263;3.940856;6.754342;
-1.3419182;-1.8309922;0.7253261;8.639999;-45.18;-29.34;0.7661445;5.138256;11.272201;
0.02397646;-1.6904932;1.5567137;3.1799998;-43.92;-33.18;2.4732103;6.9195423;9.057565;
-0.65286225;-0.55061865;0.34658965;-1.9799999;-43.62;-33.059998;2.5354595;8.595484;5.4997807;
-0.77442443;-0.4516585;-0.60697097;-3.0;-43.68;-34.079998;2.4756045;9.522039;5.4040127;
-0.53801954;0.26488644;-0.94294685;-2.58;-42.36;-36.36;-1.4987702;8.27466;5.245995;
-0.10552697;0.29665142;-0.12560916;-0.59999996;-41.46;-36.059998;0.521936;9.481338;6.3616934;
0.57436603;0.29665142;0.30505082;0.48;-40.739998;-35.82;-0.44532153;9.050382;5.2603602;
0.9219484;0.43898302;0.72654784;-0.06;-41.399998;-35.579998;1.5011644;9.170092;6.3616934;
1.24082;0.579482;0.5848271;-0.42;-43.559998;-34.739998;2.789245;7.1589622;4.6136265;
0.39599338;0.7572438;-0.36018142;-1.14;-44.04;-31.619999;4.3382936;7.927501;6.2587423;
-0.053603426;1.064509;-0.5984189;0.17999999;-45.539997;-30.48;1.673547;6.742371;8.825327;
0.22922719;0.94172513;-0.4536438;2.82;-44.399998;-30.66;-0.31364042;6.016928;5.729624;
0.3061962;0.66378146;0.45410195;5.46;-45.42;-29.34;0.08379706;8.363246;4.6232033;
0.06918049;0.43043092;-0.3290273;4.02;-46.26;-29.4;-0.59855044;8.803779;0.6967127;
-0.087201014;-0.006337727;-0.05535966;4.7999997;-46.44;-28.32;-0.62249243;10.228329;1.2689269;
-0.18799378;-0.33987015;0.13217597;4.14;-45.12;-28.619999;-3.4261026;9.792584;-2.2361844;
-0.64858615;-0.29100093;-0.6106362;4.38;-45.36;-29.82;-1.5705963;11.655273;1.2306197;
-0.93508196;-0.42478043;-0.54771703;4.44;-43.92;-30.0;-4.1012673;11.446978;2.0398598;
-0.6730208;-0.5072472;-0.69676816;6.18;-42.0;-32.16;-4.537012;11.439795;-1.8195933;
-0.35903606;-0.51702106;-0.9508881;6.24;-41.04;-32.82;-2.542642;10.8987055;-1.0845734;
-0.5911648;-0.084528476;-0.5385541;7.14;-40.079998;-33.719997;-3.157952;10.776601;0.6847417;
0.15409076;-0.30627257;0.12179126;7.02;-39.84;-34.5;-1.6950948;10.405499;0.2633622;
-0.122020334;-0.02649628;-0.005879578;7.2;-39.3;-35.16;-2.2625206;9.447819;3.016694;
0.21395555;-0.21647537;0.64285934;6.72;-38.7;-35.46;-2.207454;9.103054;3.6774938;
-0.018784106;0.22395848;0.09857838;5.94;-40.26;-35.88;-2.0087352;8.767866;4.3526587;
0.16081028;0.052305337;0.37835467;5.58;-39.6;-35.82;-1.2617443;8.930672;3.2489316;
-0.08536842;0.38950294;-0.11461359;4.92;-40.44;-34.92;-1.1827357;9.361628;3.9983168;
0.09483683;0.055970527;0.13034338;5.4;-39.78;-34.98;-1.9393034;8.5499935;3.3662477;
-0.1788308;0.3271947;0.12118039;4.8599997;-40.32;-34.5;-1.1875241;8.743924;3.1962593;
-0.16050485;0.20685424;0.061926465;5.7;-39.36;-35.04;-1.9393034;8.5978775;3.916914;
-0.10919216;-0.01488984;0.4284456;5.7599998;-39.36;-36.0;-1.4293385;8.842086;4.10845;
-0.10430524;-0.009392053;0.39851323;5.1;-38.52;-35.579998;-0.38067806;9.636961;4.4603977;
-0.12385293;0.013209961;0.25190556;4.3199997;-39.719997;-36.239998;-0.6512229;8.949825;4.0940847;
-0.1067487;-0.10835222;0.34658965;5.46;-39.899998;-35.399998;-0.62488663;8.873211;3.739743;
