gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.1998293;0.39026654;0.26671904;-24.42;-28.92;-14.7;2.0566192;9.241918;3.58412;
-0.22350033;0.47823113;0.26183212;-23.22;-28.019999;-14.46;1.1468226;8.875605;3.3183637;
-0.049403727;0.39759693;0.38889208;-23.519999;-27.3;-15.179999;0.49081135;9.328109;3.5338416;
-0.29741502;0.973032;-0.11873693;-23.88;-27.66;-16.44;-1.4460979;12.821249;4.1491513;
0.7715992;0.5771913;-0.57077724;-22.619999;-26.82;-18.42;-5.1430445;13.680768;4.5681367;
0.9542479;0.5930738;-0.69417197;-21.539999;-28.38;-17.279999;-2.7724855;15.160684;4.8458643;
1.2444088;0.9675342;-0.85482955;-19.32;-30.0;-16.8;-3.9001546;12.253823;4.9874215;
2.1564307;-0.15096007;-1.6196328;-16.98;-32.64;-13.559999;-4.4220905;8.875605;-1.2593501;
1.1014664;-0.609109;-1.0289261;-14.34;-35.64;-8.88;-2.4253263;8.114249;-0.9648633;
0.9927324;-0.76610136;0.2832124;-13.559999;-36.36;-7.2;1.6208745;5.198111;-3.8019924;
0.79786634;-1.2529609;2.601446;-14.88;-36.42;-4.08;7.352893;0.79487497;-0.5363012;
-0.18807013;-1.452714;3.0247755;-22.68;-33.719997;-2.28;21.134216;6.632238;-0.10055647;
-2.3303745;-0.5040402;0.9887618;-28.14;-29.76;-1.02;8.928277;10.312126;7.154174;
0.5510768;0.5991824;-0.58543795;-29.4;-29.58;-4.62;6.218041;7.570765;4.9850273;
1.5895478;0.7720573;-0.36858082;-28.8;-29.279999;-4.56;6.8261685;6.289867;-0.93852705;
-0.36216673;0.85208064;-1.3429109;-28.019999;-29.88;-2.7;8.81575;8.123826;-3.0621839;
-1.5258651;1.0554988;-1.3862823;-24.9;-31.199999;-4.92;9.663298;8.3033905;1.0965444;
-1.6064992;1.2851841;-1.256168;-21.48;-32.88;-8.099999;5.96665;7.376835;3.040636;
-0.23755023;0.6107889;-0.7876344;-18.66;-34.2;-12.3;4.237737;8.286632;3.406949;
-0.20945042;1.1098658;-0.39606977;-15.0;-34.62;-13.44;-0.9696517;6.6537857;0.90740246;
-0.3132975;0.44463354;-0.20242546;-13.799999;-33.719997;-14.4;-1.3958195;9.354445;2.4420857;
0.54863334;-0.8601746;-0.2653446;-11.7;-34.26;-15.179999;-5.4495025;10.304943;3.691859;
1.080697;-1.8632153;-0.594601;-12.48;-35.219997;-12.24;-7.118261;13.1277075;-0.1316811;
-1.9094884;-0.4930446;0.111559264;-12.48;-35.82;-9.96;-9.802161;8.363246;-0.44771573;
-1.1251374;-0.5260313;0.0846812;-13.139999;-34.38;-13.139999;-5.964256;9.02644;0.8714894;
-0.026190847;-0.5437464;0.09750936;-12.48;-34.8;-14.099999;-3.028665;10.089465;4.4939165;
-0.274813;0.05551238;0.09750936;-13.559999;-34.739998;-14.639999;0.34476504;11.662456;3.8187518;
0.23464862;-0.21510093;-0.46265405;-13.62;-34.2;-16.02;-0.58897364;9.780613;4.3382936;
0.11675162;0.10682506;0.037033707;-13.139999;-34.079998;-15.0;0.0047884034;8.899547;2.5905263;
0.091095276;-0.06666067;-0.22075143;-13.38;-33.899998;-14.88;-0.5554548;8.638579;3.4284968;
0.1643991;-0.032452215;0.25205827;-12.3;-34.8;-14.219999;0.035913024;9.423877;2.6384103;
0.14790575;-0.08559749;-0.019165898;-13.32;-33.899998;-13.92;-0.5291186;8.997709;3.2154129;
-0.009697486;-0.044058654;0.16287194;-13.259999;-34.26;-14.219999;-0.021547815;9.56753;2.9376855;
0.26030496;-0.42218423;0.0022143866;-13.44;-34.44;-13.2;0.82121116;9.912294;4.2042184;
-0.051847186;0.22716552;-0.051541757;-14.639999;-34.86;-13.679999;0.51954174;9.998486;2.6479871;
0.0800997;-0.009850202;-0.050320026;-14.04;-34.44;-13.0199995;0.4189853;9.349657;3.3446999;
0.1259146;-0.0019089539;-0.2494621;-14.04;-35.04;-12.719999;-0.021547815;9.677663;2.4971523;
-0.007254025;-0.14118622;-0.17860173;-13.5;-34.8;-12.48;-0.40701428;9.153333;2.5881321;
0.124692865;-0.118584216;0.039477166;-13.0199995;-34.68;-12.48;-0.6919243;8.873211;2.3918076;
-0.078725256;-0.09170614;0.02115121;-13.259999;-35.76;-11.58;-0.35673606;9.29459;3.3901896;
-0.022525655;0.081779584;0.030314188;-13.799999;-35.28;-12.0;-0.3854665;9.392753;3.0454245;
0.034895677;0.028634308;0.06757697;-13.44;-34.86;-12.24;-0.30885202;9.225159;3.1028855;
0.091095276;-0.012293663;0.0016035213;-13.62;-34.68;-11.4;0.34955344;9.821315;2.2816741;
-0.04268421;0.06650795;0.07490735;-14.04;-34.739998;-12.48;-0.32800564;9.285013;2.7724855;
0.076434515;-0.10147999;-0.14989106;-13.74;-34.739998;-11.34;0.1388637;9.522039;2.918532;
-0.05673411;0.15325081;0.16348282;-13.38;-34.26;-12.24;-0.33997664;9.170092;2.4037786;
-0.0066431593;-0.11675162;-0.080252424;-13.5;-35.399998;-11.46;-0.320823;9.057565;2.837129;
-0.046960264;0.054901514;0.19341521;-13.38;-35.64;-11.639999;0.10534488;9.44303;3.3135753;
-0.023747386;0.010919216;-0.025274549;-13.44;-34.86;-12.179999;-0.62249243;9.155726;3.2800562;
-0.101938136;0.090331696;-0.08086329;-13.74;-34.38;-12.48;0.51475334;9.620202;3.0933087;
