gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.6659195;-0.13874277;-0.09002627;9.96;-32.64;-33.3;-3.0478187;8.358458;3.478775;
0.65981084;-0.5107597;0.45120034;10.44;-34.32;-32.1;-3.952827;9.404723;1.1899183;
1.5382351;-0.9695195;-0.5750533;7.5;-35.16;-30.779999;-4.548983;10.474932;1.5490485;
0.62315893;-0.822301;-0.19265163;5.8199997;-35.579998;-27.599998;-8.315362;11.399094;-2.4372973;
-0.7604509;-0.15096007;-0.8102364;6.12;-35.52;-27.359999;-5.9594674;10.336068;1.8842367;
0.053221636;-0.44967318;-0.25495988;5.7;-35.219997;-28.38;-8.107066;8.056788;-1.8219875;
-0.30718887;-2.2260692;1.1769083;7.56;-35.46;-30.84;-1.8698715;8.111855;1.8579005;
4.0562215;-3.655494;-0.23663393;3.0;-36.239998;-31.679998;1.7070658;8.676887;0.7493851;
0.122860275;-1.7801377;2.0241783;-1.14;-39.54;-24.3;8.061577;8.272266;-1.0965444;
0.33055446;-0.7715992;1.9356029;-5.7599998;-40.26;-24.119999;5.2172647;6.301838;-0.009576807;
0.65858907;-1.2835042;2.1194732;-10.86;-39.54;-22.8;12.081441;9.730335;-2.4899697;
1.7453184;-2.2584453;0.878806;-17.46;-39.18;-20.16;8.025663;8.425495;6.6729393;
4.95908;-0.9939541;-0.95989835;-19.32;-40.62;-16.38;8.169315;10.805331;1.8626889;
-0.47639853;1.3090079;-1.0814606;-17.82;-42.239998;-4.02;0.18914193;6.6394205;-13.690345;
-1.6113862;-0.74594283;-0.12606731;-15.54;-42.78;-4.92;4.2521024;7.178116;-1.4508862;
1.2291372;0.76411605;-0.7931322;-15.24;-43.02;-7.3799996;3.1196449;8.267478;-1.1085154;
-1.6016123;1.2784646;-1.0845149;-13.32;-43.86;-5.58;7.544429;12.299314;-10.45099;
-4.929606;1.4800501;-1.1352167;-9.0;-43.32;-12.179999;7.5540056;8.097489;0.32561144;
-2.9326878;1.6956855;-0.70883274;-6.8399997;-40.92;-22.68;4.417302;6.8644757;5.3537345;
-0.31818444;2.731713;-0.5481752;-2.52;-38.46;-28.26;2.0494366;10.767024;-2.291251;
-3.3767867;0.00908662;-1.3539065;0.96;-37.32;-30.42;-1.4437037;10.482115;-12.3950815;
-2.1898756;-3.1668017;-0.19204076;3.0;-33.0;-35.64;-0.6967127;3.2752678;18.972252;
2.3323598;1.6345991;-0.0020616702;-1.26;-29.58;-40.26;-1.1444284;6.8165917;13.841179;
0.8974374;1.8172477;0.3375794;1.0799999;-32.94;-37.559998;-2.504335;12.01201;0.33997664;
1.8351156;-0.41363212;-0.5200754;1.92;-36.12;-33.96;-4.0797195;11.681609;-4.209007;
-0.6688211;-0.47471866;-0.36735907;2.22;-37.5;-30.72;-4.793192;9.19164;1.091756;
-0.75373137;0.0035888334;-0.46693012;2.52;-37.2;-33.0;-4.450821;7.764695;2.9520507;
-0.66210157;-0.086819224;-0.4724279;3.6;-35.219997;-33.48;-5.717653;6.914754;1.6783354;
-1.0023535;0.60406935;0.33696854;4.44;-34.8;-34.98;-4.5801077;7.819762;2.5258827;
0.9731847;-0.7386124;-0.1297325;4.44;-32.7;-36.36;-0.5410896;11.585841;5.1454387;
1.067258;-0.055665094;-1.0380892;4.14;-34.44;-34.86;-0.5482722;12.13172;3.0119057;
0.23464862;0.074449204;-0.7027241;5.8799996;-35.1;-32.94;-4.4340615;7.4558434;1.0486604;
0.24869852;-0.21815525;-0.106519625;7.2599998;-35.04;-31.8;-2.2266076;7.6737156;1.3311762;
-0.06772968;-0.15890132;0.06452264;7.02;-35.88;-32.28;-3.2465374;7.913136;1.745373;
-0.22838724;-0.076434515;0.28871018;6.7799997;-35.94;-32.46;-1.7310078;9.050382;2.3223755;
-0.070173144;0.02985604;0.16592628;6.0;-34.8;-33.18;-2.3391352;8.945037;3.8115692;
0.18028161;0.23571762;0.10606148;4.74;-36.0;-32.88;-1.5514427;10.252271;2.8107927;
-0.102549;0.30352366;-0.091858864;5.7;-35.88;-31.679998;-2.0566192;9.426271;1.9656396;
0.027565295;0.07994699;0.07185303;6.06;-36.0;-32.16;-1.4748282;8.971373;2.554613;
0.026343564;0.14042264;0.039477166;6.18;-36.3;-33.12;-2.243367;8.818144;2.2960393;
-0.18379408;0.15630515;0.26977336;6.18;-36.239998;-32.82;-1.3239936;9.364022;2.2936451;
0.028787024;-0.041615196;0.027259862;6.8399997;-36.18;-32.28;-2.1380222;8.959402;2.7509377;
-0.07383834;-0.023900103;0.23189972;5.8799996;-35.7;-31.679998;-0.7661445;9.991303;2.372654;
-0.13370313;0.031077769;-0.028328875;5.8199997;-36.18;-32.7;-1.4389153;9.665691;2.942474;
0.118584216;-0.04955644;-0.006948592;5.8199997;-34.8;-32.399998;-1.2737153;9.562741;2.8754363;
0.2767983;-0.098425664;-0.059483003;6.24;-35.82;-32.28;-1.6783354;9.098266;2.2577322;
0.33177617;-0.31833714;0.104228884;5.94;-36.059998;-31.019999;-1.9416976;8.581119;2.1811178;
0.41546473;-0.20532708;0.115835324;4.5;-36.899998;-31.619999;-1.5370775;9.368811;3.0190883;
0.2786309;-0.25297457;0.2764929;4.38;-37.26;-30.66;-1.1827357;9.79019;2.1930888;
-0.2467132;-0.17783815;0.31192306;2.76;-38.34;-30.84;-1.9009962;9.268254;2.1930888;
