gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.24365887;0.10560333;0.123165704;3.48;7.44;-48.899998;-1.7070658;1.8052281;9.586683;
-0.3010802;-0.24686591;-0.06742425;3.6599998;8.46;-49.68;-2.3654714;2.1068976;9.464579;
0.178449;0.12148582;0.20502165;3.78;8.28;-49.86;-3.406949;2.3104045;10.534787;
0.46005788;0.12820534;-0.014278975;3.6;7.98;-50.399998;-6.218041;4.5298295;9.742306;
0.5901722;0.59185207;0.041309763;4.02;6.96;-50.52;-8.39437;4.072537;11.130943;
0.48754683;0.89117604;0.15615243;4.62;5.8199997;-50.52;-7.2690954;3.6248214;10.49648;
0.32566753;1.8080847;-0.38568506;8.04;5.1;-50.579998;-7.903559;2.2242134;10.302549;
2.9633837;0.41347942;-0.40645447;11.7;3.6599998;-48.719997;-8.193257;2.540248;7.084742;
1.1961505;0.85513496;-0.30321825;13.98;-1.86;-48.78;-5.969044;5.1430445;2.15957;
0.85834205;-0.81924665;-0.045433104;15.599999;-4.02;-47.1;-5.753566;3.9743748;1.7741034;
-0.44096833;-1.8974239;1.1207087;13.98;-5.8199997;-48.0;3.9719806;2.3104045;2.3918076;
0.49732068;-4.3476043;1.2667054;9.54;-3.6;-48.12;8.930672;1.5346833;3.2609026;
-1.9962313;-2.8656452;1.6320028;0.71999997;-4.2599998;-49.26;19.000984;6.292261;15.476718;
-0.36827537;-2.2895992;-1.7790687;-6.7799997;-1.62;-51.059998;-2.2936451;0.023942016;9.900323;
-0.4366923;0.8862891;1.0113637;-11.82;-1.38;-51.059998;5.6673746;3.6248214;16.637907;
2.7770698;0.6639342;-0.031994067;-11.04;-0.48;-50.7;2.2242134;3.4763808;7.3864117;
0.5614615;0.6138432;0.05841399;-8.22;-6.8399997;-50.219997;2.6719291;7.568371;5.8397574;
-0.7250207;0.5759696;-0.48647782;-7.9199996;-9.059999;-50.039997;2.9592333;6.332963;10.987291;
-0.31757358;1.8270216;0.09506591;-5.16;-7.44;-51.48;5.909189;3.4620156;10.843638;
0.19799669;2.2069798;0.198913;-2.9399998;-6.8999996;-51.48;7.036858;4.156334;11.403882;
-0.061010167;2.0444896;0.24167356;2.34;-7.74;-50.52;2.480393;3.98874;7.228394;
-0.5613088;1.8917733;0.35040757;7.02;-7.5;-48.899998;-0.8523358;3.9264908;7.6976576;
-2.903977;1.2638038;-0.020998493;9.96;-5.94;-48.78;-3.8762126;2.9975405;9.000103;
-0.973032;0.58757603;0.17447838;12.84;-0.71999997;-47.94;-5.1286793;7.716811;8.133403;
1.6170367;0.6724863;-2.4772875;14.58;0.71999997;-46.68;-6.4359136;7.2331824;6.917148;
1.1558334;-0.21632266;-2.4333053;15.179999;0.96;-46.559998;-12.16045;1.8986019;0.038307227;
0.76121444;-0.6793585;-0.8316167;15.36;0.06;-47.16;-11.794137;0.35913026;3.9839516;
-0.26137397;-1.135064;0.45914158;12.84;-1.26;-48.0;-7.793426;3.016694;6.6418147;
-1.222265;-0.051999904;0.76579595;10.92;-2.1599998;-49.32;-4.027047;4.2425256;10.1660795;
0.13691017;-0.20593795;0.17020233;11.04;-0.12;-49.02;-3.7852328;4.173094;10.412683;
-0.23510677;0.04512767;-0.2506838;10.62;-0.35999998;-48.96;-3.0502129;4.4077253;8.030452;
0.34826955;0.22838724;-0.20975585;9.84;-0.35999998;-49.26;-4.414908;2.9400797;8.3752165;
-0.027412578;0.13003793;-0.16882788;10.8;0.29999998;-48.539997;-3.3255463;2.825158;8.41113;
-0.071394876;0.13003793;0.011377365;10.44;0.24;-49.26;-4.144363;2.6168625;8.312967;
-0.07078401;-0.07338019;-0.10102184;11.099999;-0.06;-48.78;-3.7660792;3.107674;8.181287;
0.026343564;-0.062384613;0.2129629;9.84;0.42;-49.5;-3.3973722;3.3375173;8.494926;
-0.0603993;-0.15890132;0.030925052;10.139999;1.14;-49.68;-3.8546648;3.1962593;9.000103;
0.21754439;-0.12041681;0.06574437;10.0199995;0.96;-49.02;-3.7134068;3.2728736;8.332121;
-0.2607631;-0.054443367;0.040698897;10.5;0.06;-49.5;-3.4165258;3.2848446;8.444649;
0.44112107;-0.07276932;0.044364087;10.139999;0.42;-49.26;-3.7660792;2.9161377;8.90673;
-0.24610233;0.11171198;0.13232869;10.26;0.0;-49.2;-3.739743;3.1794999;8.310574;
-0.0322995;0.0048105638;0.1952478;10.0199995;0.59999996;-49.02;-2.861071;3.1866825;8.403947;
0.10453431;-0.06910413;0.15431984;10.08;0.17999999;-49.559998;-3.5625722;3.53863;8.095096;
-0.32368222;0.023747386;0.046196684;9.84;0.48;-49.68;-3.040636;3.6846764;8.5476;
0.14851661;-0.10025826;-0.01488984;9.599999;0.71999997;-49.44;-3.3925838;3.2225955;8.945037;
-0.21922426;0.039629884;0.07429648;9.48;0.12;-49.8;-3.2010477;3.4165258;8.3033905;
0.07338019;0.031688634;0.019929478;9.36;-0.53999996;-49.8;-3.383007;3.0358477;9.093477;
-0.09277516;0.00786489;-0.0075594573;10.92;0.78;-49.32;-3.359065;3.2345665;8.016087;
-0.12331842;0.008475755;0.10789407;9.84;0.96;-49.62;-3.5482068;2.9759927;8.454226;
-0.16241379;0.009697486;0.12927435;10.139999;1.02;-49.559998;-3.5122938;3.098097;8.48535;
