gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.09476047;-7.6358156E-5;0.092622444;-20.34;-36.66;-24.779999;-1.946486;8.952219;4.225766;
0.21693352;-0.15034921;0.09873109;-20.76;-36.66;-23.699999;-1.6639702;9.5052805;3.5889084;
0.27435485;0.18073976;-0.598877;-20.46;-36.96;-23.46;-2.5234885;10.139744;2.2577322;
-1.2802972;1.4024702;-0.43516514;-19.38;-37.86;-22.439999;-7.1709332;8.358458;-1.3096284;
0.4209625;-3.3641112;0.87636256;-18.119999;-37.68;-26.46;-7.0631943;7.534852;12.584224;
8.243703;-2.87603;-0.40645447;-22.439999;-37.38;-21.96;-1.946486;10.4605665;2.4708161;
-2.9332986;3.5728745;-0.7241044;-23.58;-39.78;-5.46;-4.4005427;10.917859;-10.7550535;
-5.6760836;0.7048621;1.4640149;-21.9;-39.78;-12.9;-1.5562311;9.531616;-1.2761095;
5.1796026;-2.462474;-0.71188706;-24.6;-35.82;-22.56;0.47644615;5.4135895;16.266806;
2.1625392;1.2308171;0.22823453;-27.42;-37.92;-12.78;3.1483753;11.016022;-8.980949;
-3.4006104;-0.55229855;0.034590244;-25.98;-39.66;-9.599999;1.1133038;7.3002205;-8.569147;
-0.96081465;-3.759341;2.2416463;-27.18;-38.399998;-15.66;8.102278;2.0374656;8.415918;
7.5186057;-2.2401192;2.47011;-33.96;-34.2;-12.96;12.773365;4.594473;8.229171;
0.80336416;-1.8699349;1.2856423;-37.68;-31.019999;2.6399999;6.82138;11.514015;-21.885996;
-4.834922;-0.33299792;0.022983804;-37.86;-28.26;8.639999;8.063971;8.782231;2.4061728;
1.1521682;-0.44356453;-0.5414557;-38.879997;-30.84;1.92;3.6343982;5.099949;11.628937;
5.7110558;-0.52053356;-1.5432746;-38.1;-30.96;3.9599998;6.184522;7.2092404;-2.4947581;
-5.522756;2.9253573;-0.444939;-34.8;-30.359999;12.42;-1.0342951;5.0616417;-16.767193;
-3.5093446;-0.73067117;0.29481885;-34.98;-32.64;3.6599998;8.119038;6.680122;8.851663;
7.6749873;0.8197048;-2.2195024;-34.98;-34.8;-0.17999999;8.011298;3.4763808;5.6434326;
-3.1147256;2.5008059;-1.5732071;-32.94;-34.62;8.7;9.502886;13.233052;-25.072979;
-4.0835576;0.2925281;-1.1480448;-30.359999;-38.7;0.53999996;6.268319;5.7870846;10.491692;
0.34460434;1.9333122;-1.3936127;-27.539999;-40.32;-7.7999997;5.279514;9.931448;-2.1380222;
-4.323628;1.9162079;-0.51396674;-23.46;-41.219997;-9.719999;-0.20590134;8.825327;-2.6886885;
-1.3230578;1.072603;0.44570255;-21.06;-40.32;-19.8;-3.715801;7.3864117;5.8780646;
0.4356233;-0.34521523;-0.30871603;-20.34;-38.64;-23.34;1.7405846;12.39987;4.280833;
0.017180584;-0.10025826;-1.4339298;-19.74;-39.66;-23.039999;-7.1158667;8.506898;0.23223756;
-0.012751812;-1.0874165;-0.9293551;-17.34;-39.48;-22.26;-3.0454245;9.941025;5.1669865;
2.1252766;-1.4973071;-1.3025938;-15.66;-40.92;-21.119999;-5.315427;8.664915;4.1419687;
-0.9149998;0.03901902;-0.60804;-12.96;-42.78;-17.1;-5.514146;8.336909;-1.1252748;
-0.77999854;-0.18150334;-0.32276592;-11.099999;-43.26;-18.779999;-5.9355254;6.1797338;4.3981485;
0.9560805;-0.21449006;0.03214678;-10.32;-42.239998;-20.1;-3.6750996;8.904335;1.4389153;
-0.30841058;-0.47777298;0.27221683;-11.16;-42.899998;-17.82;-4.0054994;8.564359;0.5410896;
-0.69936436;-0.16317739;0.23800837;-12.059999;-42.899998;-17.82;-0.49559975;10.034399;3.9671922;
0.28107437;-0.30856332;-0.006337727;-12.599999;-42.48;-19.56;-2.4420857;8.655338;5.042488;
0.32322407;-0.0055741454;0.17081319;-12.12;-42.42;-18.42;-0.4237737;9.720758;2.6719291;
-0.52038085;0.19662225;0.034590244;-12.84;-42.239998;-18.24;-2.5091233;9.091084;2.7126305;
0.046502117;-0.063606344;0.3009275;-12.719999;-41.64;-19.619999;-0.9935937;9.555558;3.9217024;
0.37698022;0.0066431593;0.26061037;-13.0199995;-42.12;-18.84;-2.4779987;8.4231;2.2409728;
-0.14958562;0.23510677;0.37362045;-14.34;-41.7;-19.5;-2.1667526;8.456619;1.5945383;
-0.40370557;0.18135062;0.6692792;-14.639999;-42.0;-19.5;-0.50517654;9.5795;2.956839;
-0.48372892;0.12087496;-0.20609066;-16.199999;-41.28;-20.4;-0.51714754;10.132561;4.295198;
-0.10377073;-0.13691017;0.53916496;-15.12;-41.7;-21.66;-2.7581203;7.970597;3.3542767;
-0.026190847;0.21067216;0.04314236;-17.039999;-40.92;-22.02;3.169923;10.625767;3.3854012;
-0.08422305;-0.3384957;-0.060704734;-18.18;-40.559998;-21.119999;-1.3623008;8.437466;4.249708;
0.36598465;-0.06604981;-0.010613783;-17.699999;-40.2;-22.02;0.45010993;9.81892;3.277662;
0.26274842;-0.31589368;-0.22014056;-18.06;-40.68;-20.699999;-1.2425907;9.012074;2.980781;
0.0110719325;0.08483391;0.1567633;-17.34;-40.26;-19.68;-0.35913026;9.088689;3.1244333;
0.05627596;-0.12224941;-0.2354122;-17.699999;-41.399998;-20.279999;-0.10295067;9.383176;3.3423057;
-0.034742963;0.0762818;0.19952387;-17.279999;-40.8;-20.76;-0.9576807;9.208399;3.1028855;
