gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.37858373;0.5599344;0.2897792;22.02;-28.98;-36.48;-3.6224272;9.277831;1.2354081;
-0.43111816;0.80428046;0.9825004;22.26;-27.779999;-36.36;-4.4819455;10.565911;2.7102363;
-0.17760907;1.1817951;1.1785882;20.64;-27.06;-36.0;-3.2154129;12.557887;2.657564;
0.32452217;1.4560736;1.029537;21.119999;-28.26;-35.1;-1.99437;11.935394;1.8531121;
0.54260105;0.73158747;1.1407145;22.199999;-29.699999;-33.78;-0.56982;11.181221;0.33997664;
0.12110403;0.83971065;0.36735907;20.88;-31.92;-32.579998;-1.1420342;11.825261;1.6998832;
0.60918534;0.35285103;0.3392593;22.68;-32.52;-31.08;-1.5801731;10.340857;2.2385786;
0.39477167;0.004046982;-0.31803173;22.14;-33.719997;-29.099998;0.4285621;10.611402;2.3989902;
0.3080288;-0.51396674;0.04848743;22.859999;-34.68;-29.099998;-2.8443117;5.650615;2.468422;
-0.02733622;-1.0545825;-0.99425954;22.38;-34.98;-29.699999;1.6208745;8.08073;6.8884177;
-0.4213443;-0.5658903;-1.6619352;22.859999;-34.68;-29.099998;-5.159804;6.050447;6.244377;
-0.45005497;-2.8260918;0.43944117;25.38;-32.88;-32.28;0.20829555;3.928885;9.129391;
-1.8507689;-1.6538413;-0.53733236;19.859999;-31.199999;-36.719997;-3.3518825;3.3782187;8.492533;
-0.47693303;-1.2054662;-0.64117944;17.94;-28.199999;-39.54;-2.4708161;7.024887;14.458883;
0.8877399;1.2893075;-1.4261413;17.4;-27.18;-41.28;-3.7565024;5.7870846;8.128614;
0.018478673;-0.21036673;0.9666179;20.699999;-27.96;-39.6;-2.8802247;4.10845;5.964256;
0.10338894;0.24778222;1.2457833;19.02;-28.199999;-39.48;0.2777274;5.767931;6.194099;
0.36850446;1.1097131;0.14072809;18.06;-29.82;-38.52;0.23223756;6.5340757;8.655338;
0.9763154;1.1787409;0.23968825;19.38;-29.58;-37.26;-2.2529438;5.1669865;9.0432;
0.8407033;1.5495361;0.15355626;20.4;-32.28;-34.5;-2.2625206;5.1933227;7.190087;
0.28603765;1.7639498;0.19692768;22.859999;-33.239998;-32.1;-3.6703112;6.842928;7.9418664;
0.61651576;1.1194869;0.0613156;24.06;-33.719997;-30.42;-2.27928;7.642591;5.1789575;
-0.15317446;0.3235295;0.3038291;26.099998;-34.559998;-28.439999;-4.7644615;7.8365216;2.6791117;
0.044135015;-0.39851323;0.58971405;26.519999;-34.62;-27.599998;-3.5458126;9.502886;0.11971009;
-0.26923886;-1.7772361;1.0209849;24.06;-34.5;-28.439999;-0.11492168;11.423036;1.1300632;
0.010537425;-0.3862959;-1.2105058;20.52;-34.86;-29.34;-2.135628;11.631331;1.2186487;
-0.18921551;-1.5622115;0.09674578;20.1;-33.78;-31.5;-3.8666358;10.637737;0.047884032;
0.1797471;-1.3282502;-0.35895967;18.3;-34.079998;-31.98;1.1085154;10.822091;0.7062895;
0.25671613;-0.5677229;-1.1115457;17.699999;-34.02;-32.399998;-2.9041667;9.44303;-1.9871874;
-0.04138612;-1.2237922;-0.24167356;18.0;-32.94;-32.34;-0.6679823;11.435006;1.0271125;
0.56398135;-0.14622587;-1.1170435;17.279999;-32.82;-33.899998;-1.4915876;10.510845;0.34955344;
0.41493022;-0.23419046;-0.5593235;18.779999;-32.579998;-33.239998;-2.542642;9.581895;0.89782566;
0.14492778;-0.23357959;-0.19402607;19.08;-32.88;-32.52;-2.3942018;9.778219;1.0414777;
0.10522154;-0.014278975;-0.21051943;18.84;-33.36;-32.16;-4.1371803;9.143756;2.60968;
-0.0627664;-0.10285444;0.20731239;19.5;-33.059998;-32.219997;-3.25372;9.069535;1.8890251;
-0.082924955;0.15554157;-0.03397938;17.4;-33.36;-32.399998;-2.6647465;8.952219;2.9951463;
-0.13729197;-0.072922036;0.119347796;18.3;-32.94;-33.059998;-3.122039;8.971373;2.6240451;
-0.31138855;-0.28550315;0.12728904;18.0;-32.46;-32.76;-2.3654714;9.105449;4.132392;
-0.14462234;-0.0026725354;-0.1286635;18.42;-33.12;-33.48;-2.3056161;8.590695;3.6607344;
-0.1611157;-0.2476295;0.019165898;17.82;-31.92;-33.48;-2.552219;8.432677;3.7110126;
-0.14523321;-0.15294538;-0.19402607;17.699999;-31.199999;-34.98;-2.6360161;8.432677;3.6822822;
-0.08659015;-0.19570595;-0.060246583;17.4;-30.599998;-33.96;-2.96881;8.595484;3.739743;
-0.09819659;-0.12179126;-0.09017898;17.4;-30.84;-34.559998;-3.0597897;8.640973;3.9025488;
-0.05971208;-0.07964156;-0.060246583;16.619999;-30.72;-34.8;-2.7365725;8.499715;3.4237084;
-0.1769982;-0.19020817;0.047265697;18.06;-31.32;-34.68;-3.0550013;8.913912;3.9935284;
-0.118966006;-0.006948592;2.2907447E-4;17.58;-31.019999;-35.399998;-2.396596;8.875605;3.3063924;
-0.11835514;0.017486017;0.0081703225;16.859999;-30.72;-36.059998;-2.5594015;8.973767;4.2161894;
-0.09208794;3.8179077E-4;0.03932445;16.68;-29.88;-35.88;-2.731784;8.633791;3.1651347;
-0.10430524;0.065133505;0.17188221;17.4;-29.88;-36.239998;-2.7365725;8.784625;4.256891;
-0.07009678;0.047418416;0.21097758;15.96;-29.699999;-35.64;-2.4947581;8.655338;3.775656;
