gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.10086913;-0.2224313;0.12622003;-38.1;7.68;-25.439999;8.5476;0.79966336;2.8682537;
-0.053068917;0.07994699;0.26855165;-37.26;8.28;-26.099998;8.437466;2.0159178;4.0581717;
0.1857794;-0.15096007;0.10483975;-37.68;9.179999;-25.619999;9.1868515;2.8203697;4.7165775;
0.23098342;-0.39652792;-0.28733575;-36.78;8.88;-26.16;10.199598;4.268862;5.370494;
-0.13859005;-0.382478;-0.5286275;-37.8;7.2;-24.9;8.2555065;4.99221;7.546823;
-1.0976485;2.0670917;0.9710467;-38.1;2.1;-26.039999;5.052065;2.7222073;16.769587;
3.2859206;2.8373928;0.6558402;-35.88;1.9799999;-28.74;1.3838485;-6.3377514;29.15988;
6.126444;2.954068;1.8329775;-33.059998;-0.24;-32.04;8.061577;-8.538023;20.16217;
6.806337;3.3547955;1.5086081;-31.08;-6.8999996;-36.3;16.621147;-10.5802765;9.960178;
4.4471755;3.6871064;1.54526;-27.96;-16.74;-35.76;16.135124;-10.594642;0.05746084;
3.6121225;2.0127246;1.7285196;-25.74;-22.619999;-35.64;14.715363;-9.024046;-2.1428106;
3.700698;0.41836634;1.0761155;-27.0;-25.98;-34.14;18.682554;-1.3623008;-9.251494;
-0.21739167;0.437914;-0.3459788;-29.46;-30.539999;-31.5;14.298471;7.6713214;-11.691186;
2.3244185;-1.9359083;0.45608726;-28.38;-31.26;-31.98;17.250822;22.920292;-0.7398083;
1.3195453;-2.3519075;-2.4204772;-30.539999;-34.8;-25.199999;27.268461;30.414442;1.2808979;
0.8125271;-2.4129941;-4.90059;-25.619999;-42.0;-19.5;24.301746;15.086464;14.528316;
2.5284476;-2.2205715;-4.877377;-11.82;-47.64;-15.12;19.582775;0.8403648;14.094965;
1.1527791;-1.9126954;-4.747874;-2.1;-48.239998;-9.96;7.8101854;-8.8684225;8.626608;
3.3916001;-1.6958383;-2.3587797;10.5;-47.52;-6.24;1.0702082;-10.745477;3.8355112;
3.0867784;-1.6897296;-0.54023397;13.92;-44.94;-0.53999996;-5.406407;-11.367969;-5.574001;
1.8271743;-2.7453048;1.7046958;15.9;-44.94;5.1;4.5178585;-4.0198646;-13.901034;
2.0171535;-2.6665032;3.159777;13.559999;-45.96;7.9199996;4.2281604;-1.541866;-12.347198;
0.22120957;-4.279798;2.8256335;8.639999;-46.62;10.74;8.719982;3.751714;-18.981829;
-2.6394725;-4.484438;2.8421268;5.52;-46.739998;9.059999;17.150265;10.391134;-8.602666;
-4.036521;-4.055;1.0620656;0.65999997;-48.6;0.59999996;10.661679;10.21157;16.175825;
-0.049403727;-2.7648525;0.39133555;-1.68;-49.32;-8.82;-0.17717093;10.072706;25.867853;
0.5370269;-0.20105103;0.5135086;-4.14;-49.32;-9.0;-4.7165775;2.5306711;16.824654;
1.0574841;0.96264726;1.4890604;-5.64;-49.5;-7.44;-4.7165775;-2.8802247;5.916372;
0.38003454;1.31756;2.42063;-8.88;-47.82;-5.7599998;-1.1540052;-4.994604;1.0342951;
-0.2888629;1.1733958;3.3705254;-15.42;-46.32;-6.3599997;3.6511576;-6.2970495;1.1994951;
-2.2753966;1.7317266;5.610568;-22.859999;-43.2;-7.8599997;6.194099;-10.225935;4.015076;
-1.2076043;1.2338715;7.919028;-33.54;-34.8;-14.7;22.568344;-6.002563;10.221147;
0.9585239;1.1391873;7.09436;-43.26;-18.18;-19.26;37.683537;5.1454387;-0.7134721;
-2.8392253;2.078087;4.368068;-41.399998;-3.3;-19.859999;33.629856;8.949825;0.10055647;
-2.3523657;0.6517169;2.329611;-38.46;8.639999;-21.24;26.294022;7.448661;2.2170308;
-1.399416;0.7561748;1.3577243;-36.84;16.859999;-21.18;17.839796;5.609914;3.5314474;
-0.44952047;0.15386169;0.58497983;-35.7;21.359999;-21.539999;13.398252;3.7948096;2.7964275;
-0.012751812;0.16668986;0.14149167;-33.96;22.26;-21.48;11.9497595;2.2026656;1.1803415;
-0.24426974;0.21800253;-0.36980253;-33.719997;22.8;-22.02;11.71034;0.7302315;1.1803415;
-0.56802833;0.29680416;-0.6556875;-33.78;22.74;-22.08;9.962572;-1.2401965;2.042254;
-0.26320657;0.57474786;-0.45288023;-33.899998;22.92;-22.619999;8.435072;-3.2249897;3.5984852;
0.44356453;0.5857434;-0.10713049;-33.66;21.96;-22.92;9.457396;-3.2034419;2.942474;
0.35498905;0.2925281;-0.096134916;-31.859999;23.76;-23.279999;8.418312;-3.0550013;1.3982137;
-0.17035505;0.1306488;-0.033826664;-32.46;23.58;-23.279999;8.973767;-2.4181437;2.657564;
0.048334714;0.42569673;-0.3991241;-31.74;23.16;-23.4;9.9673605;-1.4101849;3.7373488;
-0.17585284;0.69386655;-0.5933792;-31.92;24.779999;-24.18;9.208399;-1.6352397;2.9592333;
0.12102768;0.36033413;-0.37652206;-30.0;23.1;-24.96;9.620202;-1.1659763;3.8474822;
0.121638544;0.5277112;-0.41378483;-31.14;22.68;-25.08;9.5531645;-1.0151415;3.442862;
-0.18135062;0.55520016;-0.35880697;-30.66;22.439999;-25.74;7.891588;-1.721431;3.8618474;
0.29390255;0.1923462;-0.19692768;-29.76;21.6;-26.58;9.222764;-1.3144168;4.6950297;
