gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11476631;0.19173533;0.12744176;-37.559998;5.58;-17.039999;8.806173;2.0614076;3.5051112;
0.030619621;-0.16317739;-0.025885414;-38.219997;5.7;-16.08;9.598654;2.3127987;3.9935284;
0.07948884;-0.34521523;0.10728321;-38.1;5.7;-16.8;8.133403;2.0614076;3.6535518;
-0.08666651;0.14042264;0.16165021;-37.14;5.4;-17.1;8.08073;2.408567;5.2747254;
-0.2729804;0.35972327;0.27527115;-36.239998;5.2799997;-17.46;5.8541226;2.7150247;8.746318;
0.42584944;1.0127382;0.24839307;-36.66;6.6;-17.4;6.1677628;3.5649664;15.847819;
0.7563275;2.9803352;0.5574909;-34.5;6.0;-22.32;6.3401456;2.8658595;20.820576;
3.4490216;3.016987;0.72731143;-30.48;4.2;-27.779999;3.7229836;-3.751714;17.954718;
4.4147997;3.1727576;2.0644956;-26.46;-1.86;-30.48;9.2107935;-5.0257287;14.097359;
4.9028807;2.2900574;2.1585686;-23.1;-9.599999;-29.039999;13.082217;-6.2731075;10.192416;
5.3084955;2.5130234;2.0651064;-23.22;-14.7;-23.16;13.632884;-5.789479;4.620809;
3.2040646;1.081766;1.2660946;-25.14;-17.88;-16.74;11.116578;-2.468422;-0.8882488;
3.2859206;0.24365887;0.82199556;-27.9;-19.14;-10.32;12.41184;-0.29448682;-4.096479;
-0.0463494;0.21311562;-0.32704198;-28.859999;-21.3;-6.96;10.917859;1.6017209;-3.4332852;
0.3458261;-0.68913233;-0.22014056;-28.439999;-22.56;-8.28;10.340857;7.3864117;-4.7907977;
0.40813434;-1.7508161;-0.16638441;-28.32;-23.939999;-5.3399997;11.791742;17.427992;-1.5275006;
1.262124;-2.3842833;-1.4608079;-27.359999;-25.199999;-2.52;18.581999;23.842058;4.074931;
1.588326;-2.413605;-2.992858;-25.68;-28.26;3.54;17.162237;21.040844;7.240365;
2.0702987;-2.6573403;-3.8193586;-20.22;-31.92;9.0;19.635447;14.391846;8.389582;
1.2523501;-1.9982166;-4.5468993;-11.58;-35.28;15.12;13.690345;6.5891423;7.7886376;
-1.1385765;-0.7990881;-4.393572;-0.29999998;-36.78;19.68;4.048595;-7.0177045;9.177275;
3.4453564;-0.577344;-1.3722324;10.5;-37.8;18.119999;-3.8953662;-10.424653;11.842021;
3.188182;-0.7074583;-0.55306214;15.179999;-33.239998;25.5;-2.60968;-3.9624038;-9.991303;
1.0513754;-1.0043389;0.65522933;16.68;-28.619999;30.48;-1.745373;-0.93373865;-8.265083;
0.9884563;-1.6793449;1.0803915;16.68;-27.42;32.34;0.62009823;1.7908629;-11.090241;
0.5235879;-2.4111614;1.7108045;19.8;-26.46;31.859999;1.7741034;3.3973722;-12.596194;
0.24381159;-3.202232;1.8836794;20.46;-26.64;32.34;4.6686935;5.6673746;-11.90427;
-0.25221097;-3.80088;1.9728657;22.68;-28.019999;28.859999;7.252336;8.3752165;-9.847651;
-1.3200034;-4.0562215;1.382159;25.26;-29.82;25.74;8.104672;11.420641;-1.4939818;
-0.7024187;-3.8265362;0.7963392;26.939999;-31.92;18.9;6.658574;13.73344;9.826103;
0.21632266;-2.4417048;0.34185547;28.38;-34.079998;13.62;-0.7398083;13.666403;13.776536;
0.19372064;-0.6659195;0.09506591;30.24;-34.62;10.62;-4.0462008;9.524434;11.736676;
0.44112107;0.33162346;0.28076893;30.0;-34.98;10.139999;-5.006575;4.6902413;5.042488;
0.64392835;0.40248385;0.91179276;28.199999;-35.28;11.82;-5.2292356;-0.20590134;1.1300632;
-0.1288162;0.8410851;1.8274797;27.66;-34.559998;12.9;-1.7166426;-2.2337902;-1.1180922;
-0.6340018;0.6987535;2.6075547;22.02;-36.66;14.219999;0.047884032;-3.8043866;1.8650831;
-0.7231881;0.973032;3.5611153;15.48;-38.94;13.86;4.3885717;-3.7469256;0.8690952;
-2.1263456;0.9931905;4.598975;4.68;-41.94;11.099999;9.160515;-5.198111;3.086126;
-1.4739414;0.6547712;6.1676774;-5.7599998;-43.44;6.48;17.753605;-4.2664676;6.1797338;
-0.673708;1.0041862;6.52259;-31.92;-39.239998;-2.6399999;29.978697;5.8493342;5.5955486;
-1.6706401;0.7066947;4.89891;-48.48;-22.38;-10.5;30.735266;12.323256;-0.7757214;
-2.151391;0.45807257;2.4359016;-42.059998;-0.06;-12.24;26.73216;13.805266;5.0831895;
-1.7476091;0.6480517;0.7725155;-38.76;2.1599998;-11.58;18.251598;10.692804;3.4883518;
-0.36033413;0.37377316;0.2233476;-37.92;1.74;-12.66;11.712734;5.3441577;4.0342298;
0.3226132;-0.09292787;0.23495404;-37.86;2.04;-13.0199995;10.881946;3.4021606;1.2354081;
-0.034742963;-0.20166188;0.009544769;-37.68;1.74;-13.559999;10.642526;1.3694834;1.4030021;
-0.12942708;0.09155343;-0.0613156;-38.28;2.34;-13.44;10.371981;0.19871874;3.016694;
0.26397014;-0.14240795;0.016264288;-37.86;2.1599998;-13.559999;9.574712;-0.6847417;3.0909145;
0.3476587;-0.1698969;0.015653422;-38.28;2.34;-13.2;9.38557;-0.8882488;2.0925324;
0.20349449;-0.17783815;0.03153592;-37.98;2.1599998;-12.179999;8.983344;-1.3431472;2.2768857;
