gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.13125966;0.25938866;0.40042216;-33.6;-1.5;-24.119999;1.8387469;4.3526587;8.971373;
0.32673654;0.57398427;0.6337727;-33.36;-1.56;-24.66;1.1180922;4.94672;10.836456;
0.72379893;1.2331078;0.3662137;-32.82;-1.14;-25.92;2.1691468;5.243601;11.427824;
0.41592288;0.815276;-0.21105394;-31.38;-1.86;-26.88;-0.9816227;3.8762126;12.18918;
0.7268533;2.0241783;0.7498371;-29.64;-2.8799999;-28.8;-3.632004;-0.39504328;18.914791;
1.9724075;1.9068922;1.6563611;-27.119999;-4.38;-30.539999;3.2848446;-0.0047884034;17.64347;
1.8312976;3.476205;2.4040601;-23.58;-7.2;-33.42;7.702446;-1.4341269;15.493478;
2.4213934;3.6197584;2.7253752;-18.779999;-9.0;-35.52;14.140454;0.22026655;9.981726;
2.6156485;3.1799355;1.9776763;-13.2;-11.639999;-36.3;14.985907;2.9879637;0.35434186;
0.741514;1.8482492;0.84940815;-9.059999;-15.299999;-36.66;13.635278;5.3561287;-4.8506527;
0.8062658;0.5306128;1.0155635;-6.96;-16.199999;-36.899998;10.101437;5.3872533;-2.1978772;
0.7812203;-0.5848271;0.7107417;-6.24;-17.94;-35.64;8.945037;11.413459;-3.0597897;
0.13920091;-1.4143821;0.09254608;-8.7;-18.96;-35.1;5.004181;19.41518;5.815815;
1.9076558;-1.3838389;-0.58368176;-10.86;-20.52;-33.78;6.5795655;24.347235;12.086229;
2.3859632;-0.84077966;-1.9507982;-12.54;-24.3;-31.019999;6.4933743;20.006548;11.039964;
2.6736808;-0.6862307;-2.627026;-9.78;-29.88;-27.0;6.7830725;13.343185;9.330503;
2.1538346;-0.39790234;-2.5115724;-5.94;-35.1;-21.84;5.1526213;6.3616934;7.776666;
2.206369;0.08407033;-2.055867;-2.1599998;-38.28;-17.039999;4.0653543;1.2593501;6.074389;
2.4183393;-0.26473373;-1.1304061;2.7;-41.1;-12.059999;1.2904748;-1.5897499;1.5658079;
1.9992856;-0.09246973;-0.16401732;4.02;-42.66;-7.68;1.0510546;-1.2162545;-2.7581203;
1.3395511;-0.44738242;0.63255095;4.8599997;-43.92;-1.3199999;0.7757214;0.90021986;-7.3361335;
0.80137885;-1.2476159;1.0002918;3.0;-44.64;1.14;3.6607344;3.4572272;-9.062353;
0.27420214;-2.1461987;1.5005904;0.71999997;-45.0;3.0;4.8722005;6.000169;-12.050317;
0.062842764;-3.554243;1.1365148;-3.48;-45.0;4.2599998;6.6657567;8.212411;-9.330503;
-1.0464885;-4.1199045;0.95325524;-6.06;-43.86;6.2999997;8.164527;11.059117;-5.7008934;
-1.8522198;-3.9421425;0.06078109;-7.02;-44.16;2.9399998;6.5795655;11.229105;3.6774938;
-0.9591348;-3.6489272;-0.24037547;-7.08;-44.04;-0.84;0.6584055;9.347262;11.482891;
0.58329993;-2.3520603;0.36987892;-8.4;-43.739998;0.24;-4.608838;8.837297;12.751818;
0.69508827;-0.7271587;0.7687739;-9.179999;-43.079998;3.06;-5.2268414;6.7112465;9.354445;
0.7457901;-0.15172365;0.8164214;-11.04;-43.32;4.74;-3.25372;5.360917;3.5793316;
0.10865766;0.5471062;0.9728029;-13.139999;-42.96;6.6;-2.7581203;2.9640217;0.50996494;
-0.5101488;0.3907247;0.9935723;-14.88;-41.879997;5.58;0.21068975;1.9776106;-1.70946;
-1.4698181;0.47441322;1.6123788;-17.4;-40.62;4.14;0.61052144;-0.023942016;0.9816227;
-1.7691422;0.4273766;2.2898283;-21.9;-37.62;0.53999996;2.7509377;1.1540052;-0.16280572;
-1.7966311;0.05352707;3.1065552;-26.76;-34.26;-3.6599998;5.696105;2.7605145;5.540482;
-1.4667639;0.34307718;3.5091155;-32.76;-28.859999;-7.98;10.12059;7.484574;7.1757216;
-1.1662182;0.3497967;2.840218;-37.14;-21.96;-10.44;12.727876;14.140454;5.906795;
-1.4258358;0.7590764;2.0112739;-39.96;-15.839999;-12.3;14.590565;16.630724;7.987356;
-2.245617;0.32597297;0.623388;-40.98;-11.099999;-14.04;12.852374;16.171038;3.8881836;
-2.2199607;0.35773796;-0.2434298;-40.5;-7.5;-16.98;8.662521;11.863568;7.2212114;
-0.822301;0.065133505;0.15424347;-40.02;-5.4;-18.06;6.6633625;9.26586;5.933131;
-0.4014148;-0.04604397;0.14446963;-40.5;-4.3199997;-18.48;7.474997;8.557177;4.4795513;
-0.554742;0.013209961;-0.15424347;-40.14;-2.7;-19.199999;7.034464;7.0057335;5.384859;
-0.2700788;-0.18165605;-0.16890424;-40.559998;-2.22;-19.08;7.2978263;6.3257804;5.4399257;
-0.39713877;0.04680755;-0.27275133;-40.079998;-3.1799998;-19.14;7.190087;5.284302;6.4095774;
-0.105756044;-0.014278975;-0.19211712;-39.96;-3.0;-18.9;6.6178727;4.673482;6.4215484;
0.22960897;-0.15172365;-0.14996742;-40.62;-3.0;-18.779999;6.4861917;4.697424;5.222053;
-0.10086913;0.08590292;-0.16768251;-40.92;-4.14;-19.02;6.124667;4.572925;5.291485;
0.053068917;0.03397938;-0.106595986;-39.96;-3.9599998;-19.14;6.194099;4.697424;4.7309427;
-0.15829046;0.03642284;-0.14019357;-40.32;-4.5;-17.58;6.7016697;4.8937483;5.076007;
