gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.086055644;-0.02939789;0.014431692;-31.679998;2.34;-28.56;8.521263;1.5107412;3.655946;
-0.16485725;0.14714217;0.022983804;-31.26;2.1;-28.98;8.813355;2.585738;4.3047748;
0.091095276;0.22105686;-0.118126065;-30.9;1.3199999;-29.58;8.48535;3.4404678;6.8118033;
0.577344;0.16974418;-0.11568261;-30.48;1.56;-29.699999;7.558794;4.7884035;10.529999;
1.0049497;1.1776718;-0.5500078;-30.359999;-0.96;-30.179998;6.28029;5.0089693;14.688726;
1.5748869;1.4531721;-0.49564078;-28.8;-4.44;-29.939999;1.6711528;1.9608512;16.199768;
2.3549619;3.0695214;0.55504745;-26.88;-8.04;-30.3;4.7309427;-4.9012303;19.826982;
4.506429;3.0963995;1.9264399;-24.42;-11.639999;-31.019999;9.838074;-7.9418664;17.985842;
4.520479;3.6803868;1.880625;-24.06;-14.219999;-30.72;15.165472;-7.2834606;11.566688;
4.127082;3.5185075;1.5299884;-23.699999;-19.02;-33.78;15.060127;-6.9602437;4.9299607;
3.678707;2.4000132;1.2184471;-17.94;-25.019999;-33.48;12.962507;-4.0821137;-2.384625;
1.7868572;1.1837804;1.0834459;-14.28;-30.539999;-28.32;13.455713;0.80924016;-7.2595186;
0.14668402;0.5118287;0.53549975;-13.62;-32.94;-23.4;11.190798;2.8203697;-3.145981;
0.50098586;-0.045280386;0.3815617;-12.12;-32.7;-23.4;10.829273;6.1414266;-2.4516625;
-0.0035888334;-1.0183887;-0.31848988;-14.16;-34.32;-21.84;12.105383;14.140454;-2.2409728;
0.06421721;-1.6872861;-0.8316167;-14.639999;-34.14;-21.66;12.091018;19.71206;5.657798;
1.8277851;-1.841835;-1.8560377;-14.639999;-35.82;-20.1;16.33863;22.113445;10.132561;
1.7489835;-1.919415;-3.1675653;-8.94;-39.42;-12.9;14.480432;18.06485;11.37994;
2.540665;-1.8345047;-3.6336555;-1.68;-41.82;-5.8799996;11.942577;9.751883;11.1453085;
2.1399374;-1.4191164;-3.3392186;7.62;-42.0;1.92;6.562806;0.22505496;9.239524;
1.850998;-1.1772137;-2.4186447;15.36;-40.62;7.02;0.9840169;-4.307169;4.594473;
2.2431736;-1.1417835;-1.0142654;21.66;-37.8;9.78;-0.6775591;-4.283227;-1.1587936;
1.2450197;-1.1387292;-0.40156755;23.939999;-34.86;12.9;-1.7717092;-2.8299465;-5.0209403;
1.0929142;-1.7227163;0.58986676;25.92;-34.38;14.5199995;-0.15083471;0.39983168;-6.318598;
1.2664;-2.0562487;1.3112986;27.18;-34.32;15.24;0.7374141;3.3638535;-10.403106;
1.1631638;-3.184517;1.776167;25.619999;-34.079998;14.58;3.655946;6.4694324;-12.964902;
-0.5411503;-3.5565338;1.8458056;25.5;-34.68;14.04;7.379229;8.691252;-13.434165;
-2.6852872;-3.6842046;0.6143014;23.34;-37.44;9.24;10.46296;11.202769;-4.5322237;
-2.464154;-3.5748599;-0.30749428;22.439999;-38.1;-1.26;5.777508;9.457396;11.341633;
-0.4873941;-2.8564823;-0.2213623;21.9;-37.739998;-8.04;-1.3599066;8.818144;16.25244;
0.10514518;-1.0067823;-0.09430232;21.96;-36.42;-12.719999;-5.1526213;7.451055;13.273753;
1.0477103;-0.13752104;0.4658611;20.58;-38.28;-13.08;-5.296273;5.734412;7.4941506;
0.73494726;0.38171443;0.5831472;19.14;-38.52;-11.58;-4.4675803;2.7988217;0.34715924;
0.13568844;0.49228102;1.5202146;18.06;-38.219997;-9.24;-2.7030537;-0.90021986;0.79248077;
0.17967074;0.5087744;2.2410355;14.58;-39.42;-8.46;0.2825158;-2.6839;0.50757074;
-0.30535626;0.4702899;2.6936867;8.5199995;-40.02;-7.8599997;1.7812861;-3.8402996;1.5011644;
-0.7586183;0.92843884;4.101731;2.82;-38.879997;-8.22;6.455067;-4.8578353;0.90021986;
-2.0958023;0.85208064;5.290475;-5.7;-38.34;-8.94;13.455713;-5.3226094;1.4915876;
-2.4134521;0.37438405;6.3026786;-16.8;-32.76;-14.4;20.576368;-1.8076223;6.3497224;
-1.7494417;0.25343272;6.005798;-27.119999;-23.82;-19.02;32.229248;7.276278;7.1733274;
-1.852678;0.38843393;3.9374082;-33.84;-11.28;-21.9;30.479086;11.52838;5.976227;
-1.5643495;0.1184315;2.0473912;-36.36;2.7;-24.84;22.525248;10.790966;3.9145198;
-1.2680799;0.32123876;1.1958451;-36.36;8.34;-24.119999;15.625159;7.4941506;4.570531;
0.08559749;-0.010461068;0.652175;-33.84;12.54;-24.359999;12.629713;4.675876;3.6822822;
0.25541803;-0.18455766;0.09017898;-34.86;13.74;-23.82;12.052711;2.8778305;1.8938135;
-0.12087496;-0.07338019;-0.24335344;-34.559998;13.44;-23.76;10.731112;0.80445176;2.1380222;
-0.16241379;0.078725256;-0.27206412;-33.96;13.5;-23.58;9.354445;-0.8331822;3.1794999;
0.296346;-0.117362484;-0.12484559;-34.68;12.54;-23.939999;9.373599;-1.7812861;3.4524388;
0.5950591;-0.07460192;-2.2907447E-4;-34.559998;12.48;-23.039999;8.475773;-2.255338;2.5187001;
0.48754683;-0.36720636;0.36812267;-35.579998;11.58;-23.699999;7.975385;-2.4588451;2.0111294;
