gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.08865182;0.23144157;0.26610819;-39.36;9.96;-6.2999997;8.509292;3.1986535;3.2585084;
-0.16730072;0.32551482;0.5733734;-39.18;10.559999;-6.6;7.664139;3.4811692;3.2632968;
0.58772874;-0.5211444;0.46891543;-38.82;12.36;-7.3199997;9.888352;5.3657055;7.5061216;
0.17295122;-0.5101488;-0.29772046;-39.18;12.12;-7.3199997;6.799832;6.8285627;7.3840175;
0.31772628;0.65538204;-0.40095666;-39.239998;9.719999;-7.62;4.501099;6.170157;21.818958;
2.0721312;1.7744871;0.016264288;-38.34;5.8199997;-10.0199995;7.642591;3.1411927;23.456593;
6.175924;4.095775;0.5605452;-37.26;2.6399999;-18.0;14.640842;-9.711182;21.562778;
5.2083135;3.9705477;0.770072;-35.28;0.9;-24.84;15.888521;-10.225935;-0.45729253;
2.907795;2.2986095;0.32414037;-31.38;-6.42;-29.099998;14.720151;-6.253954;-7.2714896;
2.1967478;2.1202369;0.82016295;-27.359999;-10.32;-32.76;15.50066;-3.157952;-6.7088523;
1.1448379;0.35972327;0.44264823;-26.58;-11.04;-33.3;9.960178;2.8562827;-12.081441;
-0.2186134;-0.6017786;0.27343854;-25.38;-13.5;-33.899998;11.099818;10.374375;-6.5197105;
1.0617602;-1.9181932;0.27099508;-26.64;-12.9;-33.239998;14.0351095;21.074362;0.038307227;
1.2975541;-1.8962021;-2.0069213;-30.119999;-13.92;-29.279999;23.83727;28.068125;4.982633;
1.4606552;-2.0947332;-4.0191116;-29.76;-19.68;-24.779999;20.535667;18.385674;8.39437;
0.8534551;-1.8528306;-4.6721263;-27.359999;-27.539999;-19.26;16.831837;6.998551;10.448595;
0.34460434;-0.11797335;-4.438776;-19.98;-35.1;-16.44;9.725547;-5.5596356;14.60493;
3.9792526;-0.39041924;-2.7741683;-10.38;-39.84;-14.099999;0.59615624;-11.688792;5.6434326;
1.3787992;0.16119206;-1.0545825;-4.44;-42.6;-5.7599998;-2.4899697;-8.054394;-2.954445;
2.2248476;-0.6372088;0.0687987;-1.56;-43.44;-1.14;0.08619126;-1.745373;-12.902652;
1.0452667;-1.5217416;1.4304173;-1.9799999;-42.18;5.16;1.0582372;0.92895025;-18.720861;
0.13752104;-3.1448107;1.8482492;-4.3199997;-41.46;8.22;6.292261;3.8426938;-16.513407;
-0.049403727;-4.5003204;2.1457405;-6.54;-41.46;10.139999;11.899482;8.052;-13.94413;
-2.6015987;-4.8253007;1.486006;-7.14;-40.8;11.7;11.40867;10.441413;-2.6599581;
-2.119626;-4.6365438;0.6350708;-7.44;-40.739998;10.0199995;7.0536175;11.971308;17.454329;
-0.6718754;-2.118557;0.16836974;-6.42;-41.64;9.719999;0.92895025;11.837233;22.113445;
0.66103256;-0.4350124;-0.23846652;-5.64;-41.76;9.179999;-3.3806129;8.748713;15.428834;
0.80519676;0.7354054;-0.11690433;-4.68;-41.16;11.219999;-4.570531;3.7732618;3.596091;
0.21693352;0.7543422;0.58436894;-5.64;-40.68;12.42;-3.1747115;-1.4317327;-0.33279404;
-0.40431643;1.1068115;1.5855771;-6.42;-40.559998;12.9;0.009576807;-5.0688243;1.1563994;
-0.5490915;1.3242795;2.3644302;-11.5199995;-38.399998;12.54;1.6687586;-7.295432;1.2330139;
-0.6138432;0.9931905;4.339358;-17.46;-38.16;9.599999;4.8865657;-9.483732;1.0390835;
-1.870393;1.1147528;6.7058496;-26.099998;-31.56;5.46;11.449371;-11.911452;3.3854012;
-0.51488304;0.74884444;8.558604;-36.42;-18.96;-1.1999999;31.970673;-3.0454245;5.2292356;
-2.3487005;0.7586183;6.319172;-40.079998;-0.29999998;-2.52;42.040985;11.37994;-1.1420342;
-2.8740447;0.5765804;3.617926;-38.879997;14.639999;-2.1599998;32.933144;12.390293;6.6011133;
-1.2503648;0.40737075;1.4414129;-35.46;21.539999;0.48;20.669743;10.613795;3.526659;
-0.8313112;0.37071884;0.3552945;-34.2;22.98;0.42;14.224252;6.5316815;2.1164744;
-0.34322992;0.09949467;0.09750936;-33.48;23.279999;0.42;10.865187;3.13401;2.4013844;
-0.19967657;-0.010461068;-0.09857838;-34.02;24.06;1.0799999;11.102213;1.7501614;2.1092918;
-0.36033413;-0.008017606;-0.48342347;-33.719997;22.14;0.9;10.92983;0.1388637;2.3511062;
-0.46906814;0.053679783;-0.6318637;-34.62;22.98;1.38;10.142138;-0.93134445;2.8634653;
-0.034742963;0.22533292;-0.44310638;-34.98;21.119999;2.28;9.172486;-2.6360161;3.1747115;
0.5388595;-0.09353874;-0.112017415;-35.46;20.34;2.6399999;8.789413;-2.4253263;1.958457;
0.44173193;-0.15890132;0.003436117;-35.46;21.06;0.53999996;8.806173;-2.3511062;1.448492;
0.24930938;-0.018402316;0.09201158;-35.52;20.64;1.02;9.29459;-2.0494366;1.7190368;
0.29817858;-7.6358156E-5;0.101174556;-35.579998;21.42;0.9;9.148544;-1.9009962;1.9081788;
-0.034742963;-0.10453431;0.092622444;-35.88;20.52;0.59999996;9.933842;-0.8595184;0.6392518;
-0.34078646;0.17096591;0.11461359;-34.739998;21.3;0.65999997;9.545981;-1.0582372;2.1380222;
0.094149604;0.017027868;0.124387436;-35.16;22.32;1.9799999;9.426271;-1.2018893;2.5689783;
