gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.036728274;-0.08865182;0.15431984;-40.739998;7.3199997;-3.6;8.449437;2.5498247;3.7948096;
0.15706873;-0.40996695;0.12560916;-40.739998;7.68;-4.08;8.617031;2.7605145;4.0342298;
-0.002977968;-0.17234036;0.08590292;-41.579998;6.7799997;-4.8599997;8.368034;2.6431987;4.855441;
-0.27175868;0.2662609;0.16409367;-40.26;7.44;-3.12;7.343316;3.13401;7.460632;
-0.14164437;0.44463354;0.17386752;-40.92;7.62;-4.38;4.4101195;3.5458126;14.530709;
2.064801;1.0335076;0.6369034;-40.32;8.28;-5.64;5.0616417;1.4556746;19.094357;
3.7471237;2.2717314;1.0290788;-40.26;7.8599997;-8.16;7.084742;0.2896984;15.819089;
4.0152936;2.7763062;0.89102334;-39.54;7.8599997;-13.139999;10.072706;-1.1540052;12.452542;
4.208327;2.6767352;1.8360318;-36.719997;6.66;-19.26;9.936236;-2.9951463;13.793295;
4.9993978;2.6700156;0.88674724;-33.239998;3.6599998;-24.42;18.955494;-3.3566709;3.691859;
2.5693755;2.2356904;0.15981762;-29.519999;-0.59999996;-28.5;9.387964;-6.301838;-5.3657055;
1.1411726;1.3639858;0.7584656;-27.42;-5.3399997;-30.96;10.340857;-2.920926;-2.5306711;
1.3830752;0.34811684;0.7138724;-25.68;-6.54;-31.619999;10.022428;1.9488802;-2.966416;
0.31833714;-0.13141239;0.24778222;-24.6;-8.5199995;-32.04;12.119748;9.22037;-4.256891;
-0.4983897;-1.2144765;-0.3551418;-24.42;-7.5;-31.14;12.047922;16.587627;1.9608512;
1.8949803;-1.6836209;-1.5848135;-26.4;-7.7999997;-30.179998;17.8374;23.212383;7.8580694;
1.3006085;-1.6048193;-2.9659798;-28.56;-12.179999;-27.9;17.739239;21.850082;5.317821;
1.488755;-1.9933296;-4.1632757;-26.4;-20.64;-22.02;15.325884;13.869909;10.455778;
2.0360901;-1.7599791;-3.8389063;-22.32;-27.42;-19.02;12.727876;6.608296;11.415853;
1.3995687;-0.86872673;-3.1541264;-16.14;-34.62;-12.179999;5.9834094;-3.6607344;8.966584;
2.0202076;-1.3513103;-1.4320972;-9.96;-39.12;-7.9199996;-2.0733786;-7.807791;8.640973;
2.3965008;-0.64026314;-0.48769954;-7.3199997;-41.579998;-1.5;-1.0007763;-4.84347;-4.3287168;
1.303052;-1.166829;0.26061037;-6.12;-41.879997;3.6;-2.1021092;-2.4157495;-7.0440407;
1.2468523;-1.7856355;1.1665236;-4.74;-41.46;7.56;0.22744916;1.3383588;-11.078271;
0.4930446;-2.7373636;1.6387224;-8.28;-41.16;12.059999;4.1132383;4.6040497;-11.514015;
0.23342688;-3.3952653;1.6772069;-9.599999;-39.66;14.219999;7.3385277;7.130232;-9.778219;
-0.8093201;-3.606014;1.0571786;-10.92;-38.64;17.16;8.408735;10.201993;-5.674557;
-0.06528623;-4.388532;0.7902306;-11.04;-38.219997;17.88;5.8421516;11.435006;0.59376204;
-2.7060566;-2.6164122;0.41638103;-7.9199996;-37.26;19.5;1.472434;11.628937;7.0919247;
-1.0469466;-1.6103171;-0.027107146;-6.8399997;-38.82;15.599999;-1.8842367;8.873211;19.721638;
0.96218914;-0.39225185;0.46769372;-5.4;-39.36;14.04;-3.9576154;5.3920417;7.805397;
0.5632941;0.21616994;0.56909734;-6.24;-37.739998;16.56;-3.4380736;1.5586253;0.39264908;
-0.78549635;0.64682996;1.3565027;-7.98;-37.98;17.46;-2.0614076;-1.697489;0.059855044;
-0.7922159;0.36949712;1.908114;-12.3;-37.38;16.68;0.035913024;-3.4237084;0.9888053;
-1.0432814;0.30352366;3.508581;-16.619999;-37.26;14.34;2.504335;-4.9491143;1.3958195;
-1.3248904;0.30779973;4.967938;-24.779999;-33.96;10.44;10.307338;-3.9576154;1.6927006;
-1.6242143;0.071394876;5.847584;-34.26;-25.92;5.3399997;18.713678;1.9656396;5.7368064;
-1.516702;0.46601382;4.677777;-39.66;-12.42;3.4199998;27.031435;13.601759;5.3417635;
-1.7488308;0.5228243;3.150003;-42.18;-3.0;2.52;23.31294;14.458883;5.8541226;
-2.1177936;0.4977788;1.7254653;-41.579998;2.04;1.8;17.937958;10.814908;4.5992613;
-2.1141284;0.2308307;1.4359151;-42.6;5.58;0.78;10.589853;4.9634795;6.383241;
0.38675407;-0.6329327;1.9594266;-41.34;9.059999;0.84;12.01201;4.88896;2.0398598;
-0.5606979;-0.44967318;1.4689019;-40.8;10.92;0.42;13.589788;4.8482585;0.50278234;
-0.73051846;-0.29573515;0.6497315;-40.26;13.2;0.17999999;13.13489;3.9001546;4.0916905;
-0.14775303;0.00908662;0.14149167;-40.02;14.04;2.3999999;11.913847;2.5905263;4.2305546;
0.5425247;-0.094149604;-0.17738;-38.82;14.4;2.34;10.664074;1.0941502;3.0023289;
0.25847235;-0.019624045;-0.21036673;-39.899998;13.92;2.28;9.263466;0.1412579;2.0518308;
-0.008475755;-0.07338019;-0.28183794;-39.12;13.799999;2.1;9.605837;-0.0023942017;2.4229321;
0.02023491;0.0139735425;-0.23602305;-40.079998;13.559999;2.04;9.399935;-0.60333884;3.383007;
0.30978504;-0.0025198192;-0.11018482;-39.059998;13.679999;2.7;9.708787;-0.6368576;3.1747115;
