gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11491902;-0.1614975;0.0033597588;11.28;22.92;-40.44;-3.6655228;0.10055647;8.724771;
0.03718642;0.05841399;-0.16523905;12.719999;22.619999;-40.86;-3.217807;0.5482722;9.263466;
-0.03306308;-0.04848743;-0.006414085;11.7;22.98;-40.739998;-4.4340615;0.80924016;9.457396;
-0.08437576;-0.20303634;0.2507602;11.04;22.56;-41.82;-8.205229;1.1300632;8.150162;
-0.27985263;0.20990857;0.6948592;10.559999;22.38;-41.46;-11.933001;3.0095115;7.4773912;
0.08361218;1.3430636;0.7443393;12.96;22.38;-41.76;-15.819089;2.6527755;8.03524;
-0.337274;1.5782467;2.9251282;17.4;21.24;-39.84;-20.272305;-1.9177556;4.048595;
-0.99884105;1.6656004;4.462676;22.14;19.439999;-38.879997;-15.424046;-3.7565024;9.354445;
-1.2010374;2.0657172;5.315444;27.3;15.96;-34.68;-12.203546;-7.0799537;10.661679;
-1.3091606;1.264262;6.007554;33.12;10.32;-31.56;-7.228394;-9.330503;13.017574;
-1.1081859;1.1017718;5.1364603;35.64;2.7;-29.099998;-1.5969325;-8.159739;12.258612;
-0.48327076;1.2086732;3.4999523;35.34;-5.3399997;-28.08;1.3934253;-5.71047;9.653721;
-0.5755114;0.65522933;2.3112087;36.12;-9.78;-27.0;4.074931;-3.229778;8.899547;
-0.2083814;-0.019776762;1.0974194;34.2;-13.38;-26.46;7.4678144;-0.038307227;9.768642;
-0.007406741;0.07307476;-0.57818395;34.02;-14.5199995;-26.4;4.8626237;6.04087;16.003443;
0.20883955;-1.2641093;-0.16462818;34.079998;-13.74;-25.68;0.78529817;12.871528;18.196531;
1.2509756;-2.6513844;0.5708536;32.579998;-14.219999;-29.039999;-2.432509;16.065693;23.28421;
2.7298803;-2.8590784;0.37110063;29.099998;-16.98;-30.599998;-4.9132013;12.086229;18.85015;
2.782415;-2.529822;0.6728681;23.58;-21.24;-31.619999;-10.33128;6.2850785;11.818079;
2.0524309;-2.1144338;0.97585726;19.38;-27.0;-30.359999;-9.792584;1.0366893;4.661511;
0.7720573;-2.1199315;1.5262468;14.82;-31.199999;-29.34;-5.346552;-3.1986535;3.6607344;
0.20334177;-1.7430276;1.1743884;7.7999997;-33.42;-28.439999;2.9281087;-3.2489316;1.055843;
-0.22853996;-2.3740513;0.75961095;3.4199998;-33.96;-28.98;8.116643;-2.5115175;-0.079008654;
-1.2114221;-2.6642125;0.06078109;-2.34;-33.239998;-30.96;11.37994;-0.31124622;2.7940333;
-1.4936419;-2.7314076;-0.9111055;-5.3399997;-31.679998;-32.399998;10.264242;1.7645266;6.6849103;
-1.2951107;-2.8309786;-1.8347337;-8.46;-30.24;-33.0;9.292196;4.0701427;9.991303;
-0.8113054;-1.8810831;-3.303254;-9.12;-28.5;-35.04;2.1619642;6.083966;11.324873;
0.33528867;-2.266539;-2.5744915;-5.8199997;-29.939999;-35.76;-9.732729;7.1230493;8.042423;
0.24304801;-2.2677608;-0.75655663;-5.2799997;-30.3;-34.02;-9.335292;9.976937;3.1028855;
0.25404358;0.029703323;-1.2299771;-6.54;-31.98;-32.52;-8.760683;8.260295;-0.23463176;
-0.27191138;0.2654973;-0.00580322;-4.3199997;-32.16;-31.38;-6.538864;5.6075196;-1.8124107;
-0.5828418;0.3479641;0.53969944;-3.78;-32.04;-32.28;-2.920926;3.3087866;-3.8163576;
-1.7416532;0.73219836;0.52198434;-3.48;-30.06;-33.84;0.6560113;1.283292;-0.33039984;
-1.4502704;1.1249847;-0.3820962;-3.36;-26.88;-37.62;1.4077905;0.320823;-0.06464344;
-2.326862;1.1879039;-0.9459248;-1.0799999;-22.8;-39.42;0.4141969;-1.0534488;3.406949;
-2.8247173;1.5251014;-1.6972891;2.3999999;-17.94;-42.66;-0.90979666;-1.9129672;6.3976064;
-3.3861024;1.3858242;-2.2794437;7.3199997;-10.5;-44.52;-2.755726;-2.1428106;10.10383;
-4.2694135;-0.15416712;-1.0277808;10.86;-2.1599998;-45.899998;-8.480561;-1.6687586;16.151884;
-3.0757828;1.7725018;-2.7699685;13.0199995;6.96;-44.76;-3.2992098;2.4540567;20.059221;
-3.1869605;0.8488736;-2.8023443;13.86;16.02;-43.26;-8.052;4.2760444;24.711454;
-1.6542995;0.36873353;-1.4126259;14.7;24.359999;-39.42;-9.268254;4.4580035;18.81663;
-1.2150873;0.16959146;-0.4999932;13.0199995;28.619999;-36.96;-7.0057335;3.8666358;14.945206;
-0.6934084;0.22884539;0.057726767;12.78;30.96;-35.579998;-3.9264908;2.6551697;14.890139;
-0.42340598;0.13049608;-0.0070249503;14.099999;32.219997;-34.68;-2.966416;0.7158663;11.011233;
0.23877195;0.19341521;-0.5714644;13.2;33.3;-34.92;-1.5131354;0.3854665;12.421417;
0.55031323;0.6314056;-1.2110404;12.96;33.3;-34.5;-3.6870706;-1.0175357;9.488521;
0.49411362;0.04558582;-0.31612277;13.679999;33.12;-34.8;-5.5931544;-1.661576;9.14615;
0.35361463;0.21174116;-0.1255328;12.9;31.619999;-35.219997;-4.4460325;-1.436521;8.360851;
0.49350277;0.26671904;-0.28008172;12.54;31.679998;-35.94;-3.7134068;-1.271321;9.826103;
0.48861584;0.06818783;-0.20555615;12.96;30.3;-36.66;-4.3287168;-1.5945383;8.643368;
