gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.08483391;0.06528623;0.26122126;-31.92;-10.139999;-26.22;8.459014;2.4779987;2.837129;
0.030008756;-0.1643991;0.23373231;-32.1;-9.54;-25.56;8.846874;2.6192567;3.241749;
0.056886826;-0.22976169;0.31619912;-33.12;-10.2;-25.14;8.023269;2.5689783;3.311181;
-0.048181996;-0.12713633;0.520839;-33.84;-9.059999;-25.68;7.7311764;2.384625;4.6686935;
0.21326832;-0.28046352;0.6802748;-34.68;-8.22;-25.5;6.2467713;2.1452048;10.192416;
2.3195317;-0.1295798;0.9215666;-35.34;-6.72;-24.18;6.550835;1.340753;15.572487;
2.8540387;2.1611648;1.0797807;-36.3;-8.16;-22.74;7.829339;0.90500826;14.696209;
3.6292267;2.7164414;1.0516809;-34.02;-8.58;-23.939999;11.138125;-0.05746084;17.36335;
4.221155;3.7323103;0.7877871;-31.92;-9.059999;-24.96;12.249035;-2.9520507;11.863568;
6.3781204;2.68712;1.6686548;-29.099998;-11.34;-27.72;20.380043;-4.4436383;11.21474;
5.0665927;2.7665324;-0.23968825;-27.96;-17.82;-27.539999;14.039898;-8.221988;-3.004723;
2.7373636;1.6370425;0.7047094;-25.619999;-26.64;-24.48;10.017639;-8.858846;-4.1635165;
1.8002962;0.64194304;1.069396;-24.9;-29.46;-20.039999;10.539576;-2.7365725;-5.952285;
0.05261077;-0.15462527;0.032757647;-25.199999;-30.119999;-16.38;12.627319;3.7828386;-6.6394205;
-1.0823768;-0.9182068;-0.17982346;-25.68;-29.76;-17.039999;14.9547825;12.44536;-0.4237737;
0.382478;-2.0574706;-0.8420014;-26.88;-30.539999;-16.619999;16.13273;20.602705;5.4830213;
2.1387155;-2.2657754;-1.7112626;-26.4;-32.579998;-14.28;16.147095;20.777481;7.9298954;
1.6402495;-2.3146448;-3.2207108;-23.699999;-37.2;-6.42;16.906057;15.99626;7.2355766;
0.7850382;-2.027538;-4.026442;-16.92;-41.399998;1.68;15.251663;8.569147;10.108619;
0.87544626;-1.2047026;-4.234136;-4.38;-43.379997;7.02;9.639356;-0.39983168;9.438242;
1.416062;-0.4618905;-3.0942616;4.2599998;-42.48;9.24;3.502717;-5.384859;6.562806;
2.312812;-1.0458777;-1.3752867;11.94;-39.48;14.04;0.16280572;-5.0472765;-4.321534;
0.71051264;-0.9414197;-0.123623855;15.96;-37.079998;19.74;1.2808979;-3.41892;-5.868488;
1.6549103;-1.8962021;0.82138467;17.699999;-35.88;20.22;2.291251;-0.6344634;-7.218817;
1.710499;-2.4105506;1.7896061;18.3;-34.02;22.199999;2.5617957;1.0606314;-11.959337;
0.4704426;-3.3891568;2.751108;17.16;-34.62;22.98;7.549217;4.048595;-12.9840555;
-0.80198973;-3.863799;2.6564238;16.199999;-36.42;20.699999;11.181221;7.290643;-7.592313;
-1.4660002;-4.3653193;2.0412827;14.099999;-39.12;16.32;10.527604;10.111013;-3.5242648;
-3.0786846;-4.040339;0.6008623;12.48;-40.62;10.26;10.187628;12.830826;7.4582376;
-1.4837153;-2.9786553;-0.030161472;11.88;-41.7;-0.59999996;0.6727707;10.85561;18.021755;
-0.49044845;-0.8436813;0.21601722;12.0;-42.6;-5.2799997;-5.5955486;5.123891;17.5908;
1.1087968;0.19784398;1.3516157;11.099999;-43.02;-7.44;-5.550059;0.4405331;10.154109;
0.9896781;0.96203643;1.8677969;7.3199997;-43.379997;-4.02;-2.0278888;-2.1260512;1.3790601;
-0.4000404;1.1171962;2.4713316;2.58;-42.84;-1.74;1.8387469;-3.2800562;1.163582;
-1.4831045;1.5344172;3.1249576;-3.24;-43.079998;-3.0;4.8506527;-5.3633113;1.7477672;
-3.02615;1.6767488;5.0668983;-10.559999;-41.399998;-6.24;8.4231;-9.182063;6.34254;
-1.9546925;0.65843636;7.189044;-21.72;-35.219997;-12.84;20.94747;-5.645827;9.378387;
-0.2607631;0.7183012;6.313674;-34.2;-23.34;-16.68;37.300465;6.6274495;3.6894648;
-2.5124123;0.73418367;3.8579957;-39.42;-9.96;-20.34;33.076794;8.638579;2.4372973;
-1.1116984;0.15386169;1.9020053;-39.6;0.65999997;-23.939999;22.901138;8.712799;3.787627;
-1.0970377;0.10315987;0.6466772;-39.3;6.42;-24.48;15.14153;6.754342;0.9648633;
-0.88873255;0.19906572;0.32475123;-38.219997;10.139999;-23.88;10.680833;1.946486;3.8594532;
0.296346;0.09155343;0.47502407;-38.76;11.219999;-23.34;11.523592;0.055066638;5.0831895;
0.554742;-0.106977776;-0.15355626;-37.26;11.16;-24.119999;9.907506;-0.91458505;2.8658595;
0.43928847;-0.030619621;-0.019776762;-37.26;11.04;-24.119999;9.71597;-1.3551182;3.4524388;
0.5761223;-0.27313313;-0.2457969;-38.219997;10.139999;-23.82;9.131784;-1.7022774;2.1045034;
-0.17707457;0.028634308;-0.19876029;-38.64;9.059999;-24.0;8.791808;-2.8060043;2.2697031;
-0.24182628;0.0884991;-0.13095424;-38.76;8.5199995;-24.9;8.104672;-3.3207579;2.4037786;
0.12102768;-0.12713633;0.06269005;-39.12;9.059999;-24.84;8.075942;-3.845088;3.371036;
0.46799913;-0.25847235;0.34063372;-38.1;8.4;-24.6;8.463802;-3.4284968;2.6886885;
