gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.43073636;0.20257819;-0.13591751;6.8399997;34.5;-33.0;-2.9496565;-2.908955;7.891588;
0.26992607;0.112780996;0.32650748;7.02;34.86;-33.899998;-4.2880154;-2.9640217;10.637737;
-0.054443367;-0.5793293;0.31123585;7.68;33.96;-33.66;-4.6710877;-3.2704794;7.7575126;
-0.091095276;-0.630642;0.7693848;7.5;34.02;-33.18;-8.607454;-1.9991584;8.540417;
-0.60422206;-0.15844317;1.5610662;7.9199996;34.62;-33.899998;-14.013562;-2.920926;6.2707133;
-0.5651267;-0.7241044;3.1291573;9.54;34.14;-32.82;-12.663232;-4.5082817;9.308955;
-0.66042167;-0.4547128;3.873802;13.5;33.48;-33.0;-9.92666;-6.1414266;8.5476;
-0.45394924;0.008323039;3.5946364;18.359999;31.74;-32.04;-4.6782703;-7.379229;10.970531;
-0.71723217;1.3901002;2.3667974;23.519999;29.58;-30.48;-2.707842;-10.065523;8.442254;
-1.1448379;0.83604544;2.6618452;27.48;27.3;-29.279999;-0.093373865;-11.001657;6.4119716;
-0.76304704;-0.6508006;2.7913487;32.399998;25.019999;-26.099998;3.502717;-7.791032;8.629003;
-0.65736735;0.35407278;1.1749994;34.86;22.14;-26.34;6.443096;-4.675876;7.752724;
-0.7025714;-0.10285444;0.14508049;35.64;21.48;-25.32;3.9815574;-3.490746;8.648156;
-0.23281601;-0.7760279;-0.122478485;35.52;21.48;-24.66;2.966416;0.50517654;15.723321;
0.51305044;-0.317879;-1.0797043;35.76;21.96;-25.859999;-6.5699887;4.012682;20.550032;
1.6730835;-1.7124844;0.2751948;34.2;21.96;-27.06;-13.259388;3.8187518;25.233389;
2.7982974;-1.9684368;1.022283;32.28;19.859999;-30.0;-9.668086;2.0518308;24.24189;
3.7078757;-1.786399;0.7535023;28.859999;12.24;-35.28;-8.753501;-2.2960393;21.565174;
3.9790998;-0.8853728;0.45662177;26.4;4.2;-39.96;-7.9442606;-6.4454904;14.312837;
3.1452687;-0.6379724;0.5152648;24.539999;-3.4199998;-41.399998;-5.5069633;-6.7734957;7.340922;
2.446439;-1.0832932;0.66675943;22.74;-9.599999;-40.44;-2.707842;-6.692093;1.7597382;
1.5099826;-1.446758;0.51893;19.56;-15.36;-40.02;0.39264908;-4.9419317;-3.4452562;
0.09644035;-1.695991;0.7076874;17.039999;-19.14;-39.66;2.0566192;-2.408567;-4.333505;
-0.37575847;-1.3325262;0.10170906;12.66;-18.84;-42.059998;7.3385277;1.9369092;2.327164;
-0.5614615;-1.4363732;-0.6239988;9.78;-18.779999;-43.8;10.388741;3.9073372;5.4949923;
-0.46861;-1.7925076;-1.5830573;7.44;-17.52;-44.28;10.917859;3.6367924;7.8724346;
-0.46127963;-0.99593943;-2.8371637;6.24;-16.5;-45.3;6.7734957;1.9129672;8.839692;
-0.46861;-1.0057132;-3.2678237;5.64;-14.04;-46.5;2.030283;1.8028339;10.7359;
0.05062546;-1.6678911;-2.8060095;7.02;-11.759999;-45.96;-5.406407;2.0398598;11.75583;
0.57169354;-2.0472386;-1.7583756;4.92;-12.36;-47.34;-10.64492;3.7924154;9.270648;
0.11110111;-0.6343072;-1.2415836;1.3199999;-13.74;-46.32;-10.259454;6.1917048;8.688857;
0.64682996;-0.3551418;-0.32406402;1.62;-14.16;-46.5;-9.14615;5.89243;4.7764325;
-0.17417295;-0.20059288;0.23243423;1.02;-15.179999;-45.84;-4.8698063;5.171775;2.6048915;
-0.4282929;0.489074;0.16157386;1.02;-15.299999;-45.719997;-1.958457;3.0238767;1.0175357;
-0.794812;0.20318905;0.21594086;1.9799999;-13.86;-46.2;0.39025488;0.58657944;-2.657564;
-1.9896644;-0.13156511;0.3417791;2.46;-11.7;-45.66;-0.51475334;-1.5849615;-3.4093432;
-2.6329055;-0.10896309;0.37110063;0.71999997;-6.8999996;-46.559998;1.3742718;-1.9919758;3.7349546;
-2.821052;0.6869943;-0.21899518;0.35999998;-1.56;-48.059998;-0.35913026;-4.5992613;4.132392;
-3.795993;0.14515686;-0.26053402;0.17999999;6.12;-47.7;-3.8905778;-4.003105;12.430994;
-3.3378441;0.80428046;-0.6826419;2.3999999;14.759999;-45.48;-0.50757074;-1.1204864;21.562778;
-1.6769015;1.5843554;-1.0900891;4.56;21.539999;-43.2;-5.6051254;0.110133275;22.59468;
-1.0312169;1.4267521;-0.8304713;6.42;25.8;-40.079998;-6.4694324;-0.2633622;16.836624;
-1.0501537;1.0938306;-0.25992316;8.16;27.779999;-38.82;-4.548983;-0.5722142;14.315231;
-1.1949288;-0.19570595;0.17195857;10.26;29.34;-36.66;-1.3934253;-0.8283938;14.061446;
-0.23464862;0.3760639;-0.2593123;9.78;32.52;-34.92;-2.7341783;-1.2521675;13.245023;
-0.2926808;-0.08391761;0.18661933;10.08;32.219997;-34.5;-3.3973722;-1.6400281;12.4286;
0.47273335;0.030925052;0.14996742;10.0199995;33.3;-34.32;-2.0566192;-1.3503298;12.241853;
0.42447498;0.17142406;-0.015577064;10.62;31.98;-34.8;-3.3782187;-2.1619642;9.763854;
0.4366923;-0.2842814;0.32345316;10.38;31.619999;-35.579998;-3.1842883;-2.4253263;9.557953;
0.29008463;-0.41867176;0.3857614;11.46;30.179998;-36.12;-1.769315;-1.8579005;9.589077;
