gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.19356793;0.053679783;0.03520111;-31.439999;7.2;-29.4;7.91553;4.175488;5.0089693;
0.27985263;-0.019013181;0.027870728;-32.1;7.5;-29.82;6.881235;3.952827;5.8493342;
0.31894803;0.22533292;0.03642284;-30.3;8.099999;-30.24;7.0200987;4.4963107;6.2970495;
0.45578182;0.042073343;0.17142406;-31.199999;6.18;-30.119999;5.844546;6.052841;8.808567;
1.0244974;0.0603993;-0.34536794;-29.46;5.8799996;-29.279999;4.9993925;5.770325;14.827889;
2.005547;1.5808429;0.30886874;-28.68;0.29999998;-30.96;3.2920272;4.3382936;16.060904;
2.658562;2.5356252;0.5770386;-26.16;-2.22;-32.219997;5.269937;1.9321208;16.616358;
2.8497627;3.027372;0.80061525;-23.519999;-8.22;-33.12;8.413524;-2.2816741;17.839796;
3.791717;3.5331683;1.3216833;-21.0;-12.66;-33.3;12.39987;-6.0672064;16.214132;
3.8130972;4.0688972;1.2996922;-17.94;-21.24;-32.219997;16.637907;-6.6489973;5.5692124;
3.9664245;2.968118;1.377272;-15.66;-26.519999;-30.84;15.242086;-3.6391866;-3.8115692;
0.5431356;1.5857298;0.7376962;-14.82;-32.46;-29.039999;13.85315;1.8674773;-8.01848;
0.121638544;1.036562;0.42126796;-15.179999;-34.559998;-30.179998;12.526763;3.1555579;-0.81642276;
1.0018953;-0.26152667;0.60391665;-14.46;-35.399998;-30.96;9.399935;6.218041;-5.150227;
-0.4892267;-0.8320748;0.124387436;-16.619999;-36.059998;-29.279999;10.903494;10.606613;-2.5929205;
-0.11537717;-1.483868;-0.63858324;-18.72;-34.62;-28.619999;12.4429655;16.922815;2.3223755;
0.9676869;-1.9200258;-1.3868932;-18.0;-35.34;-27.599998;15.2732115;24.126968;4.606444;
2.4569764;-2.4887414;-2.34473;-15.42;-37.98;-22.5;15.534179;24.512436;4.891354;
1.3781884;-2.535778;-3.4216852;-9.54;-41.76;-16.14;16.499043;19.151817;7.740753;
1.3824644;-2.467972;-3.5255325;-2.04;-42.719997;-12.24;12.208334;8.4231;12.644078;
1.3189344;-1.6103171;-3.1125875;5.04;-43.26;-8.7;8.162133;-0.7254431;10.494085;
1.45699;-1.4728725;-2.0802252;12.3;-43.32;-6.0;0.92655605;-5.96665;8.147768;
1.6286432;-0.2841287;-1.3270284;17.64;-42.48;-2.3999999;-1.5466543;-6.538864;2.1930888;
1.5901586;-0.74899715;-0.5426774;19.8;-41.52;-0.48;-4.050989;-6.2276177;-2.6192567;
0.7337255;-0.4001931;0.34735325;21.18;-41.28;4.08;-2.741361;-2.2768857;-8.494926;
0.26702446;-1.1949288;1.2355514;20.64;-41.7;4.74;-3.107674;0.51235914;-10.3097315;
0.4264603;-2.0892355;2.107867;15.96;-42.0;4.56;3.0382419;6.1055136;-13.606547;
0.04589125;-2.9499447;1.9331595;13.08;-42.6;4.68;6.9817915;10.089465;-13.829208;
-1.2442561;-3.7746127;0.97959876;9.719999;-43.98;2.7;9.397541;12.402264;-10.64492;
-2.4171174;-3.863799;0.4713589;6.12;-44.579998;-2.04;7.522881;11.207558;1.7621324;
-0.3658319;-3.273703;0.23312145;5.22;-44.399998;-7.68;2.621651;10.6042185;16.977882;
-0.134314;-1.3006085;0.23189972;2.1;-44.04;-9.3;-1.4748282;10.664074;13.177985;
0.4893794;-0.21082486;0.32230777;0.71999997;-44.16;-9.599999;-4.015076;7.168539;8.334516;
0.5706245;0.22472206;0.47074804;0.35999998;-44.52;-8.4;-3.6942532;3.5889084;1.9536686;
0.47105345;0.24121541;1.422476;-1.4399999;-44.34;-7.2599998;-3.560178;-1.115698;0.6607997;
0.50098586;0.23388503;1.8421406;-4.3199997;-44.399998;-6.12;0.0047884034;-2.719813;0.019153614;
-0.6004042;0.6364452;2.682691;-8.7;-43.26;-5.3399997;2.4756045;-4.3718123;-0.46208093;
-1.181337;0.73235106;3.4163404;-14.34;-40.98;-7.98;5.1286793;-6.2276177;1.5897499;
-1.893606;0.72868586;5.0986633;-21.539999;-37.2;-10.74;11.310508;-7.764695;5.7511716;
-0.3890448;0.5283221;6.890331;-34.38;-25.619999;-16.44;25.81518;0.80924016;10.412683;
1.9456822;0.19784398;5.331403;-40.739998;-13.799999;-18.72;34.99006;14.756063;-4.120421;
-5.4463983;1.8093065;2.4548383;-38.7;0.12;-22.199999;27.031435;15.534179;6.4095774;
-2.0444896;0.47395507;1.2660946;-36.899998;7.2599998;-23.64;18.42398;12.605771;7.9562316;
-0.2955824;0.050014593;0.62285346;-35.1;12.059999;-21.539999;13.376704;8.456619;4.6136265;
-0.081779584;-0.051999904;0.052916203;-35.399998;13.44;-22.8;11.466131;6.479009;0.6344634;
-0.4452444;-0.10881037;-0.33437237;-35.399998;14.219999;-22.68;11.138125;3.9432502;2.779668;
0.11491902;-0.16684256;-0.3215442;-35.82;14.04;-21.539999;9.244312;1.5179238;4.3382936;
0.6023895;-0.2224313;-0.08636107;-37.559998;13.2;-22.74;9.2347355;0.80684596;2.861071;
0.59078306;-0.14301883;-0.02405282;-36.48;12.24;-21.779999;9.586683;0.8379706;2.291251;
0.28107437;-0.23709208;0.108504936;-37.079998;11.94;-21.119999;8.277055;0.050278235;1.8315643;
