gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.06612616;0.15210545;0.07811439;-39.0;5.46;-24.42;6.6968813;2.7150247;7.424719;
-0.044745877;-0.08002335;0.087277375;-38.34;6.12;-23.64;5.4949923;2.1499932;7.2092404;
-0.29825497;-0.04520403;0.28336513;-38.7;6.12;-23.82;5.4973865;2.1068976;8.332121;
-0.30680707;0.52839845;-0.19066632;-37.8;6.6;-23.699999;3.0789435;3.4931402;12.703934;
1.0340421;-0.86620694;0.15141822;-37.32;7.3199997;-24.48;-3.86903;1.7477672;21.51729;
2.9228375;2.4678955;2.2662337;-37.98;1.86;-25.98;-0.25617957;-2.5139117;22.003313;
4.8867693;1.6145169;2.5172994;-35.579998;1.8;-31.32;7.9897504;-1.733402;15.345037;
4.380973;2.552806;1.9412534;-33.36;-2.3999999;-34.86;13.19235;-3.4380736;10.233117;
4.0052905;2.094657;1.5069282;-29.22;-3.3;-37.2;12.6895685;-4.6662993;-0.8331822;
2.5752552;0.4569272;1.6181056;-26.939999;-9.96;-38.82;13.309667;-1.7884687;-4.120421;
1.0877982;-0.05681047;0.12637275;-26.64;-14.7;-38.28;12.311284;2.6527755;-8.533235;
-0.63545257;-0.6432411;-0.17417295;-27.0;-15.66;-37.44;12.11496;10.814908;-2.4109612;
0.35476;-2.0341814;-0.22059871;-27.66;-14.5199995;-37.32;16.09921;26.023476;11.377545;
1.6082555;-1.2522738;-2.3879485;-29.82;-18.9;-34.86;13.790901;24.390331;17.6315;
2.993698;-1.3402383;-3.7862191;-28.32;-25.199999;-30.96;14.492402;15.814301;16.719309;
2.9265027;-1.1215485;-4.607833;-22.98;-33.48;-24.96;14.054263;6.1510034;14.0829935;
2.680935;-0.42638394;-4.7550516;-16.56;-41.219997;-18.9;7.664139;-4.721366;7.376835;
2.521499;-0.42210788;-2.7782915;-7.7999997;-46.62;-12.059999;0.34715924;-10.589853;-2.1260512;
2.5697575;-1.4709635;-0.15034921;-1.3199999;-48.36;-7.08;-3.5290532;-10.474932;-6.002563;
1.0823005;-1.5338826;1.1874456;-1.74;-49.559998;-0.42;2.396596;-2.6862943;-10.625767;
0.9045387;-2.0360138;1.6058884;-3.0;-49.5;3.12;4.197036;3.5577838;-10.326491;
0.4457789;-2.747061;1.4183527;-6.24;-48.84;5.16;5.430349;7.5156984;-11.976096;
-0.91706145;-3.6432004;1.1477394;-8.88;-48.12;6.96;6.8884177;11.207558;-10.084677;
-2.5273023;-4.2320743;0.18562667;-8.76;-48.42;6.42;7.934684;13.228264;-1.0319009;
-2.855337;-3.3151658;-0.9145416;-8.5199995;-49.44;2.04;3.7684734;9.950602;18.864513;
0.3559817;-1.1343768;-0.7899251;-6.06;-50.82;-2.8799999;-4.3861775;4.9634795;20.72002;
1.0560333;0.2125811;0.025579982;-3.6599998;-50.46;-3.06;-5.8756704;1.2282255;7.6114664;
1.0566442;0.036651913;1.0023535;-5.16;-50.879997;0.06;-4.441244;-2.3702598;-0.076614454;
-0.5908594;0.24373524;1.929647;-7.44;-49.62;1.9799999;-2.0159178;-3.691859;-1.2952632;
-1.6085609;0.42332962;2.6296985;-12.059999;-49.079998;1.26;0.61770403;-4.5178585;0.074220255;
-2.5749497;0.065973446;4.195957;-19.56;-45.18;-3.84;2.8658595;-6.7926493;1.6927006;
-2.9671252;-1.0274754;5.9851813;-27.18;-40.5;-7.5;8.743924;-7.3097973;6.0456586;
-0.59757894;-1.1001683;7.355352;-41.1;-25.14;-11.16;26.250925;6.7711015;12.917017;
-0.37583485;-0.3200934;4.698699;-45.42;-13.38;-9.599999;32.140663;21.297022;3.0550013;
-2.9604056;0.22785273;1.3743705;-46.32;0.71999997;-7.44;24.134151;18.371307;7.206846;
-1.399645;0.42760566;0.34139732;-44.879997;4.56;-5.16;14.312837;11.047146;10.020034;
-0.026419923;0.24862215;-0.008017606;-45.96;5.3399997;-5.2799997;9.862016;6.8740525;4.618415;
-0.017256944;0.14966199;0.028023442;-44.34;5.8799996;-5.1;8.315362;4.000711;3.667917;
0.033444874;0.03176499;0.0322995;-44.7;5.16;-5.8199997;8.063971;2.7006595;2.9161377;
-0.12904528;-0.056199603;0.17157678;-44.46;6.6;-5.8199997;9.033623;1.9608512;4.096479;
-0.12232576;0.10934488;0.093386024;-44.64;6.66;-6.24;9.112631;2.0446482;3.8618474;
-0.063682705;0.1301143;0.03718642;-44.28;6.96;-5.2799997;8.983344;1.7166426;4.9539027;
0.22708915;0.061086524;0.017027868;-44.7;7.44;-5.22;9.038411;2.030283;3.9504328;
0.18921551;0.15943582;0.102549;-44.04;7.44;-6.7799997;8.454226;2.0350714;3.6152446;
0.05787948;-0.02321288;0.016417004;-43.739998;7.9199996;-6.6;8.782231;2.3295584;3.371036;
-0.04596761;0.07574729;0.007254025;-43.98;6.8999996;-7.3199997;8.712799;1.7238252;4.189853;
0.062155537;0.04337143;-0.02023491;-44.34;7.5;-5.58;9.273043;1.8842367;4.3742065;
0.16294831;0.064751714;0.005421429;-44.579998;8.04;-6.8399997;8.870816;1.7477672;4.0797195;
-0.0759;0.08674286;-0.08559749;-44.64;7.98;-6.8999996;8.631396;1.6783354;3.7852328;
-0.052687127;0.12095132;-0.03306308;-44.28;7.3199997;-8.22;8.5499935;1.6112977;4.156334;
