gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.27435485;-0.4565454;-0.10781772;-5.8799996;-5.58;-49.739998;-0.7517793;3.490746;8.430284;
0.11415544;0.06330091;0.34422258;-5.2799997;-5.2799997;-48.66;-1.7381904;2.4732103;10.316915;
0.16363552;0.3375794;0.4120286;-5.2799997;-5.22;-49.02;-1.0749966;3.3901896;8.753501;
0.14897476;0.31558827;0.6203337;-4.5;-6.42;-49.44;-4.8722005;2.4899697;9.751883;
-0.19310978;1.0351875;0.24953845;-4.68;-6.12;-49.32;-7.937078;3.7780502;11.810896;
0.03901902;2.193388;-0.16157386;-1.8;-5.94;-50.039997;-13.975255;1.0151415;12.96969;
1.108644;1.4762322;2.5402832;2.34;-5.64;-50.219997;-13.30009;-3.0693667;20.152594;
1.0512227;3.226972;3.5170567;4.56;-8.34;-50.94;-4.7141833;-3.7205894;16.276382;
1.1740067;3.4242816;3.9526036;11.04;-10.44;-49.379997;1.7669208;-2.918532;16.250046;
0.596739;3.440775;3.3454034;18.24;-14.58;-47.039997;7.3026147;-1.5705963;13.012786;
0.3591124;2.565405;2.845105;23.64;-17.94;-44.64;10.43423;2.633622;9.292196;
0.12637275;1.1494193;0.6936375;25.92;-21.539999;-42.36;12.502821;5.9379196;5.2364182;
0.0011453723;0.5092325;0.7296785;27.72;-21.84;-41.219997;9.921871;11.899482;9.426271;
1.6278795;-0.71799576;1.0198395;27.779999;-23.939999;-40.379997;7.0775595;17.011402;2.719813;
0.9021716;-0.9574549;-0.34483343;25.619999;-26.58;-39.54;3.2154129;20.966623;7.867646;
2.858773;-1.3129785;0.44990227;23.58;-29.699999;-38.579998;-3.5290532;19.16379;11.367969;
3.480023;-1.2506702;0.505491;21.66;-34.32;-34.98;-1.043872;15.677832;9.873987;
2.9015336;-0.93912894;-0.1591304;19.08;-39.899998;-31.08;-1.8171991;10.520422;7.96102;
2.2534056;-0.74609554;-0.036957346;18.9;-43.8;-27.18;-3.7493198;4.4101195;6.5460467;
2.6211464;-1.3618478;1.063211;17.82;-46.86;-21.359999;-2.5617957;0.7278373;4.7620673;
1.6413186;-1.0771846;1.1487321;14.5199995;-49.5;-15.78;-0.7182605;-0.40462008;1.0726024;
1.62116;-1.1510992;0.8970556;11.88;-51.059998;-11.94;1.4149733;0.1364695;-1.0654198;
0.18073976;-0.6269768;0.6197228;8.16;-52.62;-9.78;2.8060043;1.7310078;-3.289633;
-0.0012980887;-0.85666215;0.86406887;6.8399997;-52.8;-7.8599997;5.8253922;5.135862;-4.5394063;
-0.027565295;-1.7179822;1.031446;4.74;-53.039997;-8.04;8.760683;7.843704;-6.6394205;
-0.6885215;-2.3422863;0.27275133;2.46;-51.84;-7.9199996;8.595484;9.20361;-4.1252093;
-1.0354929;-2.4717898;-0.41325033;1.92;-51.84;-10.139999;7.118261;10.695198;-0.062249243;
-0.21754439;-3.1547372;0.14935656;2.3999999;-51.719997;-11.759999;0.14844051;9.952995;4.0677485;
-0.19372064;-2.8126526;0.1908954;0.84;-51.78;-11.04;-2.372654;11.071088;3.157952;
0.021303926;-2.1046598;0.12675454;-0.12;-51.719997;-9.48;-5.3250036;11.786954;3.928885;
-0.026343564;-1.079017;-0.3576616;-1.9799999;-51.12;-8.04;-6.8261685;9.785401;1.9297266;
0.0182496;-0.44860417;-0.37659842;0.29999998;-50.879997;-8.099999;-6.1677628;7.0608;-0.21068975;
-0.49365547;0.28382325;0.074830994;0.35999998;-51.539997;-8.82;-4.9634795;4.5561657;-1.0773908;
-0.37759107;0.2599995;0.42852196;0.9;-51.84;-9.599999;-2.408567;1.7166426;-1.2641385;
-1.207757;0.47746754;0.7156286;-0.84;-49.98;-11.099999;-0.60333884;-0.14604631;-1.5514427;
-1.4233924;-0.058872137;1.1297953;-2.3999999;-49.98;-14.88;2.0494366;-0.5554548;0.6871359;
-1.9377409;1.0052551;0.5335908;-4.74;-48.0;-17.64;0.01436521;0.45489833;4.3358994;
-2.4746914;0.22823453;1.1768318;-5.7;-44.64;-22.08;2.6240451;2.7030537;5.0472765;
-3.886401;0.25266913;2.1340578;-7.74;-40.92;-29.519999;2.554613;6.7854667;6.244377;
-3.6499963;-0.3667482;1.4407257;-11.759999;-35.399998;-33.48;9.9099;16.819866;12.799702;
-3.5302665;-0.12179126;-0.45112398;-12.96;-26.519999;-39.54;5.243601;18.088793;16.111181;
-1.7679204;0.15554157;-0.027794369;-13.44;-21.0;-43.14;1.733402;17.387291;12.51958;
-0.89132875;0.22456934;0.3735441;-13.799999;-17.4;-44.1;0.46208093;14.631266;11.52838;
-0.24258986;-0.03810272;0.20189096;-13.139999;-16.02;-46.44;5.4830213;12.117354;7.723994;
-0.36537376;0.03397938;-0.7333437;-13.62;-14.82;-45.78;3.2010477;8.607454;6.7016697;
0.021914791;-0.11446088;-0.37415496;-13.2;-14.58;-46.68;1.8842367;6.9003887;7.829339;
0.109268524;-0.1175152;-0.3998113;-13.44;-15.78;-46.32;2.2697031;6.395212;7.3385277;
-0.0061850105;-0.263512;-0.26358834;-13.0199995;-15.96;-46.079998;1.8818425;5.657798;7.67611;
0.106214195;-0.16699529;-0.12186762;-13.98;-15.719999;-45.539997;2.087744;5.329792;7.5420346;
-0.14973834;0.05963572;-0.04917465;-13.44;-16.08;-46.32;1.8674773;4.9371433;7.010522;
