gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.13981178;0.1915826;-0.036957346;10.8;-3.84;-44.94;-3.8426938;5.11192;7.9538374;
-0.0397826;0.13355042;0.106595986;9.9;-3.6599998;-45.059998;-4.1252093;4.9874215;7.803003;
0.05245805;-0.006948592;0.30573806;8.82;-4.7999997;-45.059998;-4.134786;5.1789575;7.2355766;
-0.06604981;0.1091158;0.36071593;9.12;-3.84;-45.059998;-7.2595186;6.002563;7.379229;
0.6052911;0.31558827;0.2996294;9.3;-4.56;-44.76;-7.6497736;6.718429;6.7615247;
0.38476875;1.1842387;0.07971791;10.139999;-6.3599997;-45.18;-14.6719675;6.4502788;6.467038;
0.86796314;2.2648592;0.818254;12.9;-7.3199997;-43.98;-18.950705;2.303222;5.420772;
-0.69096494;3.50797;2.7198775;17.82;-8.5199995;-42.36;-21.265898;-0.80205756;8.420707;
0.46662468;3.9166389;4.004527;22.38;-10.8;-39.0;-7.4893622;1.5131354;17.013796;
0.054901514;4.2373433;3.1236594;25.74;-16.199999;-33.6;-2.1547816;0.7493851;15.955559;
-0.24136813;3.4432182;2.129171;29.699999;-20.4;-28.019999;5.660192;0.92416185;12.665627;
-0.4264603;2.388254;0.8237518;30.48;-22.74;-23.64;7.4773912;2.5737667;9.036016;
-0.74777544;1.2190579;1.0809261;31.679998;-23.699999;-20.46;5.861305;4.405331;8.097489;
-0.7691557;0.13232869;1.0027353;31.32;-25.08;-19.619999;5.609914;9.421483;8.528446;
-0.18761198;-0.3728569;0.35155296;29.699999;-27.0;-20.4;3.157952;14.73691;6.9793973;
0.4556291;-1.0081568;0.34666604;29.46;-27.0;-21.119999;0.17956513;20.415956;6.4335194;
1.2375367;-1.4797447;1.1859949;27.66;-27.779999;-22.619999;-4.757279;21.881208;9.703999;
2.2204187;-1.4974598;1.765706;24.6;-30.179998;-21.779999;-4.5753193;18.811842;9.05517;
2.5710554;-1.261055;1.5311338;19.5;-34.62;-19.199999;-5.358523;12.392687;7.853281;
2.382909;-1.2079097;1.6276505;14.4;-39.0;-15.299999;-4.9419317;5.1047373;5.1526213;
1.4800501;-1.061302;1.434617;11.94;-42.42;-10.98;-2.6791117;1.1851299;2.3343468;
0.41592288;-1.1010083;1.5732834;6.42;-44.04;-8.7;0.81402856;-1.3910311;0.90740246;
0.5246569;-0.89514667;1.2373075;3.78;-46.02;-7.98;2.396596;-0.82599956;1.4197617;
0.09277516;-1.3368022;1.2281445;-0.78;-46.14;-7.2;8.743924;1.1492168;-1.7549498;
-0.5816201;-1.6294067;0.50488013;-3.84;-46.26;-6.8999996;12.002433;4.120421;0.30645782;
-1.0342712;-2.3288474;-0.14752395;-4.74;-45.96;-8.88;12.222699;5.600337;0.6488287;
-1.2040918;-2.7417922;-0.88239485;-4.68;-45.12;-9.36;7.546823;8.315362;4.8841715;
-0.4796056;-3.5970037;-0.17867808;-2.9399998;-44.76;-11.16;1.2186487;9.890746;5.696105;
-0.41424298;-3.3886986;-0.7724391;-3.78;-44.52;-12.9;-1.4676456;12.179604;6.110302;
0.2167808;-2.4027622;-1.2250903;-3.0;-44.64;-12.78;-9.668086;11.676821;1.8650831;
0.57474786;-1.0600803;-0.83658;-2.8799999;-45.239998;-11.759999;-12.876316;8.071154;-2.030283;
-0.14912748;-0.7888561;1.2073752;-0.65999997;-44.219997;-10.62;-8.830115;5.0113635;-4.51307;
-0.49732068;-0.110795684;1.1450669;-3.12;-45.42;-10.559999;-1.0941502;3.667917;-2.9975405;
-0.90782213;0.17570011;0.28496864;-5.7599998;-43.559998;-11.16;2.3056161;1.6424223;-2.2385786;
-1.5412893;0.5104543;-0.5122105;-6.8399997;-42.42;-14.04;1.1228806;-0.062249243;-0.4357447;
-2.1998022;0.6472881;-0.5476407;-5.94;-41.04;-18.9;-0.33758244;-0.38067806;-0.011971008;
-2.8515954;0.4731915;-0.24037547;-3.84;-39.36;-23.88;-1.5969325;0.7613561;3.4931402;
-3.7104719;0.6924921;-0.21960606;-3.1799998;-34.26;-29.16;-1.5298948;4.1012673;7.118261;
-3.8253145;0.3748422;-0.30940324;-2.58;-28.26;-35.82;0.035913024;12.600983;14.501979;
-2.8008935;0.7902306;-1.8371773;-0.06;-21.48;-40.8;-0.6607997;16.379332;14.116512;
-1.8308395;0.44753516;-2.083356;3.36;-15.48;-43.98;-2.8060043;15.730504;15.421652;
-1.2218069;0.24717134;-1.2721269;6.06;-10.8;-44.34;-4.1036615;13.79569;13.822025;
-0.5920048;0.35040757;-0.6453791;7.8599997;-8.46;-45.0;-4.76925;10.321703;7.242759;
-0.6139959;-0.04176791;0.33200526;8.58;-7.2;-44.7;-1.4676456;9.83568;9.457396;
-0.32139146;0.17570011;-0.27763826;8.22;-5.46;-45.719997;-1.6663644;8.499715;9.194034;
0.075670935;0.013209961;-0.22082779;9.36;-4.3199997;-45.539997;-2.8443117;7.237971;9.019258;
-0.053221636;-0.050320026;-0.0076358155;8.4;-5.1;-45.42;-2.4061728;5.940314;7.3864117;
0.12209669;-0.0332158;-0.15668693;8.7;-4.62;-46.02;-1.4389153;6.2132525;8.451831;
0.17402023;0.0846812;-0.27275133;9.78;-5.16;-45.18;-2.7844565;5.806238;8.090307;
0.24426974;0.04802928;-0.035124753;8.76;-5.58;-45.18;-2.8682537;5.171775;6.8405337;
