gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.008628472;-0.122402124;0.058948494;-41.16;19.859999;-17.58;8.238748;1.496376;5.1933227;
0.025579982;-0.16943875;-0.044898596;-41.219997;20.279999;-18.359999;8.085519;1.472434;5.5332994;
-0.08926269;0.1408808;0.00580322;-40.86;19.14;-18.119999;7.791032;1.316811;5.8086324;
0.051236324;-0.10102184;0.023518313;-41.04;19.92;-18.779999;8.162133;1.6089035;5.174169;
-0.0397826;-0.042378776;-0.0125227375;-41.1;19.92;-18.6;7.8341274;1.4580688;5.832575;
0.08239045;-0.07047858;0.06688975;-42.12;20.22;-17.64;7.8365216;1.7717092;5.743989;
-0.26885706;0.18058704;-0.08277224;-40.739998;20.699999;-18.119999;7.1398087;2.9137435;8.480561;
-0.25480717;0.51717377;-0.4841107;-40.86;19.8;-17.34;3.9240966;4.759673;12.294525;
1.1245265;0.7407505;0.13530666;-40.26;18.9;-19.439999;0.8379706;0.78290397;18.917187;
2.4995842;1.4731779;1.2592987;-39.899998;18.24;-21.24;0.90740246;-1.6903064;19.108723;
3.8618138;2.1549034;2.1633792;-37.02;16.14;-25.14;3.8139634;-7.963414;21.306599;
5.0957613;2.2092705;2.413834;-33.84;15.24;-30.48;14.418182;-5.861305;10.745477;
4.1800747;2.9710195;1.6484199;-29.519999;10.92;-34.38;14.73691;-7.939472;4.3957543;
3.433597;-0.23968825;0.8597928;-23.46;4.44;-37.079998;13.355156;-1.9871874;-7.1398087;
2.1581106;-0.001450805;0.05100725;-24.6;-3.3;-37.26;18.984224;8.2794485;-11.0734825;
-0.781373;-1.0826823;-0.88239485;-24.779999;-8.46;-36.66;13.067852;15.297153;-5.1214967;
0.5228243;-1.2079097;-1.6239853;-24.539999;-9.84;-35.219997;17.353773;19.051262;14.420576;
2.7158306;-0.48769954;-2.5848763;-25.439999;-13.679999;-33.96;14.315231;15.419257;12.730269;
2.568001;-0.9696722;-3.492011;-22.98;-22.5;-29.34;10.872369;10.051158;8.121431;
1.9363664;-0.52068627;-3.6654968;-18.359999;-29.34;-25.859999;10.740688;5.4231663;10.137349;
2.3658047;-0.2757293;-2.971554;-12.42;-35.579998;-21.6;6.004957;-0.91219085;8.540417;
2.2314143;-0.06620252;-1.7956384;-7.9199996;-39.84;-15.66;1.7118542;-4.783615;3.8762126;
2.781804;-0.47548223;-0.36071593;-3.78;-42.6;-10.679999;-1.0893618;-5.4590793;-2.7485435;
1.7396679;-0.7448738;0.97158116;-3.24;-43.5;-5.22;-0.1340753;-3.6631286;-9.292196;
1.5270867;-2.298915;1.7259997;-6.06;-43.68;0.78;3.1316159;1.4341269;-14.4253645;
0.117820635;-2.8883998;1.7938058;-9.78;-43.14;4.98;5.978621;4.5154643;-14.87338;
-1.1222358;-3.3948073;1.4969252;-12.78;-42.239998;6.54;8.128614;8.123826;-7.202058;
-1.5773305;-3.6959639;0.9275989;-15.48;-40.98;5.4;8.777443;11.466131;-2.7868507;
-2.2657754;-2.933604;0.0021380284;-15.12;-42.12;3.84;4.1826706;9.893141;7.2714896;
-0.83757263;-2.4534638;0.21044308;-15.48;-42.66;2.6399999;-1.2737153;7.664139;14.437336;
0.4928919;-0.8169559;0.68936145;-16.08;-42.239998;1.4399999;-3.8905778;3.4859576;11.391911;
0.80321145;0.35957056;1.3014483;-18.0;-41.64;4.44;-3.6535518;1.0414777;3.845088;
-0.21815525;0.4518112;2.182927;-20.4;-39.719997;4.8599997;-2.291251;-0.7254431;-1.1707647;
-1.3861296;0.74746996;2.5360072;-25.439999;-36.719997;3.72;0.9983821;-1.292869;0.59136784;
-1.8528306;0.2795472;3.2055154;-30.66;-33.18;-0.35999998;6.048053;-0.40462008;2.078167;
-1.235246;-0.055817813;4.5280385;-36.54;-26.4;-3.9599998;9.601048;-0.7254431;5.4949923;
-0.7092909;-0.30260736;4.9910746;-42.059998;-17.46;-6.6;18.8286;2.1332338;3.7062242;
-2.0293708;0.8067239;4.5506406;-46.079998;-6.48;-5.46;21.75192;4.6399627;2.384625;
-2.5773168;0.8317694;3.7271943;-46.98;7.2599998;-8.82;21.617846;6.8285627;8.178892;
-0.7129561;0.24900395;2.4657576;-44.94;17.16;-8.639999;21.048025;9.572318;4.5801077;
-1.284726;0.6869943;0.9324858;-43.2;23.46;-8.16;16.568474;7.762301;4.570531;
-0.6995171;0.19830213;0.45356745;-41.82;26.22;-7.98;13.276148;4.970662;3.821146;
-0.8693376;0.15920675;-0.062002823;-42.36;27.84;-7.9199996;11.298537;2.7605145;3.952827;
-0.45883617;0.19646953;-0.19639318;-41.399998;26.76;-7.56;10.125379;0.9648633;4.606444;
-0.17295122;0.10178542;-0.13530666;-42.239998;27.119999;-7.62;9.86441;0.22026655;3.7110126;
-0.17661642;0.14026994;-0.14630222;-42.0;27.9;-7.14;9.5292225;-0.038307227;3.2561142;
-0.16073392;0.1249983;-0.22693644;-43.02;26.519999;-7.44;9.1629095;-0.50038815;3.8235402;
0.061621033;0.16470455;-0.08277224;-41.76;27.0;-7.3799996;8.468591;-0.92416185;3.9911342;
0.17035505;0.18058704;-0.014966198;-42.0;25.98;-8.22;9.028834;-1.0247183;3.2130187;
-0.048334714;0.14821118;-0.06261369;-40.44;25.859999;-8.28;8.904335;-0.9768343;3.157952;
