gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.25404358;0.33635768;-0.19822577;14.28;19.859999;-41.46;-4.7405195;0.5746084;9.534011;
0.037797287;-0.16882788;0.29168814;14.82;19.5;-41.28;-4.932355;1.151611;8.660127;
0.05551238;-0.11995866;0.55924714;13.32;19.38;-41.82;-4.8338933;2.0135236;8.923489;
0.3169627;-0.17860173;0.37659842;13.92;18.24;-42.3;-5.758354;3.0262709;9.620202;
0.60956717;-0.049098294;0.17134771;14.4;17.64;-42.78;-8.147768;3.514688;8.846874;
0.9357692;0.6149122;-0.112704635;13.44;17.52;-43.559998;-11.269807;2.5785553;6.301838;
0.09827295;1.6741526;0.43401974;15.42;15.42;-43.26;-16.216526;-0.6991069;4.185065;
-1.2266937;2.237981;2.558609;19.74;14.58;-41.219997;-18.601152;-4.7429137;4.9179897;
-2.0574706;1.6967546;5.082704;25.56;14.16;-37.98;-12.943354;-6.6777277;10.889129;
-1.6029868;2.0657172;5.166393;30.96;10.74;-36.0;-5.8206034;-5.92116;13.891458;
-1.0935252;2.021735;3.9165626;35.52;6.18;-32.579998;-1.8722657;-5.0616417;12.380716;
-0.79969895;1.699809;2.9697213;37.739998;1.68;-28.8;0.45489833;-3.5745432;10.671256;
-0.56573755;1.454241;1.6123788;39.96;-2.76;-25.98;2.954445;-2.3989902;9.8715925;
-1.0086149;0.41577014;1.561677;41.219997;-5.4;-23.58;2.791639;-1.5275006;9.318532;
-1.0110583;-0.5200754;0.9306532;40.14;-6.66;-23.4;7.1876926;4.0821137;14.185945;
0.45807257;0.06330091;-1.6349808;38.52;-6.8399997;-24.6;2.1045034;9.675268;15.99626;
0.3542255;-1.4681382;-0.3943135;39.84;-5.58;-24.48;-10.22354;13.352762;14.427759;
1.0280099;-3.0081296;1.6221527;37.86;-4.62;-27.06;-11.197981;16.29793;21.835718;
3.0383673;-2.3795493;1.2177598;33.96;-9.36;-30.9;-8.655338;10.937013;20.1502;
3.6168568;-1.4217125;0.5494733;29.039999;-15.96;-32.34;-11.717523;3.41892;10.364799;
2.4262805;-1.1822534;0.7583892;26.16;-21.96;-29.88;-8.911518;-0.51235914;3.4524388;
1.1440742;-0.16394097;0.97158116;23.58;-26.519999;-28.8;-5.162198;-1.6927006;0.7422025;
-0.328111;-3.0325642;2.8292224;20.52;-30.119999;-27.0;2.2529438;-2.9712043;-1.3192052;
-0.69279754;-3.436957;1.2831224;11.34;-31.679998;-29.34;12.038345;0.19632454;5.0209403;
-0.867505;-0.09735665;-2.4065037;6.7799997;-31.38;-32.52;5.090372;0.6536171;6.014534;
-0.035506543;-3.106479;-0.27275133;9.12;-30.06;-34.14;6.2731075;1.7980455;7.070377;
-0.23342688;-3.3043993;-0.64965516;5.2799997;-28.859999;-35.82;7.939472;2.9257145;7.022493;
-0.19188805;-2.0075324;-2.6074784;1.14;-28.019999;-36.12;5.1693807;2.5187001;5.791873;
-0.4545601;-2.0667863;-3.1609223;2.58;-29.16;-35.76;-1.0079589;4.0078936;5.8277864;
0.2570979;-2.0136409;-2.9898798;4.3199997;-28.14;-35.94;-9.962572;7.3217683;12.009615;
1.4177419;-1.7692949;-0.68936145;5.52;-28.38;-35.94;-15.730504;8.391976;2.9712043;
0.5594762;-0.11873693;-0.2929099;3.8999999;-29.939999;-34.02;-10.458172;8.071154;-0.22266077;
-0.4667774;-0.072922036;1.1224649;3.84;-30.96;-32.7;-7.5755534;5.3680997;-3.845088;
-1.1588877;0.12194397;1.4700472;2.1;-30.0;-33.0;-0.47644615;3.241749;0.11971009;
-1.3867404;0.57092994;0.49510628;-1.0799999;-27.599998;-35.76;1.1372458;0.48123455;-3.265691;
-2.9310079;0.60636014;0.12614368;-0.12;-24.48;-38.64;1.7812861;-0.076614454;2.7341783;
-1.7886899;1.6814829;-1.6557503;1.4399999;-18.48;-40.92;1.0295067;-1.4413095;3.107674;
-3.7324631;1.8824576;-2.2989914;5.46;-14.639999;-43.32;-3.110068;-2.4253263;6.4694324;
-3.6170094;0.5990297;-2.2702806;11.28;-5.4;-44.399998;-6.2635307;-3.0095115;10.824485;
-4.0110173;1.0871111;-2.0845776;13.08;4.68;-45.239998;-7.9658084;-0.08379706;19.230827;
-3.5858552;0.06818783;-1.1078042;15.179999;13.74;-43.62;-11.166856;2.777274;20.775087;
-1.9230802;0.09323331;-0.441961;15.719999;21.06;-40.2;-4.3023806;5.614702;25.57576;
0.009697486;1.7670041;-2.1438315;14.5199995;25.56;-38.76;-5.315427;5.243601;19.238008;
0.478842;0.69860077;-0.9935723;16.5;27.599998;-38.219997;-6.4861917;3.0190883;13.951313;
0.2943607;0.5385541;-0.6569856;15.96;26.939999;-37.98;-4.572925;1.8986019;9.122208;
-0.3207806;0.1530981;-0.07360926;16.26;28.14;-37.62;-5.243601;0.6967127;9.344869;
0.0182496;-0.08819367;0.03145956;16.32;27.24;-37.079998;-3.7780502;0.50038815;9.933842;
0.06467536;0.04680755;-0.06872234;17.46;27.359999;-36.78;-4.7070007;-0.30645782;8.710405;
0.062842764;-0.21708624;0.04184427;16.14;26.88;-37.8;-4.956297;-0.48123455;9.737517;
0.21128301;-0.17921259;0.16462818;15.96;27.18;-37.44;-5.0712185;-0.82599956;9.091084;
