gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.03611741;-0.14194982;0.37048978;18.119999;-4.7999997;-38.52;-6.5915365;5.2268414;5.016152;
0.21128301;-0.6923394;0.7113526;18.539999;-4.7999997;-39.899998;-7.805397;5.492598;5.741595;
0.2851977;-0.18471038;1.0051788;17.64;-4.98;-40.739998;-7.3121915;5.743989;5.6410384;
1.3517684;-0.89209235;0.46578476;15.42;-7.62;-40.8;-4.9012303;5.3896475;5.5093575;
0.99257964;-0.58910316;-0.28924468;12.12;-11.88;-41.16;-9.356839;3.2872388;3.53863;
-1.1918745;1.4481324;0.16218472;11.58;-15.66;-41.52;-13.8603325;3.3135753;-0.11252748;
-0.6903541;2.460947;1.2886202;13.38;-14.82;-41.34;-18.665794;0.6727707;6.2228293;
-1.2676218;3.313104;3.2226195;18.42;-13.98;-39.84;-16.52538;0.01436521;10.436625;
-1.6255888;4.5201735;3.5323284;22.26;-15.0;-35.52;-8.78702;1.2401965;14.957176;
-1.3287083;3.7773616;3.3765576;25.98;-16.32;-31.859999;-1.0941502;3.2609026;17.468695;
-0.74899715;3.0602057;2.3588562;27.779999;-20.699999;-26.46;7.0200987;2.9520507;12.026375;
-0.27252227;1.6802613;0.81397796;29.58;-23.939999;-23.4;8.796597;4.7285485;10.398317;
-0.2841287;0.6650032;0.54153204;29.939999;-24.3;-20.279999;4.6950297;6.28029;7.501333;
-0.12896892;-0.3930154;0.92271197;30.48;-24.96;-20.52;3.3877954;14.097359;7.451055;
0.27175868;-0.51335585;0.3998113;29.099998;-27.119999;-21.539999;-2.528277;21.795017;5.480627;
1.4495069;-0.75281507;1.6667458;27.06;-28.199999;-21.359999;-5.2028995;23.530813;8.277055;
2.4653757;-0.6288094;1.7119498;23.699999;-32.46;-20.46;-5.89243;19.472641;7.5635824;
2.6162596;-0.32032245;1.0577132;21.9;-36.42;-18.06;-7.688081;13.1277075;7.190087;
2.3596961;0.03153592;1.0833695;18.96;-39.899998;-12.42;-7.5156984;5.44232;6.1270614;
1.8099173;0.2691625;1.0283916;16.32;-41.579998;-6.96;-6.6873045;0.85473;4.7788267;
1.3523793;-0.35147658;2.53112;13.08;-43.68;-3.84;1.553837;-0.28491;1.745373;
0.98402756;-0.6892851;1.6392568;8.46;-45.84;0.71999997;6.064812;0.29688102;-2.2457612;
0.38721222;-0.94523764;0.7742717;5.58;-46.98;0.65999997;4.185065;2.96881;-0.44532153;
-0.124692865;-0.7552585;0.8585711;2.82;-47.399998;1.26;5.2268414;4.5633483;-0.035913024;
-0.41424298;-1.1773664;0.52015173;-0.06;-47.94;0.65999997;9.787796;5.7751136;-0.1364695;
-0.9041569;-1.9171243;0.20555615;-0.29999998;-48.0;-0.29999998;11.798925;6.7950435;1.1971009;
-0.90904385;-2.9665906;0.33322698;-0.06;-48.059998;-1.9799999;11.743858;8.660127;3.2585084;
-0.9347002;-3.6715293;-0.1908954;-1.38;-47.76;-5.8199997;7.549217;10.910676;5.444714;
-0.21510093;-4.2127557;-0.14446963;-0.53999996;-48.18;-7.3199997;-1.1324574;11.688792;6.6537857;
-0.32322407;-3.4479525;0.6435465;-3.1799998;-47.64;-8.099999;-11.791742;12.679992;3.8666358;
0.20945042;-2.4717898;0.97097033;-5.2799997;-47.399998;-8.5199995;-9.349657;11.8779335;-0.94810385;
-0.0538325;-1.0350348;-0.15851954;-7.56;-47.76;-8.639999;-7.982568;8.945037;-3.7421372;
-0.09659307;-0.48769954;0.7150178;-8.16;-47.039997;-7.74;-5.8900356;5.777508;-4.378995;
-0.38125628;0.11766792;0.20922135;-10.26;-46.44;-6.2999997;-2.3343468;2.5474305;-2.96881;
-0.8394052;0.35162932;0.1518;-11.7;-46.379997;-7.62;-1.5801731;-1.1252748;-1.910573;
-1.4539356;0.5745951;-0.17195857;-11.5199995;-45.78;-9.66;-0.23463176;-2.4636335;-1.496376;
-2.7886763;1.0101421;-0.6478226;-9.42;-44.34;-13.92;-1.9967642;-3.071761;-0.25139117;
-3.746513;0.35468364;0.07238753;-7.8599997;-41.7;-21.119999;-0.51714754;-0.11492168;4.7788267;
-4.417854;0.99914646;-1.2055426;-7.5;-35.82;-30.24;0.24181437;5.303456;11.068694;
-4.665865;0.20379992;-1.063211;-3.24;-28.5;-37.5;0.19393034;11.796531;16.953941;
-3.6200638;0.44997862;-2.395508;-2.34;-19.8;-42.96;-1.541866;14.566623;19.123087;
-2.6347382;0.10178542;-1.724778;0.35999998;-11.5199995;-45.899998;-5.6410384;14.399028;18.364126;
-1.8338938;0.049861874;-0.40591997;1.26;-6.72;-47.16;-2.4899697;13.30009;13.980043;
-1.0703123;0.14026994;-0.75533485;1.5;-2.6399999;-47.219997;-0.58657944;10.647314;11.686398;
-0.43989933;0.021762075;-0.981355;2.28;0.65999997;-47.1;-1.4891934;7.726388;10.1900215;
-0.36170858;0.17508925;-0.7174612;2.58;2.1;-47.46;-4.3143516;5.5356936;9.028834;
-0.26519188;-0.087582804;0.16157386;2.46;2.6399999;-47.579998;-2.5354595;5.346552;9.469367;
-0.070936725;0.1549307;-0.23793201;2.22;4.02;-46.559998;-2.4492683;4.910807;10.020034;
0.11110111;0.18425223;-0.109650314;1.92;3.8999999;-47.16;-3.2130187;3.9312792;9.572318;
0.16241379;0.2551126;0.12370021;4.02;3.24;-47.52;-2.267309;3.7900212;9.593865;
