gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.08933904;-0.3378085;0.07078401;-22.26;-14.759999;-31.32;4.06296;3.1292217;8.430284;
0.032223143;-0.005497787;0.07261661;-21.9;-15.12;-32.04;4.2185836;2.9592333;8.600272;
-0.2322815;-0.8356637;-0.05749769;-22.68;-15.36;-31.859999;3.2704794;3.3255463;7.668927;
0.13607024;-1.382388;0.06345363;-24.0;-14.88;-30.179998;2.5354595;2.243367;13.948918;
1.2282972;-0.64812803;-0.6359871;-26.4;-17.94;-27.779999;-5.9474964;-0.06703765;14.818313;
2.1097758;0.73792523;1.7445548;-31.98;-22.859999;-26.22;-0.6943185;-2.6048915;20.849306;
3.160464;2.4685066;2.6651287;-35.04;-21.779999;-25.74;1.5705963;-4.027047;19.228432;
4.2197046;2.8533516;2.7475955;-36.12;-19.08;-29.099998;8.731953;-3.028665;16.870144;
3.885561;3.9968913;2.4317782;-35.579998;-19.38;-33.96;15.974712;-1.8962077;9.45979;
3.6809213;3.277292;2.2472968;-31.32;-22.32;-39.84;14.657602;-3.3542767;2.0254946;
1.9069686;1.7959439;1.9681314;-26.519999;-25.8;-42.78;15.136742;1.496376;-5.6410384;
0.21609358;1.0458013;0.89423037;-25.08;-27.779999;-43.92;12.213122;3.9719806;-1.3239936;
0.31566462;0.17592919;0.33589953;-23.58;-28.26;-45.18;9.196428;6.320992;0.40940848;
-0.3501785;-0.5174029;-0.17600554;-23.76;-28.32;-46.2;8.5260515;12.617743;1.9440918;
0.27656925;-0.9773844;-0.9817368;-23.279999;-27.779999;-45.719997;7.5779476;21.069574;7.996933;
1.487915;-0.9437868;-1.9346865;-24.359999;-29.519999;-44.34;9.119814;25.630827;12.227488;
2.6919305;-0.70554936;-3.111824;-22.5;-35.46;-40.44;11.794137;21.45025;14.118907;
3.1415272;-0.6401868;-3.963981;-17.94;-41.82;-34.68;11.674427;12.349591;16.084846;
3.3156238;-0.09773844;-3.88579;-12.12;-48.96;-28.439999;8.937854;1.7525556;12.4429655;
2.2942572;0.2443461;-2.6683357;-3.36;-53.76;-22.02;1.9512744;-7.609072;7.0320697;
2.8812985;0.008552114;-1.3152692;2.28;-56.219997;-16.14;-0.22505496;-10.427048;-1.7788919;
1.4414892;-0.5729916;0.66271245;4.92;-57.48;-9.9;-2.1380222;-7.4534492;-7.2714896;
1.4982997;-1.6969837;1.4592807;3.4199998;-57.48;-6.3599997;0.60573304;0.40462008;-10.041581;
1.1195632;-2.4452937;1.9473621;-0.12;-58.859997;-2.6399999;4.661511;7.5156984;-11.336844;
0.6931793;-3.3426547;1.679803;-3.36;-58.02;0.0;6.6274495;12.081441;-11.080665;
-0.42348233;-4.1318927;0.6889796;-5.94;-56.399998;2.6399999;8.921095;14.437336;-7.838916;
-1.1162035;-4.3285913;0.15630515;-6.18;-56.28;3.12;7.266701;12.476484;0.6919243;
-0.98547834;-3.8655553;-0.56634843;-3.78;-57.48;0.0;-0.1316811;7.4582376;11.45416;
-0.21700987;-2.8674014;-0.110032104;-0.96;-57.3;-1.1999999;-5.4495025;6.107908;17.052103;
0.41706824;-0.79473567;0.1043816;-0.12;-57.36;-1.0799999;-7.0272813;4.6950297;14.940417;
0.9222538;0.52778757;0.69386655;-0.12;-56.699997;-0.42;-5.952285;2.2840683;8.717587;
0.10797043;1.0781772;0.9693668;-2.46;-56.94;1.9799999;-3.6631286;-1.1061212;-0.4141969;
-0.33735034;0.79351395;1.9827923;-5.1;-56.1;1.5;-1.0582372;-3.2704794;-0.08379706;
-0.80832744;0.7666359;2.7946322;-11.34;-54.96;1.1999999;2.1308396;-3.8235402;0.94810385;
-1.8266398;0.43127087;3.8190532;-18.24;-52.5;-1.3199999;5.4734445;-4.1491513;1.4820108;
-2.1094704;-0.111177474;5.0230684;-26.039999;-47.1;-5.58;10.582671;-2.111686;4.259285;
-1.4931073;-0.6621779;5.8611755;-34.62;-40.079998;-8.099999;20.028095;8.705617;10.254665;
-0.56337047;0.09040806;3.9076285;-41.1;-29.939999;-7.68;26.547806;22.716784;3.0430303;
-2.822961;0.5662721;1.6101644;-41.04;-22.619999;-7.2599998;21.799805;20.825365;6.6274495;
-1.6183348;0.41416663;0.30963233;-40.86;-18.9;-9.42;12.430994;12.720693;8.107066;
-0.5554292;0.21197024;0.2906955;-41.579998;-19.32;-11.34;10.230723;9.850045;3.2225955;
-0.2237294;0.044593163;0.102549;-42.12;-18.359999;-12.059999;8.590695;6.728006;4.548983;
-0.2359467;-0.02443461;-0.20227276;-42.059998;-18.6;-12.84;9.02644;5.3992243;4.144363;
-0.25671613;0.17531833;-0.16256651;-41.7;-18.48;-13.799999;7.568371;3.6511576;4.956297;
0.07620544;-0.14721853;-0.2083814;-41.46;-19.439999;-14.04;8.229171;3.9025488;3.8498764;
-0.2750421;0.04520403;-0.15829046;-40.8;-19.74;-14.639999;8.011298;3.6056678;4.733337;
-0.20234911;0.09162979;-0.22731823;-41.34;-19.619999;-14.4;7.8868;3.5529952;4.2281604;
-0.101556346;0.2773328;-0.20044015;-40.8;-20.039999;-15.54;8.01848;3.5290532;5.293879;
0.064599;0.09285152;0.008475755;-40.2;-20.4;-15.36;7.7192054;3.4620156;4.783615;
-0.13087788;0.16187929;-0.111253835;-40.8;-20.58;-15.059999;8.36564;3.8283286;4.134786;
