gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14103352;0.035353824;-0.05337435;-19.38;14.4;-38.46;4.898836;0.32561144;7.5635824;
0.015958855;0.04512767;-0.02405282;-19.439999;14.639999;-39.899998;5.2292356;0.5363012;10.065523;
0.11614075;-0.17295122;-0.03443753;-19.199999;14.28;-39.059998;3.1172507;0.78050977;10.436625;
0.5052619;-0.5425247;0.15370896;-19.619999;13.32;-40.8;2.4708161;-0.51235914;13.8842745;
1.3916274;-0.0061850105;0.38033998;-19.56;9.179999;-41.1;-4.6160207;-3.9312792;17.207726;
2.6072493;2.0353267;2.5782332;-19.98;0.0;-45.239998;-2.3918076;-5.6194906;17.665018;
2.4820218;2.81418;2.6356544;-16.859999;-6.7799997;-45.66;0.18435353;-6.194099;15.713744;
2.3653467;2.9687288;3.145727;-13.799999;-13.0199995;-43.32;3.6343982;-8.779837;17.408838;
2.5137868;2.7915778;3.4138968;-13.32;-17.34;-40.68;4.9179897;-11.176433;12.426206;
1.8571067;2.295555;4.0528617;-13.5;-20.64;-38.16;10.575488;-8.662521;12.28016;
2.1570415;2.2491295;3.4523814;-15.42;-18.9;-37.68;11.593024;-5.2005053;7.0536175;
1.9640081;1.5930603;2.7785969;-17.46;-19.56;-37.559998;13.486837;-1.5729905;6.9722147;
1.1875983;1.8710039;1.6381115;-17.58;-20.34;-37.559998;11.561899;1.0845734;-0.8714894;
0.43073636;-0.04344779;1.055957;-17.039999;-21.119999;-38.76;10.711958;4.232949;0.021547815;
-0.08361218;-0.931035;0.32597297;-17.22;-20.16;-37.739998;10.326491;8.437466;3.8594532;
-0.9015607;-1.0086149;-1.1865294;-19.56;-20.279999;-37.5;15.900492;18.088793;11.178827;
0.09048442;-1.3616949;-2.6880362;-19.14;-20.1;-36.84;8.415918;18.038515;20.16217;
3.6457202;-2.5602126;-1.8224401;-18.06;-22.8;-35.52;11.360786;17.86613;20.205267;
3.021416;-2.9096274;-3.3667073;-19.98;-29.699999;-29.88;13.901034;14.63366;19.300259;
2.880306;-2.1002312;-4.4754276;-17.16;-38.46;-22.32;8.277055;4.6375685;25.515905;
5.0219994;-2.8460975;-3.2249868;-5.94;-45.719997;-10.62;1.4676456;-2.908955;18.807053;
3.111824;-2.1301634;-2.4418576;0.24;-46.14;-0.24;-0.60573304;-3.4644098;12.414235;
2.3659575;-1.3549755;-2.1657465;7.74;-44.28;9.48;-4.879383;-7.738359;9.033623;
2.5058455;-1.2095896;-0.59154665;12.78;-41.94;14.94;-6.6609683;-7.2571244;-0.7733272;
1.1326206;-0.736169;0.31497738;16.26;-40.2;19.68;-6.974609;-5.243601;-3.7828386;
0.6903541;-0.672639;0.71448326;16.02;-37.92;21.42;-5.406407;-2.834735;-5.150227;
0.020845776;-0.67752594;1.3497831;15.599999;-38.399998;22.859999;-4.0677485;-1.5801731;-5.662586;
-0.6278931;-0.5235879;1.477454;13.679999;-38.64;21.9;-1.7764976;-1.7310078;-6.2755017;
-1.6761379;-0.80336416;1.6393332;10.98;-40.02;20.64;1.5298948;-2.1883004;-4.9155955;
-2.269288;-1.3873513;1.9435441;8.82;-41.52;16.44;2.815581;-3.3758245;-0.7422025;
-3.6687803;-0.5645158;1.9178878;5.3399997;-43.2;10.86;6.4981627;-3.0550013;0.1316811;
-4.173355;-1.4423292;2.5629616;1.26;-45.239998;2.22;9.656115;-4.675876;5.2412066;
-5.4677787;-2.626797;2.9759064;-5.1;-45.059998;-7.5;15.402498;-3.1723173;13.848362;
-4.294917;-2.7544677;2.7840948;-14.639999;-41.16;-21.6;19.185337;3.41892;22.067955;
-5.090264;-2.5614343;2.0296762;-23.88;-34.02;-33.6;18.847754;6.5316815;24.80004;
-3.3999996;-1.6194801;1.3125204;-30.48;-15.839999;-45.059998;12.87871;7.903559;23.97374;
-2.2118666;-0.69768447;0.6625597;-31.38;1.56;-40.559998;10.472537;6.790255;20.542849;
-0.9027825;-0.24136813;0.2813798;-30.179998;5.7599998;-33.84;8.5978775;5.552453;13.094189;
-0.9565386;0.23205243;-0.24090998;-31.5;6.06;-30.3;7.3576813;3.9791632;9.292196;
-0.687147;0.0011453723;-0.3551418;-30.599998;6.7799997;-30.3;6.9602437;1.079785;8.990526;
-0.034742963;-0.076434515;-0.1297325;-30.539999;6.54;-28.8;7.1876926;-0.019153614;8.521263;
0.0061850105;0.03596469;-0.025885414;-31.32;6.8399997;-29.76;7.58513;-0.2801216;6.464644;
0.04100433;-0.01656972;0.02359467;-31.14;6.0;-29.82;7.628226;-0.58418524;6.4454904;
0.23098342;0.056123246;0.08773552;-31.439999;5.8199997;-29.16;7.513304;-0.6895301;6.3880296;
0.28351784;-0.034895677;0.07612908;-31.08;5.2799997;-30.3;7.4414783;-0.7302315;6.024111;
0.082543164;0.13370313;0.0077121737;-30.599998;6.12;-30.48;7.664139;-0.7350199;6.196493;
0.15340354;0.12270755;0.13171782;-31.08;6.2999997;-30.72;7.288249;-0.81163436;5.9858036;
0.19738583;0.04268421;0.26061037;-30.599998;5.8199997;-31.019999;7.520487;-1.0486604;7.010522;
0.2578615;0.08788824;0.23189972;-30.66;5.94;-30.66;7.7551184;-0.17477672;5.624279;
0.045280386;-0.098425664;0.0077121737;-30.779999;6.42;-30.779999;7.3265567;-0.9959879;6.452673;
