gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.07582365;0.2935971;-0.3827071;18.539999;-11.88;-40.62;-4.7524905;5.4111953;3.4739866;
-0.23770294;0.17814358;-0.160963;20.22;-11.34;-41.04;-6.5460467;5.052065;4.6351743;
-0.14851661;-0.30810517;0.54153204;19.859999;-11.4;-41.46;-7.0272813;5.3250036;5.1334677;
-0.27924177;0.08407033;0.4120286;19.5;-10.74;-42.0;-6.5173163;5.222053;5.382465;
-0.23892467;0.24167356;0.29046643;19.74;-10.26;-41.879997;-7.6593504;4.656722;4.2760444;
-0.15890132;0.05719226;0.26358834;19.619999;-10.26;-41.399998;-9.773431;4.0821137;4.343082;
-0.32322407;0.3253621;0.3032946;18.9;-10.5;-41.46;-17.925987;2.681506;2.7030537;
-0.8827766;2.7859273;0.81214535;19.619999;-10.559999;-40.8;-19.19252;1.1971009;3.655946;
-1.4582117;3.7315466;1.8481728;24.42;-11.219999;-38.579998;-16.633118;-0.33518824;5.9977746;
-2.0806835;4.356462;2.2317963;30.359999;-10.38;-34.2;-14.756063;-0.25139117;12.138902;
-2.0843487;4.5971427;2.7821858;36.3;-10.98;-28.74;-10.745477;-1.0606314;14.741698;
-2.2297344;4.4267116;2.7119362;38.94;-13.679999;-22.32;-7.3385277;-1.0893618;15.83106;
-1.7208837;4.1689262;2.1029036;41.76;-17.039999;-15.299999;-0.06703765;3.7565024;16.558897;
-0.39652792;3.276452;-0.09132435;42.059998;-19.38;-9.48;2.4540567;6.8141975;13.144466;
-0.1540144;2.460947;-1.3374895;43.62;-19.38;-3.3;1.8267759;5.942708;8.011298;
-0.5199227;1.205619;-0.65209866;45.36;-17.82;1.5;-2.4133554;5.6434326;4.7907977;
-0.6665303;-0.44982588;1.4217888;45.059998;-15.24;3.06;-2.0685902;9.466972;6.7830725;
0.013362677;-1.3496304;1.1902709;44.76;-19.199999;2.1599998;1.5897499;17.250822;8.150162;
1.1300243;-1.7350863;0.61911196;43.26;-20.039999;-0.9;-7.9777794;21.519684;9.5292225;
2.0127246;-2.6587145;2.9727757;42.6;-22.619999;-2.3999999;-11.45416;20.67932;6.3377514;
2.514245;-2.57075;2.8561006;38.879997;-29.519999;-5.22;-10.501268;16.273987;8.102278;
2.985222;-2.099162;2.3331997;32.579998;-33.96;-4.74;-10.393529;10.034399;4.6926355;
2.1837668;-2.1749094;2.3839016;27.96;-38.219997;-3.3;-7.9418664;5.0233345;0.7685388;
1.5044848;-1.4962381;1.7547104;22.68;-41.52;-0.48;-4.9754505;1.5658079;-0.6631939;
-0.78809255;-2.1510856;1.951409;19.74;-44.46;1.02;-4.4364557;-0.7182605;-4.699818;
0.26503915;-1.8878027;1.765706;15.299999;-46.14;-3.0;-2.087744;0.7637503;0.7733272;
-0.14546229;-1.4962381;1.416902;11.34;-47.039997;-3.24;0.8619126;1.2473791;-2.633622;
-0.57001364;-0.5292384;-0.2049453;8.7;-47.879997;-4.2;2.8538885;2.219425;-1.4820108;
-0.28290698;-0.17615826;-0.59589905;7.68;-47.82;-6.24;1.9033904;1.7046716;-1.9919758;
-0.62804586;-0.5066364;-0.5012149;9.599999;-46.5;-7.08;3.8187518;1.6089035;-1.9919758;
-1.0727557;-0.5811619;-0.70280045;10.8;-46.079998;-7.56;2.6503813;1.3814543;-0.7589619;
-2.0116556;-0.8456666;-0.79320854;12.059999;-45.12;-11.4;2.291251;2.753332;1.3239936;
-2.6286294;-1.4162147;-0.34605515;13.2;-42.899998;-16.199999;1.6927006;2.6264393;3.9145198;
-2.2211823;-1.542053;-0.91538155;13.08;-38.46;-22.32;2.6431987;4.321534;7.7790604;
-2.662838;-2.0111976;-2.317928;11.58;-36.059998;-27.779999;-4.426879;4.759673;8.492533;
-2.857704;-1.9397262;-2.25562;12.36;-30.179998;-33.059998;-8.01848;8.624214;11.868357;
-2.8332694;-0.7241044;-2.341141;12.599999;-22.38;-38.34;-11.571476;9.924265;12.000038;
-2.1710916;-0.62819856;-1.9538525;13.259999;-15.299999;-41.82;-11.731888;12.4286;13.30009;
-1.0556515;-0.26106852;-1.3087788;13.5;-9.78;-43.98;-7.5564;13.8124485;12.732664;
-0.25541803;0.0016035213;-1.2959507;14.639999;-7.74;-44.64;-6.0336876;11.626543;9.857227;
0.29130638;-0.10102184;-1.2342533;15.54;-6.0;-44.34;-5.329792;10.027216;9.514857;
0.45135304;0.02603813;-0.9728029;16.5;-7.14;-43.86;-5.7751136;7.6952634;7.058406;
0.2308307;-0.2512947;-0.26542094;15.24;-6.2999997;-43.739998;-5.11192;6.5891423;6.9339075;
0.5087744;-0.30871603;-0.28130344;14.82;-7.02;-43.98;-3.4883518;6.5580177;8.300997;
0.39332086;-0.107741356;-0.63071835;15.839999;-8.22;-44.219997;-4.2185836;5.574001;6.524499;
0.71158165;-0.19020817;-0.35155296;15.78;-9.599999;-44.94;-5.0807953;5.303456;7.1110783;
0.10682506;0.19646953;-0.43096542;15.78;-9.84;-44.399998;-4.630386;5.099949;5.585972;
0.24426974;0.14210252;-0.44073927;16.02;-10.62;-43.14;-4.4101195;5.540482;6.8357453;
-0.06421721;0.6417903;-1.1707232;16.92;-10.0199995;-43.079998;-4.1276035;5.3130326;6.134244;
0.090331696;1.0486265;-1.2281445;18.3;-9.3;-42.54;-5.550059;4.7381253;7.3457103;
