gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.2612976;0.32620203;0.1905136;-40.739998;-6.72;-31.679998;6.2467713;3.6535518;4.63278;
0.6400341;-0.2144137;0.5448154;-40.44;-6.66;-32.16;7.2978263;4.584896;3.667917;
0.049938235;0.023823744;0.07933612;-40.2;-5.94;-32.7;8.698434;5.75596;5.1765633;
-0.3837761;0.7654142;-0.07582365;-40.379997;-6.72;-32.04;4.283227;4.675876;13.247417;
0.7903069;1.4135422;-0.16012305;-39.96;-6.2999997;-33.719997;2.44448;5.1310735;20.3154;
1.8293887;3.4483342;0.49044845;-36.84;-8.34;-36.719997;3.5075054;2.7509377;20.97141;
2.9014573;4.120897;1.1984413;-31.08;-12.3;-39.899998;6.407183;-1.4748282;21.19886;
4.113414;4.687169;1.8117499;-25.68;-16.44;-42.66;15.476718;-1.520318;14.997878;
3.6790886;5.004819;1.9259818;-15.42;-23.46;-43.92;16.903662;-4.7165775;8.061577;
4.5959973;3.4019086;1.8435149;-8.099999;-30.72;-38.28;20.351313;-3.277662;-1.7884687;
1.2460123;2.0690005;0.8814022;-5.58;-36.54;-29.88;14.46846;0.8643068;-9.541193;
0.6229298;1.2528846;0.30657798;-4.5;-37.32;-26.76;14.430153;3.4739866;-3.8235402;
0.9253081;-0.25167647;0.23510677;-4.8599997;-38.879997;-25.199999;10.527604;8.085519;-9.907506;
-0.6391178;-1.106277;-0.16500998;-4.5;-39.6;-23.64;15.550939;22.199636;-9.014469;
-0.6073528;-2.1887302;-1.6408604;-4.5;-38.76;-25.14;18.692131;27.369017;7.3935943;
0.9295842;-2.6218336;-3.7239108;-2.6399999;-39.96;-25.019999;17.104776;20.590733;12.574647;
2.1568124;-2.8044822;-4.6176066;2.76;-39.42;-23.46;13.644855;11.320085;14.741698;
3.0889928;-2.9981265;-4.8393507;8.88;-38.579998;-19.38;11.092636;4.7500963;12.050317;
0.46105054;-2.107485;-4.403193;18.48;-38.399998;-17.1;1.4437037;-6.7950435;10.017639;
1.3828462;-1.4446963;-1.9359083;26.039999;-35.399998;-16.98;-3.3375173;-11.502045;10.575488;
2.467743;-0.24678956;-0.2083814;28.32;-35.34;-17.46;-5.042488;-8.6936455;3.5553896;
1.9949331;-0.1337795;0.8966738;29.279999;-37.02;-13.32;-3.7253778;-5.0496707;-3.1914709;
0.7872526;-0.258396;1.7152332;26.519999;-39.18;-9.54;-1.6687586;-3.9935284;-5.2531776;
0.55756724;-0.960891;2.0341048;23.1;-40.92;-8.46;2.0757728;-2.2481554;-2.789245;
-1.2542591;-0.7495316;2.3120487;18.0;-42.66;-8.4;5.454291;-0.79248077;-2.6982653;
-2.033723;-1.2565498;2.8929815;12.42;-43.98;-11.46;4.280833;-2.980781;1.0007763;
-2.2310326;-2.1355848;5.247867;5.2799997;-43.14;-16.14;7.793426;-2.3175871;2.3295584;
-2.6305385;-2.3414464;6.9778376;-9.599999;-42.719997;-21.66;17.246033;4.3526587;4.8027687;
-3.186426;-2.1636846;5.7799306;-25.14;-35.04;-25.26;26.832716;14.97633;8.506898;
-2.1693351;-1.5228871;3.919235;-38.76;-23.22;-27.06;24.337658;18.950705;19.472641;
0.6113234;-0.10323623;2.3432028;-44.76;-10.2;-27.539999;17.099987;18.203714;9.215582;
-0.9616546;-0.24129178;0.7708356;-43.92;-3.84;-25.98;12.014403;14.48522;0.62728083;
-1.5309811;0.007941248;-0.13202325;-42.78;-0.29999998;-25.859999;10.216358;8.966584;5.1765633;
-0.3220787;-0.0061086523;-0.38797578;-43.02;0.53999996;-26.279999;9.531616;6.095937;3.6966474;
-0.40759984;0.069027774;-0.54680073;-42.899998;0.12;-25.26;8.736741;4.596867;1.2904748;
-0.41370848;0.076358154;-0.46983173;-42.66;-0.78;-25.08;8.190864;3.0095115;1.8938135;
-0.1253801;0.03848451;-0.10086913;-42.84;-0.84;-26.4;8.178892;2.1571758;2.3415294;
0.19898935;0.021991149;0.22288945;-42.42;-1.62;-25.619999;9.605837;2.7126305;2.0087352;
0.06154467;0.012217305;0.29313895;-43.079998;-0.84;-26.46;9.189245;2.9640217;1.532289;
-0.0056505036;0.031154128;0.274813;-42.54;-0.84;-25.68;9.653721;2.9712043;2.0566192;
-0.05024367;0.0012217305;0.16607898;-42.18;-0.59999996;-26.4;9.917083;3.2249897;2.2625206;
-0.07040222;0.004276057;0.08422305;-42.0;0.65999997;-25.68;9.371204;3.1986535;2.1092918;
-0.11255192;0.124005646;-0.1259146;-42.239998;0.71999997;-26.46;10.565911;4.256891;2.8562827;
0.1348485;0.15699236;-0.20410535;-42.48;0.96;-25.92;8.779837;3.1507695;2.585738;
0.04016439;0.13316862;-0.07765625;-42.3;0.24;-26.82;8.315362;2.9113493;1.7669208;
0.11652254;0.01282817;0.023747386;-42.96;-0.06;-26.519999;8.674492;2.9161377;2.243367;
0.2576324;0.10140363;0.19540052;-42.66;-0.29999998;-26.82;9.0432;2.7605145;2.8323407;
0.6113234;0.19792034;0.27236953;-42.96;-0.84;-27.359999;9.586683;3.071761;3.1747115;
0.798859;0.05009095;0.1288162;-41.82;-0.84;-27.06;9.5531645;3.0334535;2.1811178;
0.54290646;0.028099801;-0.03428481;-42.78;-1.1999999;-27.06;9.696816;3.1651347;1.1013328;
