gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.027565295;0.13492486;-0.14805846;-1.8;-14.58;-36.899998;-1.0342951;4.4556093;9.289802;
0.08620836;-0.0019089539;0.07551821;-1.26;-13.5;-37.8;-0.62249243;4.6375685;8.825327;
-0.006032294;0.2680935;-0.12301299;-1.26;-14.88;-37.559998;-1.1492168;4.994604;8.784625;
0.2224313;0.14775303;0.18364136;-0.65999997;-15.0;-38.219997;-3.7181952;6.13185;9.668086;
0.32872185;0.5961281;0.13965906;0.29999998;-15.0;-38.82;-6.9434843;7.0991073;9.627384;
0.7447211;0.94248873;0.9007972;0.9;-17.16;-39.42;-10.594642;7.000945;8.004115;
0.65797824;1.7335593;1.6710982;2.9399998;-20.939999;-40.44;-12.972084;4.9491143;8.107066;
0.38736492;2.523408;2.7517188;6.72;-23.82;-41.879997;-12.459725;2.9257145;10.625767;
0.43745586;3.0573041;3.1212924;10.86;-28.5;-38.399998;-9.873987;1.7764976;11.734282;
0.53336173;3.3376913;3.3247104;11.82;-31.08;-30.179998;-8.418312;0.46686932;12.828432;
0.28535044;3.117169;3.825009;6.54;-32.28;-20.76;-4.9155955;-0.7661445;14.32002;
0.1735621;2.7194958;3.0614276;-0.06;-31.5;-17.58;3.323152;0.29448682;13.707104;
0.55413115;2.2760077;1.8946749;-5.4;-30.06;-17.58;4.980239;0.055066638;11.195586;
0.27435485;1.6779705;1.0199159;-6.8399997;-29.16;-16.74;6.1677628;1.0079589;9.474155;
0.121638544;1.1489612;0.7419722;-7.8599997;-28.619999;-16.199999;5.5356936;2.1092918;8.791808;
-0.12698361;0.34811684;1.0461831;-8.099999;-27.599998;-17.46;6.8860235;3.8235402;6.962638;
-0.32307136;-0.018402316;-0.08269588;-10.0199995;-26.82;-17.94;7.4797854;6.7304;7.642591;
-0.13492486;-0.7569384;-0.43455425;-9.66;-27.72;-18.72;6.1869164;11.248259;8.451831;
0.29084823;-1.420338;-0.1559997;-9.54;-27.779999;-18.539999;7.364864;18.641853;13.455713;
1.8088484;-2.200413;-0.038713586;-11.58;-27.84;-16.92;3.359065;18.81663;14.938023;
2.2932644;-3.079448;0.67599875;-13.38;-30.359999;-12.179999;2.087744;17.001825;13.003209;
2.2792146;-3.2352188;0.2868776;-17.52;-31.8;-4.92;0.9624691;13.307272;13.460502;
2.558991;-3.2584317;0.6118579;-20.22;-32.28;2.28;-4.5633483;9.996092;10.920253;
2.373288;-3.0018682;0.94539034;-21.66;-32.16;12.12;-4.225766;8.023269;8.633791;
1.9224693;-2.3482423;0.2691625;-21.42;-29.34;20.22;-3.8067808;4.522647;5.054459;
1.3201561;-1.6188693;0.030925052;-20.52;-26.939999;26.16;-6.268319;0.7302315;0.9911995;
1.1723268;-1.3922383;0.73403096;-18.359999;-26.88;30.84;-3.857059;-1.5753847;-1.946486;
0.14301883;-1.1747702;0.5471062;-18.0;-24.84;32.94;-0.33039984;-0.28491;-4.793192;
0.06971499;-0.8436813;0.489074;-16.56;-24.24;35.04;-0.92655605;0.9959879;-4.9850273;
-0.45501825;-0.2505311;-0.21586451;-16.26;-24.9;34.5;1.9919758;1.6136919;-4.1635165;
-0.72379893;0.09155343;-0.4828126;-15.12;-24.9;34.38;0.5722142;0.4333505;-3.2034419;
-1.0322859;-0.17905988;0.004046982;-15.719999;-25.56;33.42;1.532289;-0.61291564;-4.606444;
-2.0237203;-0.28840476;0.26794076;-14.94;-28.08;31.5;2.6264393;0.19871874;-1.4508862;
-2.5722773;-0.44784057;0.5629887;-15.24;-29.22;27.06;3.7373488;0.89303726;2.4612393;
-3.0096567;0.48006374;-0.9739483;-14.94;-32.04;22.38;3.9097314;2.336741;4.331111;
-3.307759;-0.13629931;-1.9476675;-13.38;-33.48;15.66;2.3942018;3.8762126;10.671256;
-3.4317646;-0.5791766;-1.079628;-10.139999;-35.88;7.44;-3.4979286;7.0033393;10.623372;
-3.775071;-0.4197408;-1.5225053;-6.2999997;-37.32;-2.46;-1.2378023;10.235512;13.77893;
-3.3822844;-0.72578424;-1.7680731;-4.62;-37.38;-11.639999;-0.19632454;13.843574;16.877327;
-2.5356252;-0.76671225;-1.4907403;-3.6;-34.68;-25.92;-4.7668557;15.024214;17.746422;
-1.5674039;-0.3946953;-1.2573898;-3.9599998;-30.48;-34.68;-4.417302;13.893851;13.268965;
-0.610178;-0.31650457;-0.10407617;-3.48;-23.88;-40.379997;-4.5753193;10.731112;11.650485;
-0.6688211;-0.31283936;0.029092457;-3.8999999;-19.92;-39.96;-0.6607997;9.352051;9.972149;
-0.29680416;-0.05627596;-0.38812852;-5.46;-16.68;-41.34;0.1412579;6.9554553;8.20044;
-0.22411118;-0.0397826;-0.34475708;-4.14;-15.9;-41.16;-1.3072342;5.293879;10.4605665;
-0.05062546;-0.21754439;-0.051541757;-4.92;-14.34;-40.68;-0.50278234;4.6830587;8.753501;
-0.041462477;-0.008628472;-0.115071744;-4.44;-15.0;-40.079998;-0.41180268;4.8865657;8.67928;
0.028787024;-0.12835807;0.13538301;-5.4;-14.219999;-40.8;-0.25617957;4.5322237;9.059958;
0.038560867;-0.04589125;-0.04482224;-4.74;-14.7;-39.54;1.067814;4.2521024;7.963414;
-0.10682506;0.050014593;-0.38507417;-4.98;-15.0;-39.78;0.10055647;3.9935284;8.904335;
