gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.07192938;-0.27656925;0.18883371;-6.18;-10.5;-34.62;3.3877954;2.2242134;8.643368;
-0.049632803;-0.14462234;0.21693352;-6.12;-11.5199995;-35.28;3.7565024;2.2625206;9.399935;
0.03283401;0.010537425;0.14362969;-7.68;-12.96;-34.5;3.3542767;2.2625206;9.196428;
0.012675454;-0.5862779;0.28290698;-7.2;-11.58;-36.0;0.30645782;1.532289;10.34325;
0.4335616;-1.2551754;0.60666555;-8.76;-11.759999;-34.86;-0.8690952;0.51475334;13.757382;
1.2728904;-1.0206031;1.1320096;-11.759999;-13.08;-33.78;-0.79487497;-1.2880806;13.683162;
1.6528486;0.6220135;2.1527655;-15.54;-16.38;-32.88;0.5793968;-3.3183637;15.345037;
3.1164818;1.8987219;2.6322947;-16.68;-18.359999;-32.1;4.8506527;-2.693477;13.879486;
2.7194192;2.4619396;2.2175171;-17.22;-20.279999;-30.66;5.7846904;-2.5306711;12.653655;
1.3229814;2.555402;2.1845305;-16.08;-24.96;-29.519999;4.4795513;-3.2561142;10.175656;
2.1904101;1.4155275;2.3653467;-15.24;-25.68;-28.019999;11.114183;-3.3997664;12.390293;
2.6430612;1.9689714;2.5180628;-18.72;-26.88;-25.92;12.435782;0.01436521;8.578724;
1.3987287;1.2169963;0.42279512;-19.619999;-27.779999;-23.82;10.640132;3.052607;3.3518825;
-0.7814494;2.034334;0.5577963;-19.14;-29.88;-22.619999;7.474997;1.3503298;2.4636335;
1.2673926;0.70325863;1.3360387;-18.24;-29.16;-24.6;9.426271;2.4540567;5.0927663;
0.7958047;0.89995724;1.1533899;-19.32;-29.099998;-23.22;10.606613;7.8700404;1.3311762;
1.093296;-4.5814895E-4;0.4209625;-21.779999;-30.06;-22.26;7.862858;8.454226;0.6584055;
-0.078343466;-0.25396723;-0.16607898;-21.66;-29.64;-21.0;8.032846;11.911452;3.3518825;
0.56123245;-0.90026265;-1.4495069;-20.699999;-31.14;-19.859999;7.970597;17.248428;7.609072;
1.0285443;-0.622319;-1.6779705;-18.0;-32.219997;-17.64;8.779837;20.226814;12.677597;
2.1788037;-1.048703;-2.4501042;-16.199999;-35.219997;-15.839999;9.344869;17.64347;17.054497;
2.5557075;-0.61010164;-2.935131;-11.28;-38.04;-10.0199995;8.059182;13.412617;14.6719675;
2.4255931;-0.6730208;-3.4513123;-4.68;-39.6;-4.7999997;8.408735;8.834904;12.943354;
2.947883;-0.6186538;-2.8154016;3.48;-40.02;0.12;2.9520507;2.3582888;10.786178;
2.4329236;-1.4781412;-2.5307384;10.92;-37.86;8.58;4.187459;3.0310593;4.6830587;
2.3834434;-1.3284792;-2.5075254;16.02;-36.18;11.82;0.7254431;0.04070143;8.459014;
1.5202909;-0.9314168;-1.7036268;23.88;-31.26;15.599999;-3.7588966;-1.5801731;5.9858036;
2.431091;-0.7170031;-0.90461504;27.119999;-27.9;17.52;-5.315427;-2.5761611;3.7732618;
1.8507689;-0.517861;-0.28947377;29.279999;-24.6;21.24;-5.794267;-1.9153614;0.78290397;
1.0829114;0.11010846;-0.17340937;29.22;-22.38;22.98;-6.7375827;-0.8858546;-3.5529952;
0.5233588;-0.069485925;0.51870096;29.64;-20.279999;25.74;-5.5356936;0.4357447;-6.742371;
-0.25060746;-0.56123245;0.7942012;28.08;-21.6;25.859999;-4.5896845;0.48362875;-5.394436;
-0.41431937;-0.8544478;1.2004266;28.439999;-22.859999;23.76;-1.4580688;0.7015011;-3.787627;
-1.05023;-0.91981035;1.6268106;27.599998;-24.6;22.08;-2.3295584;-0.81642276;-5.1813517;
-1.1901182;-1.4359915;1.9676733;24.9;-28.199999;18.119999;4.256891;2.207454;-4.7046065;
-2.328771;-1.8183931;2.2859342;23.58;-31.199999;12.179999;3.9264908;0.045489833;2.980781;
-2.954908;-1.800678;2.5834255;20.52;-33.54;4.98;4.7285485;0.12210429;2.2337902;
-1.8883371;-2.294868;3.2260556;15.42;-36.12;-3.06;13.1037655;4.3837833;6.7950435;
-3.7245982;-2.31747;3.1368694;6.6;-36.239998;-10.92;10.948983;3.064578;14.1548195;
-3.3800702;-2.172084;2.60786;-2.22;-33.84;-17.64;14.21228;7.4797854;10.843638;
-2.7246118;-2.625957;2.2792146;-8.94;-29.58;-22.14;14.9787245;9.545981;18.625093;
-2.8418977;-1.4506522;1.4802028;-17.82;-24.06;-24.42;9.98412;8.001721;16.937181;
-2.0709858;-1.4121678;1.058095;-21.84;-20.82;-25.26;10.575488;8.731953;15.651495;
-1.1962268;-0.7286095;0.9292024;-24.06;-17.58;-26.88;8.413524;5.942708;15.234904;
-0.7386888;-0.36575556;0.69829535;-27.18;-14.82;-29.58;8.41113;6.8740525;9.296985;
-0.64644814;-0.205098;0.2541963;-29.22;-12.78;-29.099998;8.717587;5.279514;9.1629095;
-0.3727805;0.04352415;-0.10987939;-29.939999;-11.639999;-29.099998;8.157345;3.6343982;8.466196;
-0.3294091;0.39477167;-0.29680416;-29.16;-11.46;-30.599998;7.3959885;2.4947581;7.9298954;
-0.06795876;0.42653665;-0.106214195;-28.859999;-11.16;-30.42;6.751948;1.7142484;7.1733274;
0.2191479;0.39904773;-0.037797287;-27.18;-11.7;-30.06;7.582736;1.8028339;6.5795655;
