gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.011530082;0.16348282;-0.16890424;8.7;-11.759999;-45.78;-5.360917;5.303456;6.4981627;
0.2693152;0.111559264;0.2452624;9.179999;-10.62;-46.559998;-6.7830725;5.102343;6.076783;
-0.12530373;0.4536438;0.2959642;9.66;-12.059999;-45.66;-7.8245506;5.016152;5.408801;
-0.031841353;0.90262973;0.6759224;10.2;-11.04;-45.6;-11.245865;4.5633483;5.303456;
0.059788436;1.776778;0.7699956;12.12;-12.54;-45.0;-12.481273;4.0797195;6.119879;
-0.49060115;2.6099982;1.4107933;15.54;-11.639999;-44.76;-15.673043;1.3192052;4.256891;
-1.1796571;3.0540972;2.8139508;19.5;-12.66;-42.719997;-14.018351;0.89782566;9.988909;
-1.3024411;3.9874992;3.3509014;23.76;-13.62;-40.5;-12.340014;0.095768064;13.479655;
-1.4826463;4.074242;3.7216966;28.38;-13.86;-36.54;-10.180445;-0.6344634;15.325884;
-1.4014013;3.965508;4.2855253;32.82;-17.34;-32.28;-6.3736644;-0.8762778;17.12393;
-1.1992048;3.7810268;4.7467284;33.66;-22.32;-27.42;-3.6631286;-3.58412;14.621689;
-1.1142945;2.2819636;4.6257772;31.98;-28.199999;-23.82;6.6896987;-0.033518825;16.894085;
0.07078401;2.0651064;1.4034629;28.26;-33.059998;-22.38;11.320085;3.2920272;12.675203;
0.6181193;1.2239449;-0.35888332;27.119999;-35.16;-19.98;8.925883;3.4835634;10.221147;
0.10865766;0.003436117;-0.5934556;28.199999;-34.86;-17.34;5.430349;6.1150904;8.470984;
0.20028745;-1.2885438;-0.016798794;30.0;-34.739998;-17.58;4.3622355;11.662456;11.008839;
0.36888626;-2.049682;-0.063224554;29.34;-33.96;-17.699999;2.5570073;15.948376;11.521198;
1.0518336;-3.2353714;1.0485502;27.84;-35.16;-20.4;-0.6703765;17.169418;13.024756;
1.7726545;-3.405192;0.57757306;22.32;-37.38;-22.14;-0.4165911;15.953164;13.336002;
2.6058748;-3.4021375;0.14263703;17.82;-39.48;-21.9;-4.5441947;12.768577;12.433389;
3.0230958;-3.2787428;0.68203104;14.88;-42.6;-19.14;-7.712023;9.057565;6.787861;
1.9669098;-2.6330583;1.1212431;10.74;-46.44;-13.32;-6.5173163;5.360917;-0.7182605;
1.0829877;-2.198733;1.2538009;6.66;-47.34;-9.48;-3.8019924;3.6846764;-0.8331822;
0.63583434;-1.4412602;0.93431836;3.48;-48.539997;-7.02;-3.205836;1.8914193;-1.661576;
0.12942708;-0.8694903;1.1560625;-0.17999999;-49.62;-6.12;-1.8267759;0.5626374;-2.4827871;
-0.1662317;-0.6569092;0.7840455;-2.22;-49.68;-5.52;0.79966336;0.033518825;-2.621651;
-0.7441102;0.093844175;0.12736541;-4.7999997;-49.44;-6.12;2.6288335;-0.18674773;-2.9855695;
-0.9902889;0.35651624;-0.4908302;-4.38;-48.539997;-7.8599997;2.4971523;-0.641646;-4.1156325;
-1.6946166;-0.045433104;-0.5122105;-3.9599998;-48.48;-11.16;3.8235402;0.25378537;-1.4341269;
-1.6677384;0.034590244;-1.2287555;-1.4399999;-47.28;-14.88;3.6391866;1.6759412;1.2330139;
-2.3024275;0.06207918;-1.6856827;1.38;-45.12;-18.6;1.9201498;2.6431987;3.4165258;
-2.4777458;-0.8090147;-1.8854356;4.68;-42.12;-23.4;1.9249382;4.8458643;5.2507834;
-3.4704018;-0.7961865;-1.9501873;7.7999997;-38.04;-28.08;-2.2816741;6.335357;9.227552;
-3.3213508;-1.5200619;-2.024102;9.42;-32.28;-33.78;-2.006341;8.305785;13.814843;
-2.8650343;-1.0533607;-3.2580497;10.44;-24.779999;-39.239998;-5.4040127;9.352051;13.137284;
-2.14177;-1.2683853;-2.24157;11.639999;-16.08;-43.92;-9.229947;11.564294;14.162003;
-1.6952274;-0.67401344;-1.9037615;11.099999;-11.639999;-46.02;-8.332121;12.521975;13.288118;
-0.9701304;-0.36247218;-0.90316427;10.26;-7.3199997;-46.26;-7.8820114;11.013627;11.588236;
-0.45700356;-0.13767375;-0.8127562;10.2;-4.3199997;-48.059998;-4.0797195;9.280225;9.83568;
-0.23831381;0.17386752;-0.72112644;9.9;-2.9399998;-48.18;-3.4332852;7.8101854;8.377611;
-0.23709208;0.5538257;-0.99296147;10.8;-2.9399998;-47.52;-4.175488;6.8141975;9.0839;
0.4873941;-0.2195297;-0.14263703;12.9;-2.04;-46.62;-3.5984852;5.732018;8.4231;
0.28458685;0.21357377;-0.63194007;11.639999;-3.24;-46.92;-2.7006595;5.9115834;8.032846;
0.34078646;0.105450615;-0.3368922;14.219999;-3.06;-47.46;-4.721366;4.654328;8.731953;
0.37988183;-0.15294538;0.074830994;13.98;-3.84;-46.5;-2.1188686;5.0329113;8.104672;
0.2186134;0.31253394;-0.4456262;11.58;-4.3199997;-46.079998;-2.8658595;4.8362875;7.9418664;
0.21067216;-0.18409951;0.01985312;12.3;-4.2;-46.379997;-2.9281087;4.7524905;7.474997;
0.21800253;-0.006948592;-0.1554652;12.84;-4.08;-46.2;-2.6072857;4.9874215;8.344092;
0.20578523;0.14332426;-0.2874121;13.139999;-5.4;-46.26;-3.0023289;4.510676;7.4941506;
-0.019013181;3.8179077E-4;-0.06383542;13.0199995;-5.04;-45.78;-3.655946;4.462792;7.771878;
