gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.082924955;-0.8721629;0.3739259;-19.74;2.8799999;-36.6;5.815815;-0.4429273;7.4773912;
0.24174993;-0.39813143;0.16134478;-21.24;2.52;-36.3;7.048829;0.059855044;7.0296755;
0.47326785;-0.86177814;0.20105103;-21.06;2.1;-35.579998;5.9020066;-0.30166942;7.290643;
0.7664832;-2.879466;-0.12515102;-24.359999;0.35999998;-33.48;6.052841;-0.8523358;10.403106;
2.644894;-4.1225767;-0.021303926;-28.56;-4.5;-32.28;2.27928;-5.868488;15.043367;
4.3510404;0.99280876;2.122833;-33.54;-13.2;-25.56;10.910676;-3.9935284;15.984289;
6.406602;0.4381431;1.3787992;-35.28;-14.5199995;-23.76;10.589853;-3.514688;13.608942;
5.581323;2.4387267;0.83818346;-36.719997;-18.66;-17.94;14.535498;-1.3503298;7.776666;
4.985729;2.0453296;-0.14592044;-36.0;-21.9;-14.88;15.294759;-1.5682021;8.336909;
4.081038;2.8125763;-0.48678324;-35.399998;-25.32;-12.42;13.683162;-2.8083985;4.920384;
2.879466;2.4307854;-0.7775551;-33.54;-27.72;-9.96;11.983279;-2.8060043;1.3192052;
1.6100881;2.129018;-0.46662468;-30.9;-30.179998;-9.84;9.275436;-1.7597382;1.043872;
1.3406965;1.3593279;-0.14225525;-29.58;-30.539999;-9.059999;8.629003;-2.5187001;1.5921441;
2.0560198;1.1779009;0.29573515;-29.64;-31.859999;-8.16;10.029611;2.5833437;-1.4796166;
1.1983649;0.48456886;0.15767959;-30.06;-33.059998;-7.5;7.762301;6.34254;-1.9177556;
0.6730208;0.24572055;-0.5826891;-29.699999;-32.7;-5.58;8.233959;9.95539;-4.6591167;
1.1733195;-1.3675746;-0.4751768;-28.619999;-33.059998;-3.9599998;10.417471;16.424822;-3.3255463;
0.8770498;-2.4390323;-1.068327;-27.06;-33.48;-0.12;12.529157;20.502148;-4.122815;
0.79458296;-3.0199652;-2.3034966;-24.779999;-36.36;4.3199997;15.706562;20.91874;-4.285621;
1.3333662;-4.2954516;-3.1513774;-18.42;-38.04;8.28;17.82543;18.447922;-1.8650831;
-1.0325149;-4.6466994;-3.220405;-5.64;-39.719997;14.219999;17.518972;12.830826;0.16519992;
-0.7246389;-3.795764;-3.9045744;2.82;-40.44;12.78;16.910845;9.7447;5.490204;
0.4353942;-2.7316368;-3.6443458;16.619999;-38.219997;8.4;11.353603;3.5338416;10.2618475;
0.9430232;-2.7511845;-3.3969452;25.98;-33.3;7.14;7.3121915;1.6041151;7.3504987;
1.8678732;-2.4866798;-2.9003117;33.12;-28.5;6.2999997;4.4556093;1.9680338;9.79019;
1.9485074;-1.3504703;-2.6174812;37.92;-22.92;5.2799997;0.32561144;-1.0941502;10.381557;
1.2985468;-0.8660542;-2.3364832;42.36;-15.839999;4.14;-6.574777;-2.2697031;1.1348516;
0.8220719;-0.5319109;-1.2515866;44.7;-9.12;4.98;-7.9059534;-5.308244;3.7445314;
1.1262828;-0.58016926;-0.28092167;44.1;-5.16;4.8599997;-12.112566;-6.778284;-0.3854665;
0.88254756;-0.29856038;0.8455139;43.86;-3.6599998;4.68;-8.942642;-4.010288;-0.90261406;
0.07070765;-0.08353582;1.4942528;44.579998;-6.2999997;4.2;-7.712023;-3.4404678;0.10055647;
0.54412824;-0.15622878;1.8870391;43.86;-10.62;3.1799998;-4.5537715;-2.765303;-1.4748282;
1.0144944;-0.18555032;2.7019334;41.76;-16.44;3.3;-2.9017725;-3.2752678;-3.3973722;
0.40546182;-0.2759584;3.215671;38.82;-21.96;1.68;2.4109612;-0.17477672;-5.9115834;
-1.0300715;0.017256944;4.357989;33.84;-28.08;1.3199999;4.3766007;-2.7150247;-0.076614454;
0.55573463;-0.61193424;4.4422884;24.66;-36.12;-1.86;8.482956;-0.4189853;-3.5003228;
-0.4821254;-0.47693303;5.494809;16.92;-39.6;-2.04;14.664784;0.85473;-2.1332338;
-0.05879578;-1.1488848;5.808794;0.84;-42.059998;-3.78;18.170195;2.6743233;-7.427113;
-1.9952387;-1.1006265;6.0928464;-10.0199995;-39.239998;-4.08;27.258884;8.198046;-0.7398083;
0.7713701;-1.189202;4.5742354;-24.6;-30.96;-4.44;24.917355;9.680057;0.62967503;
-1.6720909;-0.91247994;4.12586;-29.22;-28.08;-0.9;24.05993;12.342409;-0.62488663;
-0.18280143;-0.4970916;2.8021152;-36.12;-23.22;-1.62;20.861279;13.307272;5.329792;
-0.72158456;0.027030786;1.2022592;-40.2;-19.02;-1.0799999;16.470312;11.150097;0.60094464;
-0.95615685;0.30925053;0.6017786;-41.82;-16.8;-1.74;13.046305;7.5300636;1.3670892;
-0.39843684;0.35201108;0.14851661;-41.219997;-15.96;-4.02;11.348815;4.980239;0.81163436;
-0.014202617;0.34468073;-0.15080735;-43.5;-16.199999;-4.74;10.520422;3.6415808;-1.1348516;
-0.08078693;0.3911065;-0.20273091;-43.26;-15.719999;-5.8199997;10.137349;2.0398598;-1.5466543;
0.030390546;0.22250767;-0.3114649;-43.559998;-14.759999;-6.8999996;10.381557;1.5753847;-1.6519991;
0.088422745;0.20906863;-0.27908906;-42.3;-16.08;-6.8999996;8.684069;0.29209262;-1.8483237;
-0.0777326;0.24388795;0.0129045285;-42.78;-17.1;-7.56;9.4143;0.61052144;-1.1540052;
