gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.20998493;-0.1788308;0.0819323;16.32;-20.039999;-18.3;-3.5697548;4.6926355;8.14298;
0.059101213;-0.19960022;0.22915083;16.5;-21.06;-16.859999;-4.1491513;4.417302;7.520487;
0.24969117;-0.3193298;0.28473955;16.26;-20.82;-18.24;-4.3358994;3.9935284;7.6617446;
0.7139487;-0.24419338;0.5590181;14.28;-21.24;-17.64;-8.997709;4.9060187;7.022493;
1.0951287;0.030085113;0.7557167;14.7;-22.199999;-17.1;-12.644078;3.2441432;6.634632;
0.027947085;1.4246905;1.6506343;13.139999;-25.26;-16.32;-11.585841;6.6609683;3.0693667;
-0.06307184;2.3342688;1.2865585;12.12;-27.119999;-14.4;-11.435006;3.608062;7.728782;
-0.15775596;2.7985263;2.1930826;12.059999;-28.32;-13.98;-11.305719;2.3343468;9.44303;
0.05665775;3.40817;2.3812292;11.04;-32.7;-12.78;-9.464579;3.6870706;12.268188;
-0.12293663;3.938401;2.6927702;7.2599998;-34.079998;-10.26;-6.670545;4.271256;12.031163;
-0.0154243475;3.512017;1.7465401;3.06;-37.32;-9.36;0.16280572;5.454291;12.1963625;
-0.30008754;3.0880766;-0.17707457;0.65999997;-38.399998;-8.88;0.830788;5.11192;10.362404;
-0.538325;2.5401304;0.5584072;1.74;-38.94;-8.46;-0.48123455;4.6351743;9.706393;
-0.36972618;1.8626808;0.9157634;1.4399999;-38.52;-8.7;1.1061212;4.1299977;6.8118033;
-0.10216721;1.300074;1.891926;0.35999998;-39.54;-7.7999997;3.7349546;7.692869;8.9187;
-0.4100433;0.7002043;0.4160756;-4.02;-39.719997;-9.0;4.6519337;8.403947;3.5625722;
-0.024587326;0.061239243;0.5125923;-3.6599998;-40.5;-10.38;1.4149733;12.967296;4.9658737;
0.6791294;-0.7163922;0.55168766;-5.4;-40.32;-11.04;5.5117517;17.054497;2.5737667;
1.4341589;-1.474476;-0.029245174;-6.12;-40.98;-8.4;2.1691468;19.309835;4.6926355;
2.195297;-2.0114264;0.58772874;-6.8999996;-40.8;-5.3399997;-0.29688102;20.310612;5.3393693;
2.462245;-2.0358613;1.778916;-8.5199995;-42.059998;-0.71999997;-3.9863458;20.382437;6.6418147;
3.0169108;-2.0242548;2.508289;-12.54;-40.5;6.8999996;-4.297592;19.022532;6.7304;
3.3687692;-2.1036673;1.6298648;-15.48;-38.16;15.66;-4.4963107;15.345037;6.3090205;
3.549585;-1.7591392;1.5040265;-17.52;-33.96;23.22;-5.06643;11.849203;7.8365216;
2.8067732;-1.5166256;1.524796;-18.42;-28.619999;31.019999;-4.8386817;4.027047;-0.062249243;
2.4188735;-1.7340937;1.45699;-16.859999;-23.16;36.6;-1.7836803;3.1387985;2.0685902;
1.5716035;-1.2600623;1.0525972;-15.36;-18.06;40.62;-5.9594674;1.0055647;-1.1971009;
1.4463762;-0.72433347;1.3513103;-14.099999;-13.559999;43.44;-5.099949;-1.7597382;-2.2960393;
0.86422163;-0.25885415;1.3733014;-13.679999;-10.2;43.98;-2.0374656;-2.3582888;-3.821146;
0.53985214;-0.23258694;0.8302422;-14.759999;-6.6;44.46;-0.2657564;-4.43885;-8.746318;
-0.22434026;-0.3297145;0.6524804;-14.7;-6.0;46.079998;2.3870192;-3.4500446;-6.380847;
-1.2188289;-0.19837849;-0.3328452;-13.62;-5.8799996;45.6;1.6687586;-3.181894;-4.4723687;
-1.4637859;-0.21303925;-0.6150649;-13.139999;-9.36;45.239998;1.2737153;-2.3391352;-3.9576154;
-2.1552854;-0.1366811;0.328111;-11.759999;-12.42;43.32;-0.3854665;-1.8962077;-1.5777789;
-2.9652927;-0.25213462;0.59444827;-10.08;-16.74;42.18;2.8682537;0.016759412;0.009576807;
-3.6885571;-0.5526803;0.35926512;-9.719999;-24.119999;35.94;4.2305546;3.3063924;5.1071315;
-4.3843327;-0.57650405;-1.3700944;-9.3;-27.66;31.679998;-1.3263878;4.402937;4.661511;
-4.449695;-1.1268936;-0.49167016;-5.7;-35.52;22.14;3.8953662;10.283396;12.402264;
-4.899292;-1.075581;-0.8673523;-2.82;-37.68;11.16;-1.9512744;15.280394;17.04971;
-4.2077928;-1.755474;-2.1941516;-1.26;-38.16;0.29999998;-1.2258313;17.238852;13.479655;
-3.1485522;-1.7249308;-1.4666111;-0.06;-35.82;-7.44;-6.8740525;18.773535;14.09257;
-2.3458753;-1.1513283;-1.0341185;2.46;-34.02;-14.46;-8.748713;17.473482;11.585841;
-1.4442382;-0.31688634;-0.18318321;2.04;-32.04;-19.38;-7.1637506;15.000272;9.565135;
-0.6892087;-0.009010263;-0.16363552;2.58;-32.1;-21.72;-2.8083985;13.216292;7.814974;
-0.2322815;0.00870483;-0.49533537;2.82;-30.72;-22.92;-1.8507179;11.0734825;7.8125796;
0.37308595;0.019700404;-0.6859253;3.9599998;-29.699999;-23.64;-1.6352397;8.624214;7.412748;
0.2930626;0.13881913;-0.58146733;5.7;-29.46;-23.22;-3.2010477;6.9578495;8.212411;
0.3651447;0.22495113;-0.0017562376;7.3799996;-29.34;-23.46;-1.9393034;6.455067;7.403171;
0.1910481;0.2695443;-0.032910366;7.02;-29.88;-21.119999;-1.3239936;5.897218;7.498939;
0.21059579;0.30375275;-0.18135062;7.3799996;-30.72;-20.1;-1.1013328;6.1174846;7.570765;
