gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.056886826;-0.088040955;0.2795472;-18.779999;8.34;-28.439999;1.5107412;1.5945383;9.404723;
-0.017027868;0.006032294;0.051083606;-18.779999;8.76;-30.06;2.0518308;1.7836803;9.768642;
-0.017638734;-0.40569088;0.054748796;-18.3;7.7999997;-29.4;1.0295067;1.4413095;9.502886;
0.102701716;-1.8503872;0.1530981;-18.72;8.28;-29.34;-0.5243302;1.7525556;8.312967;
1.4472162;-2.3079252;0.049861874;-24.6;4.44;-26.46;-1.1707647;0.2896984;13.620913;
0.21876612;1.0842094;0.8836929;-29.16;0.0;-23.16;-2.9017725;0.7445967;16.740856;
0.67874765;3.3621259;1.2941943;-26.76;0.84;-24.48;-5.430349;-2.6503813;17.605164;
0.9994519;3.2723289;2.3442717;-24.24;1.9799999;-28.32;-6.893206;-4.699818;16.62833;
1.2505175;2.5344036;2.9991193;-19.439999;4.62;-32.64;-3.1268275;-7.580342;16.894085;
1.271287;2.4800365;4.047364;-15.059999;4.7999997;-36.6;2.882619;-10.585065;15.804724;
1.7440966;2.1611648;4.0418663;-11.34;5.52;-39.12;9.945813;-8.535628;11.133337;
1.5180765;1.5197563;4.2129087;-7.08;4.8599997;-40.379997;12.1963625;-3.9001546;6.119879;
0.6708064;0.93821263;2.7114017;-4.56;2.9399998;-40.559998;13.549087;3.3446999;-0.15562311;
-0.673708;0.14775303;1.2728142;-3.8999999;3.3;-41.28;11.468526;5.51654;3.2345665;
-0.4000404;0.031077769;0.88674724;-3.48;4.68;-41.34;8.614637;5.064036;7.264307;
0.27313313;-0.586507;0.49273917;-4.3199997;5.04;-41.1;7.9897504;8.001721;6.4957685;
0.007406741;-0.6494261;-0.43272167;-5.8199997;4.98;-41.7;8.66731;11.329661;10.10383;
0.1735621;-0.71539956;-1.2329551;-6.8399997;4.98;-40.32;5.4710503;12.615348;12.828432;
1.3378712;-1.1588877;-1.6269633;-8.22;3.1799998;-40.92;7.206846;14.801554;14.032716;
1.7874681;-1.025719;-2.2976933;-10.2;-1.4399999;-39.54;7.807791;15.230116;18.459894;
2.8320477;-1.6451365;-2.452853;-10.86;-5.64;-36.36;8.308179;12.363956;22.764668;
2.8638127;-0.61888283;-3.3257794;-10.559999;-14.88;-32.94;6.998551;5.4590793;18.921974;
3.070285;-0.25480717;-2.9733102;-7.2599998;-22.38;-28.32;2.420538;-2.60968;12.332832;
2.5571582;-0.57123536;-2.0344102;-2.1;-27.42;-22.26;-2.2649148;-6.4598556;5.2412066;
2.6341274;-0.7569384;-1.0900127;1.26;-31.32;-16.56;-3.9791632;-5.7966614;0.5267244;
1.0971904;-0.4741078;-0.04054618;3.48;-33.3;-10.86;-5.2890906;-4.1659107;-2.5115175;
0.867505;-1.1344532;0.34063372;3.24;-34.739998;-7.98;-5.3106384;-1.673547;-3.6032736;
0.554742;-1.2670109;0.9319513;2.58;-35.04;-5.1;-3.3375173;1.6089035;-4.7979803;
-0.49411362;-1.1680508;0.7645742;-0.9;-35.64;-4.3199997;-1.8890251;2.7461493;-2.1619642;
-0.7244098;-1.0996338;0.83604544;-3.78;-35.16;-4.2;1.316811;3.3135753;-0.79248077;
-1.5240325;-0.5474116;0.6643923;-5.58;-34.02;-5.16;2.5258827;2.3750482;-0.1364695;
-1.5643495;-1.080697;0.67416614;-7.68;-32.64;-8.5199995;3.952827;2.5570073;-0.45010993;
-2.8154016;-1.1967614;0.8085565;-11.219999;-30.539999;-10.44;3.9312792;-0.035913024;0.59855044;
-3.3773975;-2.1405482;0.5776495;-12.719999;-29.58;-12.719999;5.370494;-1.0893618;0.36631286;
-4.4653487;-2.9224558;1.2862531;-16.02;-24.72;-24.84;7.618649;-4.0773253;7.484574;
-4.558811;-4.7281733;0.7706829;-22.08;-12.9;-29.76;12.059894;-2.123657;14.614507;
-4.671821;-3.183906;1.3027465;-30.96;-0.35999998;-21.0;10.968137;-1.4053963;31.944338;
-1.4501177;-2.5058455;1.5519795;-33.48;1.56;-16.5;12.414235;7.1733274;27.704206;
-2.2265275;-0.046502117;0.077961676;-34.86;4.56;-15.36;9.713575;7.922713;18.483835;
-1.5221999;0.064064495;0.112780996;-35.399998;6.06;-15.96;5.195717;3.6008794;15.230116;
-0.48678324;-0.06727154;0.25755605;-35.16;7.5;-16.5;6.038476;2.6408045;11.707946;
-0.18562667;0.25831965;-0.12056953;-35.399998;8.76;-17.1;7.1996636;1.8435353;9.67048;
-0.21067216;0.41286856;-0.29405525;-34.5;8.16;-16.92;5.767931;0.059855044;8.296208;
0.01656972;0.30841058;-0.010002919;-34.2;8.46;-18.119999;5.856517;-0.5554548;7.975385;
0.050778173;0.116598904;-0.027107146;-34.32;8.58;-18.24;6.383241;-0.21068975;6.524499;
-0.16607898;0.22472206;-0.07108945;-33.899998;8.099999;-19.08;6.2491655;-0.7302315;7.594707;
0.0061850105;0.042073343;-0.039935317;-33.96;9.179999;-19.26;5.669769;-0.8595184;7.3457103;
-0.086055644;0.12331842;0.118889645;-33.48;8.639999;-18.72;5.75596;-1.0247183;7.774272;
0.09231701;0.07078401;0.29420796;-33.84;8.82;-18.96;6.024111;-0.78769237;8.329727;
0.19738583;-0.06543894;0.048640147;-33.78;9.12;-20.16;6.881235;-0.1436521;7.3935943;
