gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.08903361;-0.118507855;0.30535626;-19.859999;-37.02;-26.939999;6.100725;5.8636994;4.19943;
0.30955598;-0.17715092;0.34200817;-21.6;-36.66;-26.039999;6.2252235;6.2635307;5.1765633;
0.28939742;0.3494149;0.30657798;-21.66;-36.3;-25.199999;5.5237226;6.4502788;6.014534;
-0.8003862;0.56505036;0.19540052;-21.6;-36.18;-26.46;2.3822308;8.468591;13.048698;
0.33643404;2.366492;-0.15340354;-20.46;-34.62;-26.46;1.5825673;5.600337;24.414274;
2.9057333;3.8649445;0.9919688;-17.699999;-33.96;-26.34;5.976227;2.2457612;22.388779;
3.9741366;4.7800207;0.92966056;-16.32;-36.54;-22.32;15.732898;2.3199813;12.320861;
2.79761;4.618752;0.85391325;-15.719999;-38.16;-19.14;15.883733;-1.1707647;5.0951605;
3.2026138;3.4440582;1.4519503;-14.16;-39.899998;-17.34;17.231668;-0.5626374;-1.6424223;
1.8464929;1.9193386;0.7335728;-13.74;-41.219997;-11.16;13.848362;2.1930888;-8.3752165;
0.82940227;0.7648033;0.55886537;-14.759999;-41.94;-8.7;10.757447;3.490746;-8.128614;
-0.27015516;-0.62980205;0.17218764;-15.96;-42.3;-7.56;9.644144;6.670545;-8.188469;
-0.1498147;-1.5601498;-0.11552989;-15.54;-41.46;-6.8999996;12.304102;14.173973;-3.098097;
1.2869403;-2.77455;-0.2926808;-15.0;-42.239998;-7.02;12.78773;21.119852;-1.2641385;
1.2728904;-3.5772269;-1.7312684;-15.179999;-43.26;-2.76;18.467075;26.969185;-2.1499932;
-0.07651087;-3.8472292;-3.9242747;-11.099999;-44.34;1.8;17.703325;21.790228;7.879617;
0.65836;-3.0818152;-4.509484;-1.62;-46.2;4.7999997;11.758224;12.047922;14.985907;
1.4732542;-2.0280726;-4.0470586;11.7;-44.16;6.6;8.552388;3.3854012;14.916475;
1.1030699;-1.246776;-3.324405;21.42;-39.3;7.74;1.1420342;-5.0329113;11.224317;
1.8440495;-0.21624629;-2.0354793;27.3;-36.18;8.82;-2.8682537;-8.332121;8.085519;
1.3358096;-0.22418754;-0.8125271;33.6;-30.3;13.2;-4.6950297;-11.202769;-2.1045034;
0.70722926;-0.4636467;1.0884855;34.26;-29.46;15.299999;-3.5865142;-9.047988;-3.0478187;
0.33093625;-0.8313876;2.2943335;32.16;-29.46;15.36;-0.81642276;-5.693711;-3.3542767;
-0.5377141;-0.80573124;2.9125292;29.939999;-32.82;14.58;3.0238767;-3.4332852;-1.472434;
-0.75945824;-0.8503244;3.6993237;23.699999;-38.04;13.0199995;6.036082;-3.4620156;1.2856863;
-1.2145529;-0.5540548;5.1605134;16.14;-41.7;9.9;9.364022;-2.4229321;0.93852705;
-1.9738584;-0.98654735;6.1690516;4.02;-44.64;6.12;14.923657;1.4317327;2.7030537;
-2.7979155;-0.6951646;6.1867666;-11.219999;-44.82;1.3199999;27.254095;15.385738;4.5753193;
-2.5529585;-0.44715336;4.124486;-23.4;-40.44;-5.7599998;23.964163;20.722414;13.522751;
-1.9372064;0.24556783;1.9864575;-30.179998;-34.92;-13.2;18.285116;19.482218;7.0679827;
-1.6421585;0.04642576;0.7244098;-33.239998;-31.199999;-19.98;12.823644;14.8590145;3.4931402;
-1.4784466;0.040317107;-0.014737124;-34.559998;-27.66;-25.08;9.658509;9.486126;4.9299607;
-0.34895676;-0.059253927;-0.004352415;-34.26;-24.84;-26.519999;8.810962;6.7112465;5.042488;
0.27290404;-0.19303341;-0.12347114;-33.78;-24.48;-27.18;8.363246;5.504569;2.1308396;
-0.3904956;-0.012217305;-0.0959822;-34.62;-24.9;-27.359999;8.801385;4.3167458;1.6352397;
-0.5352707;0.021380283;-0.25297457;-34.079998;-23.939999;-27.48;8.5476;3.3662477;2.669535;
-0.03680463;-0.012217305;-0.088040955;-33.899998;-24.06;-27.48;8.980949;2.7964275;3.6032736;
0.4372268;-0.0018325958;0.077503525;-33.719997;-24.42;-27.779999;8.8205385;3.1148565;2.468422;
0.345597;-0.029932396;0.10865766;-34.2;-25.38;-26.699999;9.656115;3.655946;1.4820108;
-0.08933904;-0.07941248;-0.09659307;-33.36;-25.8;-26.519999;9.55077;3.8163576;1.9632454;
-0.3483459;0.1423316;-0.040393464;-34.079998;-24.9;-26.46;8.851663;3.5673606;2.6623523;
0.11591168;6.1086525E-4;-0.023289237;-34.5;-24.96;-27.3;8.846874;3.4572272;3.110068;
0.17516561;0.04886922;-7.6358156E-5;-34.14;-24.84;-27.779999;8.710405;3.4476504;2.4636335;
0.24602598;0.0030543262;0.026190847;-33.84;-24.96;-27.18;8.818144;3.4261026;2.0733786;
0.23808473;-0.016493361;-0.020845776;-33.36;-25.68;-27.18;8.894758;3.4691982;2.1212628;
0.1067487;-0.01160644;5.345071E-4;-34.5;-25.74;-26.279999;8.846874;3.3877954;2.0973208;
0.02367103;0.04337143;-0.0025198192;-33.54;-25.859999;-25.859999;9.081507;3.454833;2.585738;
0.043218717;0.018325957;-0.036728274;-33.96;-25.199999;-25.14;8.968979;3.6942532;1.99437;
-0.016646078;0.11301007;0.090331696;-34.68;-26.16;-24.48;8.825327;3.454833;2.7509377;
0.48915035;-0.17654006;0.038408153;-33.54;-25.26;-25.56;8.834904;4.1826706;2.0685902;
