gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.2186134;0.16913332;0.17631099;2.1599998;31.56;-36.0;1.5107412;0.7350199;9.251494;
0.03795;-0.3720933;0.26427558;1.26;32.04;-35.76;2.3750482;1.0606314;9.620202;
-0.0603993;0.10377073;0.08712465;1.8;31.019999;-35.579998;2.2266076;1.4077905;9.426271;
-0.39271;-0.05749769;0.044974953;2.46;31.56;-36.12;-1.1133038;0.770933;10.094254;
0.009850202;-0.5474116;0.6301839;1.1999999;32.28;-35.46;-3.9911342;-0.12689269;13.596971;
0.69096494;0.39515346;1.6344463;0.9;30.119999;-36.239998;-1.8962077;-2.1428106;14.382269;
1.0525972;0.8991173;2.2129357;1.62;26.58;-37.02;-4.261679;-2.4899697;14.185945;
1.0025063;1.6462054;2.719343;4.02;22.74;-37.02;-4.249708;-4.920384;15.586852;
1.1313988;2.1868212;3.371747;6.6;17.16;-38.579998;-0.60333884;-6.184522;13.987226;
0.9872346;2.1849887;3.835394;10.0199995;12.42;-38.16;1.541866;-9.069535;14.087782;
1.339093;1.7085137;3.597767;12.0;9.12;-39.12;8.00651;-7.278672;12.181997;
1.2737304;0.96264726;3.0858622;12.96;2.82;-39.6;10.247482;-2.9831753;6.8405337;
0.27496573;1.2491431;2.3167827;13.98;-1.0799999;-40.44;10.036793;-0.047884032;4.074931;
-0.21128301;0.086055644;1.2318861;16.199999;-3.4199998;-40.26;9.495703;1.9871874;4.3287168;
-0.13859005;-0.46555567;0.85314965;16.26;-4.44;-41.82;7.58513;2.267309;6.596325;
-0.62178445;-0.29206994;0.2551126;14.34;-4.2;-42.719997;6.220435;3.8522706;8.43986;
-0.012751812;-1.2456306;-0.26473373;11.34;-3.6599998;-44.16;4.283227;6.3521166;9.766248;
-0.42691845;-0.69279754;-0.8487209;9.24;-3.06;-44.94;5.6649804;9.754277;14.475643;
1.0092257;-0.94019794;-0.988609;6.66;-2.6399999;-44.399998;7.2810664;11.032781;22.106262;
1.7886899;-0.54680073;-1.9134591;7.14;-6.18;-42.12;7.6832924;10.812514;21.196466;
2.3671792;-0.2822961;-2.7149143;10.5;-9.059999;-36.78;6.8979945;6.500557;20.791845;
3.3042464;-0.618272;-2.3771057;15.179999;-13.259999;-31.8;3.3255463;2.597709;17.042526;
3.147865;-0.4637231;-2.1046598;17.88;-16.5;-26.039999;1.4269443;-0.46208093;13.956101;
2.712929;-0.8601746;-1.8340465;20.58;-18.9;-21.539999;0.17238252;-2.8921957;9.510069;
2.8851929;-0.45211664;-1.1394928;24.6;-20.16;-17.46;-0.6703765;-7.4103537;4.6830587;
2.0208185;-1.2108113;0.5471062;24.48;-23.1;-13.98;-4.661511;-3.572149;-3.7181952;
1.5467871;-1.7166077;0.6283513;21.48;-25.56;-10.32;-3.301604;-0.1316811;-3.4979286;
0.2700788;-0.77037746;0.0687987;19.74;-27.0;-9.48;-1.685518;2.4971523;-3.3327289;
-0.0603993;-0.92126113;0.39500073;19.26;-27.18;-8.46;-2.4420857;1.8052281;-2.4779987;
-0.67492974;-0.44478625;0.62346435;17.46;-27.48;-10.2;-1.3192052;1.5035586;-3.4213142;
-1.2460887;-0.73067117;0.7615199;15.36;-27.359999;-10.74;2.087744;1.1348516;-3.3087866;
-2.6388614;-0.86811584;0.23312145;12.54;-26.46;-13.92;0.9911995;-1.1085154;-1.934515;
-3.2943199;-0.16317739;0.4957935;10.5;-22.199999;-21.119999;4.201824;-2.2290018;1.067814;
-4.1061597;-0.9059895;0.7260897;9.96;-19.14;-25.14;3.6104562;-5.5237226;5.822998;
-4.5093307;-1.1460595;0.74258304;7.2;-10.559999;-33.0;5.2890906;-5.2866964;10.673651;
-4.376162;-1.5816065;0.30520356;3.8999999;-3.48;-36.3;8.77026;-4.098873;21.447857;
-4.2338305;-1.3488668;0.21357377;1.0799999;7.9199996;-39.239998;7.3600755;-1.3383588;19.439121;
-3.8880808;-2.0116556;-0.09369145;-1.5;15.96;-39.78;8.813355;0.076614454;25.999535;
-2.2753966;-0.31772628;-0.016722437;-4.44;29.039999;-36.3;6.646603;2.942474;23.487717;
-1.5570191;-0.15034921;-0.17188221;-5.1;35.219997;-30.9;5.528511;2.645593;18.084003;
-0.8691849;0.23938282;-0.2512947;-1.68;38.52;-21.24;3.2585084;0.7182605;13.415011;
-0.8038223;0.0066431593;-0.31299207;1.62;36.899998;-17.22;3.193865;-0.5267244;11.652879;
-0.08422305;0.30352366;-0.18409951;4.68;35.7;-16.32;3.7229836;-1.2330139;11.051934;
0.02939789;0.26870435;0.056581393;6.06;34.62;-16.619999;4.4699745;-2.1643584;10.077495;
0.30245465;0.1483639;0.18791743;5.58;35.16;-16.619999;5.502175;-2.2529438;8.746318;
-0.06345363;0.28764117;-0.12179126;4.38;35.82;-17.279999;4.9634795;-2.5809495;6.9913683;
0.06299548;0.009697486;0.0828486;4.92;36.12;-18.3;4.309563;-3.2968156;7.072771;
0.0959822;-0.2945134;0.1408808;3.8999999;35.88;-16.92;4.7860093;-2.9400797;7.963414;
0.11980595;-0.11675162;0.15065464;4.98;36.18;-17.699999;5.2507834;-2.7150247;8.619426;
6.872234E-4;-0.118584216;-0.001450805;3.9599998;35.04;-17.34;5.2627544;-2.5354595;8.028057;
