gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.07078401;0.12759447;-0.06742425;-0.65999997;-8.28;-41.16;-1.4628572;3.8546648;8.81575;
0.20593795;-0.08743009;0.1830305;0.24;-9.9;-41.16;-2.5378537;3.6727054;9.076718;
-0.056123246;0.0066431593;0.33147076;1.14;-10.2;-41.76;-2.60968;3.9935284;8.145373;
-0.17402023;0.3224605;0.2795472;1.14;-9.54;-41.94;-4.8841715;4.4101195;7.951443;
-0.36827537;0.6706537;0.1952478;0.84;-8.34;-44.34;-7.3002205;5.578789;8.339304;
-0.0182496;1.4843262;1.0425179;3.6;-7.44;-47.219997;-16.757616;5.0712185;9.014469;
0.03306308;1.9418643;2.860453;9.36;-6.66;-51.36;-18.795082;2.5617957;9.024046;
-0.15508342;2.7439303;4.3326383;17.039999;-10.74;-49.32;-17.111958;-0.7733272;13.616124;
-0.11904237;2.9528463;5.4462457;17.94;-18.42;-38.46;-11.751041;-4.3287168;18.591576;
0.28473955;2.704224;5.770004;8.82;-23.4;-30.179998;-4.414908;-7.501333;18.215685;
1.0843621;1.2833515;5.4383044;0.0;-23.58;-27.06;5.4734445;-8.059182;16.666637;
1.0226648;1.5356388;3.4285576;-8.34;-23.16;-24.42;10.168474;-5.0736127;8.056788;
0.42768204;0.9815841;1.4945582;-13.74;-21.48;-23.58;9.68724;-0.5722142;10.4605665;
0.49609894;0.36827537;0.5971971;-15.299999;-21.66;-24.0;8.425495;1.5466543;8.810962;
0.37698022;-6.872234E-4;-0.24457517;-16.14;-21.3;-24.0;6.0815716;3.7014358;7.012916;
0.3299436;-0.84001607;-0.4162283;-15.0;-22.32;-22.74;6.1749454;6.2348003;8.037635;
0.004352415;-0.8998809;-1.1187234;-15.48;-24.06;-22.02;2.3870192;8.253113;9.581895;
0.51809007;-2.0257056;0.5061782;-14.94;-23.82;-21.9;1.8004397;13.355156;10.441413;
0.30978504;-2.576095;0.6851617;-18.18;-24.779999;-18.9;8.023269;16.738462;14.818313;
1.4997505;-2.7789023;-0.25251642;-22.92;-24.96;-16.08;6.8644757;15.601217;17.576433;
2.1252766;-2.9175687;-0.7564803;-25.74;-26.34;-10.559999;-0.5793968;11.753435;14.983513;
2.8234956;-3.084335;-0.14622587;-25.26;-28.26;-3.48;-3.7014358;8.444649;10.429441;
2.0837376;-2.6280186;-0.11995866;-25.859999;-29.58;6.7799997;-3.6463692;4.232949;3.0813377;
1.1533899;-1.9560668;-0.40095666;-25.199999;-30.179998;14.28;-5.5117517;2.6408045;2.0278888;
1.5999324;-2.059303;0.8494845;-21.9;-28.8;20.16;-4.7979803;-0.20111294;-1.5251064;
0.7563275;-1.1973722;0.45853072;-22.56;-27.599998;24.48;-2.1332338;2.4372973;-5.234024;
-0.4537965;-0.8143597;0.53549975;-20.76;-27.539999;26.64;-0.9528923;3.2393548;-4.220978;
-0.10987939;-1.017167;0.9704358;-20.88;-26.4;27.48;1.1659763;4.426879;-2.2864625;
-0.024969118;-0.38186714;0.2764929;-22.32;-26.099998;28.14;3.916914;5.4518967;-3.6104562;
-0.6315583;-0.2596941;0.19341521;-22.439999;-27.06;28.439999;2.4708161;6.347328;-3.7349546;
-0.43058363;-0.51503575;0.39011383;-21.48;-27.24;28.859999;4.1659107;6.8237743;-2.291251;
-0.97547543;-0.03611741;-0.08269588;-22.38;-27.119999;27.9;3.6655228;4.879383;-2.0039468;
-1.149572;0.546648;-1.0460304;-21.24;-27.96;25.8;3.821146;1.958457;0.7445967;
-0.66271245;0.92843884;-1.2891548;-20.039999;-28.98;22.74;-0.17477672;-2.27928;-3.466804;
-2.6510787;-0.3928627;0.011377365;-18.24;-31.679998;20.1;1.4556746;-2.5067291;-0.9935937;
-1.933923;0.5826891;-1.3080915;-17.88;-32.7;16.44;2.6431987;-3.7493198;4.781221;
-4.133038;0.6480517;-2.249435;-16.26;-34.68;9.179999;-1.2114661;-4.1706996;4.2640734;
-5.1947217;-0.42707115;-2.389323;-10.38;-36.3;-1.62;-0.40462008;-1.2880806;12.567464;
-6.3339853;-0.04772385;-3.201163;-5.58;-35.579998;-13.44;-6.20607;6.754342;25.38183;
-4.0169735;-0.46433395;-1.7167604;0.35999998;-26.82;-38.76;-11.118972;12.402264;30.440779;
-2.1214585;0.814207;-1.9965367;0.9;-13.98;-52.86;-6.86687;13.108554;22.872408;
-0.5826891;0.22533292;-1.0496956;2.34;4.92;-53.16;-4.548983;10.647314;16.58284;
-0.19601138;0.026190847;-0.8810968;4.2599998;8.7;-46.62;-2.0709844;7.628226;12.349591;
0.13080151;-0.18639025;-0.6923394;4.08;7.62;-43.5;-2.777274;5.6170964;10.048764;
0.038560867;0.021914791;-0.50174946;4.98;7.08;-42.78;-2.9520507;3.8402996;10.041581;
0.27924177;-0.022678372;-0.3728569;4.3199997;5.94;-40.92;-2.8275523;2.9879637;10.529999;
0.3806454;-0.021456642;-0.21647537;4.62;5.52;-41.16;-3.1387985;2.1547816;9.407118;
0.12041681;0.023747386;-0.16821702;4.2599998;3.78;-42.12;-2.1978772;1.9273324;8.427889;
-0.11049025;0.13920091;-0.22258402;4.68;2.52;-42.42;-2.2888567;1.7812861;7.8221564;
0.03795;-0.20044015;0.57276255;4.5;3.0;-41.52;-2.6743233;1.5562311;10.70717;
