gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.4715116;0.47762027;-0.09063713;3.72;-16.08;-40.8;-4.3167458;4.7429137;7.142203;
-0.0066431593;0.51854825;0.62102085;5.16;-14.5199995;-41.82;-7.5516114;4.920384;9.38557;
-0.13675746;0.8337547;0.94844466;5.7599998;-15.719999;-43.26;-7.58513;5.806238;7.764695;
0.31161764;1.2680799;1.345507;8.4;-16.32;-44.28;-11.863568;6.098331;9.07193;
0.26091582;2.2845597;1.9099466;11.94;-18.359999;-44.16;-15.045762;4.793192;8.978556;
0.26335928;2.858773;3.3552537;16.859999;-23.1;-39.18;-16.20695;2.255338;11.190798;
0.3928627;3.547218;3.7614791;15.66;-26.939999;-30.119999;-10.994473;0.78050977;14.645631;
0.3195589;3.5905895;4.0137663;10.86;-29.88;-22.5;-5.4949923;-2.8323407;17.650654;
0.098425664;2.9473484;3.8604393;3.6599998;-29.76;-18.66;0.50038815;-4.357447;16.02978;
0.82291186;1.2772429;3.376023;-3.54;-28.98;-17.1;14.820707;-1.1659763;11.197981;
0.57184625;0.98402756;0.41454843;-7.68;-28.92;-16.56;17.104776;3.9073372;9.696816;
0.5632941;-0.21082486;0.3730096;-8.7;-28.199999;-16.56;10.865187;12.759;11.468526;
0.99823016;-2.3958898;1.5116624;-10.2;-29.279999;-13.74;11.341633;21.00493;15.902886;
2.0391445;-2.5321128;0.6711118;-15.54;-30.06;-11.34;1.2066777;19.709667;16.534956;
3.1802409;-3.3995414;1.2893075;-19.32;-30.779999;-5.16;0.5410896;13.910611;17.006613;
2.9475012;-2.9328403;0.22762366;-23.58;-30.06;4.56;-2.681506;4.5633483;11.367969;
2.717205;-3.4484107;0.6417903;-23.4;-30.3;16.199999;-3.430891;-0.4405331;5.75596;
1.5687783;-2.902297;0.12255484;-22.32;-28.38;23.22;-6.6753335;-3.9264908;-2.2625206;
-0.035353824;-2.0140991;1.2386056;-19.02;-26.76;29.16;-13.110948;-6.1294556;-3.9743748;
-1.1898892;-0.7832056;1.563586;-19.08;-26.76;31.14;-3.5865142;-4.5178585;-5.492598;
-1.0335076;-0.13568844;0.7413613;-20.82;-25.859999;30.06;3.2513258;-3.5577838;-0.9744401;
-1.920484;-0.2926808;-0.29894218;-20.939999;-26.76;27.66;5.9115834;-0.46447513;-4.9299607;
-2.38352;-0.0819323;-1.2384529;-20.88;-28.38;23.88;3.502717;0.9504981;4.5154643;
-2.803795;-0.446008;-0.43272167;-18.42;-31.439999;19.199999;1.5251064;2.9640217;3.4955344;
-3.6125808;-0.48021644;-1.3484087;-16.74;-33.48;13.799999;1.9440918;4.3358994;8.758289;
-3.6193001;-0.5785657;-2.0374646;-13.92;-35.399998;5.52;-0.7733272;5.7511716;12.567464;
-3.6803868;-0.6879106;-2.1413116;-10.559999;-35.76;-3.6;-3.6535518;8.655338;12.620136;
-2.668183;-0.8473464;-1.8774179;-5.64;-36.18;-15.42;-3.2944214;10.096648;15.421652;
-3.1978033;-0.40630174;-2.1822398;-4.14;-34.26;-22.5;-4.596867;13.501203;14.315231;
-1.0970377;-0.2242639;-1.7326429;-2.1;-28.619999;-33.899998;-8.224382;13.589788;14.772823;
-1.3462707;0.0035888334;-0.7796931;0.0;-22.08;-37.739998;-5.3513403;12.375928;11.892299;
0.015347989;-0.102701716;-0.3636939;-0.06;-17.699999;-39.18;-3.2225955;8.772655;11.73907;
-0.1501965;-0.08071057;-0.20792326;0.84;-17.22;-38.94;-3.0430303;5.8301806;7.752724;
-0.3908774;-0.2224313;-0.014278975;1.0799999;-15.24;-38.219997;-1.4317327;4.4723687;7.2331824;
-0.6541603;-0.33788484;-0.30871603;-0.24;-14.099999;-40.079998;0.14844051;3.5984852;6.6873045;
-1.154459;0.28641945;-0.26106852;-0.17999999;-11.4;-40.86;-1.8148049;3.3399115;9.945813;
-0.24549147;0.09216429;-0.2897792;-0.78;-8.46;-41.879997;-0.25378537;3.8546648;9.301773;
-0.6688211;0.42447498;-0.4797583;-0.12;-6.96;-41.82;-2.89459;3.8426938;11.681609;
0.26519188;-0.12102768;0.5959754;1.02;-4.62;-41.82;-0.8595184;4.367024;9.8955345;
-0.13003793;0.3187953;-0.057039544;1.02;-4.7999997;-41.28;-0.58897364;4.084508;9.653721;
0.20105103;-0.04955644;0.08040514;1.56;-4.5;-41.46;-0.34476504;3.5170822;9.390358;
0.16195565;0.16119206;-0.19204076;0.48;-4.56;-41.579998;-0.8810662;3.5003228;9.316138;
0.13568844;0.08544478;-0.021609358;1.62;-5.16;-41.04;-1.9488802;3.0071173;9.380781;
0.1118647;-0.051999904;0.13232869;2.8799999;-5.7599998;-41.52;-1.1180922;3.098097;9.349657;
0.09903653;0.07689266;-0.045433104;1.1999999;-5.2799997;-41.879997;-1.1851299;3.2202013;9.433454;
0.1961641;-0.04466952;0.046196684;1.86;-6.2999997;-41.64;-1.0462662;3.0358477;8.880393;
0.07032586;-0.01656972;0.08162687;1.38;-6.48;-41.52;-1.5586253;3.1316159;9.462184;
0.13507758;-0.02023491;0.07735081;2.1;-6.66;-42.12;-0.89782566;3.0789435;8.41113;
-0.02069306;0.007254025;0.054748796;1.8;-7.14;-41.64;-1.2545617;3.1411927;8.942642;
0.22853996;-0.1417971;0.1408808;2.34;-6.42;-42.059998;-1.151611;3.4237084;9.263466;
