gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.098883815;0.026190847;0.0828486;3.4199998;-33.899998;-23.34;-1.4341269;7.0991073;5.988198;
-0.061621033;0.08788824;0.22762366;4.62;-34.92;-23.76;-1.9369092;7.048829;7.0919247;
-0.15202908;0.14530957;0.24167356;4.5;-34.62;-23.16;-2.1045034;6.562806;6.1294556;
-0.3468951;0.48556152;0.25816694;3.6599998;-33.6;-25.619999;-6.4622498;6.5771713;7.6737156;
0.16562083;1.3603206;0.8818603;4.44;-33.6;-25.74;-13.40304;6.917148;7.771878;
0.3195589;1.8850538;1.9887482;4.38;-35.16;-25.98;-6.763919;7.970597;7.1709332;
7.6358156E-5;2.863049;1.6130661;4.44;-35.1;-27.06;-10.273819;6.4359136;9.68724;
-0.039629884;3.3205872;1.9649245;6.8399997;-36.059998;-25.32;-9.809343;5.9858036;12.253823;
0.40569088;3.6577847;2.7162886;7.08;-36.059998;-19.859999;-8.166922;4.4077253;13.407828;
0.62315893;3.5404985;3.0064497;4.14;-35.88;-16.199999;-2.1308396;3.8139634;14.60493;
0.5571855;3.2002466;2.2483659;-0.29999998;-34.86;-13.32;2.231396;3.5482068;13.642461;
0.6427066;2.5643358;1.627116;-4.2599998;-33.78;-11.58;5.1310735;2.9903579;11.626543;
0.40569088;1.9797379;0.6906595;-6.54;-32.28;-10.679999;6.3521166;2.908955;7.84131;
0.06727154;1.448896;0.50373477;-7.5;-33.36;-10.92;5.028123;3.7493198;7.4199305;
-0.007254025;0.7531205;0.6869943;-7.62;-31.679998;-11.759999;6.0217166;5.3872533;4.6806645;
-0.026190847;0.03901902;0.35040757;-9.12;-31.98;-12.12;7.644985;8.552388;6.8860235;
-0.10377073;-0.5987243;-0.199982;-9.059999;-31.679998;-12.179999;6.9195423;11.956943;5.552453;
0.42890376;-1.2902237;-0.22563834;-10.2;-32.219997;-12.0;5.806238;16.666637;7.3840175;
0.95791304;-2.177811;0.5055674;-9.719999;-32.579998;-9.96;4.9132013;19.44391;7.805397;
1.5999324;-2.8961885;0.73158747;-11.759999;-33.239998;-7.02;5.490204;19.111116;12.517186;
2.2621105;-3.074561;0.118889645;-14.7;-34.26;-1.62;2.9759927;16.405668;13.743017;
2.8864145;-3.1399238;-0.27145323;-15.96;-34.14;7.5;-0.32321724;10.070312;9.021651;
2.2627213;-3.070896;0.41454843;-14.759999;-34.38;15.36;-6.5077395;8.552388;6.926725;
2.3451881;-2.8045588;1.3039682;-13.74;-31.199999;23.279999;-8.511686;5.540482;5.006575;
1.8381699;-2.2205715;1.5440383;-13.08;-29.64;28.38;-5.1071315;4.3837833;3.0669725;
1.2853369;-1.4557682;0.7034877;-12.54;-25.8;34.26;-4.345476;0.5363012;-1.3072342;
0.87300277;-0.80214244;0.5733734;-11.759999;-24.119999;37.86;-3.550601;-1.0749966;-2.4899697;
0.00496328;-0.6097199;0.5031239;-11.639999;-23.1;39.54;-0.9672575;-0.6871359;-6.0935426;
-0.43547055;-0.38369974;0.47441322;-11.46;-22.26;39.78;-1.6017209;0.842759;-6.304232;
-0.8252026;-0.16867517;0.19769126;-11.639999;-22.26;39.66;2.195483;2.6072857;-3.5003228;
-1.3047318;-0.20288362;0.14576772;-11.34;-24.119999;37.5;1.163582;1.2473791;-1.7621324;
-1.8563432;-0.22182044;0.42432228;-10.92;-25.8;36.0;0.8619126;0.12928689;-5.818209;
-2.4788148;-0.1961641;0.37545305;-10.98;-27.359999;32.579998;4.7979803;2.4372973;-0.107739076;
-3.4726925;-0.24320072;-0.09857838;-11.94;-30.42;26.519999;7.388806;3.2513258;6.632238;
-3.5991416;-0.16378824;-1.3539065;-11.34;-34.62;17.46;-0.2705448;2.6647465;7.2834606;
-3.9845977;-0.59261566;-0.33437237;-9.66;-37.079998;11.04;-0.5506664;3.1962593;8.310574;
-4.8410306;-0.80153155;0.11766792;-8.76;-38.7;-0.42;1.3479356;7.5276694;14.037504;
-4.1666355;-0.46983173;-0.7870235;-9.0;-38.1;-10.559999;2.2002714;12.65605;18.486229;
-2.3926828;-0.37698022;-1.4583644;-12.3;-35.7;-27.72;-2.6839;15.625159;19.89881;
-1.7378353;-0.17783815;-0.67218083;-13.74;-29.82;-40.92;-1.6112977;15.625159;15.744869;
-0.81726134;0.08422305;-0.5078581;-14.759999;-21.72;-44.46;-1.472434;12.277765;11.909059;
-0.2363285;0.15202908;-0.5616142;-12.599999;-16.859999;-44.399998;-0.011971008;9.929053;9.9673605;
0.10331258;0.16730072;-0.48220176;-11.5199995;-15.36;-43.86;0.81163436;8.011298;10.003274;
0.08987355;0.15508342;-0.34353533;-10.44;-15.42;-42.96;-0.038307227;6.440702;8.913912;
0.33055446;0.09827295;-0.07780896;-9.059999;-16.26;-43.2;0.11252748;5.9020066;8.499715;
0.32139146;0.04085161;0.037644573;-8.28;-16.26;-41.94;0.9911995;5.4997807;8.976161;
0.21998784;-0.026343564;-0.011835515;-8.46;-17.76;-40.92;0.8643068;5.1095257;8.837297;
0.23587035;0.05673411;-0.104687035;-8.5199995;-18.96;-41.1;0.37349546;4.8027687;7.807791;
0.24320072;0.09582949;-0.08819367;-7.62;-19.56;-41.16;-0.45010993;4.9299607;9.170092;
0.24808764;0.042073343;0.13965906;-7.5;-20.64;-40.62;0.60573304;4.5920787;6.9698205;
