gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.3140611;-0.1381319;0.51656294;-4.7999997;38.1;-33.719997;2.1308396;0.16998832;9.45979;
0.19555324;-0.051999904;0.5086217;-4.62;38.46;-34.2;2.2409728;0.22505496;9.409512;
-0.013362677;0.22288945;0.23617578;-3.06;37.44;-34.8;1.1803415;0.30406362;10.122984;
-0.19906572;0.5454263;0.35834882;-3.06;38.28;-35.579998;-2.291251;-0.8690952;12.320861;
0.36903897;0.070173144;1.0901654;-1.02;38.219997;-35.04;-6.6298437;-3.5793316;14.561834;
1.2492958;-0.39713877;2.2563071;1.14;35.399998;-35.16;-4.355053;-3.406949;12.711116;
0.7734318;1.6877443;2.891607;1.86;29.519999;-37.26;-1.13964;-4.819528;14.557046;
1.2505175;1.3145057;3.272176;5.8199997;27.119999;-36.899998;-0.8379706;-5.6769514;13.508386;
1.3714688;1.6352099;3.597767;9.42;21.06;-38.34;1.922544;-5.834969;11.815684;
1.3018302;1.3792573;3.7718637;13.0199995;15.839999;-39.059998;4.4675803;-6.562806;11.873145;
2.0770183;0.6987535;3.861661;14.46;11.099999;-38.34;8.842086;-4.0462008;9.548376;
1.4808137;0.7720573;2.7834837;13.74;2.82;-38.52;10.575488;0.6464345;4.259285;
0.67141724;0.20273091;1.4915038;12.719999;-0.78;-38.1;10.249877;2.8514943;4.5058875;
0.40813434;-0.1259146;0.9527207;12.179999;-4.3199997;-38.46;7.829339;3.4261026;6.1869164;
0.9817368;-0.96279997;0.5813146;10.98;-5.46;-38.579998;9.917083;7.975385;7.975385;
0.436845;-0.78442734;-0.8084038;8.639999;-7.5;-38.52;9.960178;12.991238;12.038345;
1.4771485;-1.2944998;-1.042976;8.7;-9.12;-35.7;9.833285;13.474867;17.480665;
2.0024927;-1.0721449;-2.0136409;8.34;-12.84;-33.54;9.167698;10.2618475;16.484676;
2.2541692;-0.9047678;-2.4730115;10.26;-16.02;-30.359999;4.4244847;3.9480386;14.988301;
2.4832435;-1.1375074;-2.0961077;14.099999;-17.88;-25.859999;1.127669;0.9911995;10.163686;
1.7385988;-2.245617;-1.1999685;15.719999;-19.199999;-22.859999;-0.6440403;2.4612393;2.9759927;
0.74777544;-1.0031171;-1.5732071;15.42;-20.4;-21.72;-0.9744401;1.9728222;6.9099655;
1.1485031;-1.0910817;-0.426613;15.599999;-20.76;-20.16;-0.47165772;2.753332;6.2395887;
1.5284612;-1.5620588;-0.71616316;15.48;-22.5;-17.58;0.9648633;4.5441947;4.307169;
0.6457609;-0.73677987;-1.0881801;16.08;-23.519999;-15.9;-2.4013844;3.3159695;2.7006595;
0.87055933;-1.235246;-0.1297325;17.22;-23.64;-14.759999;-2.1906946;4.1060557;1.1013328;
0.27068967;-0.599946;0.03153592;15.719999;-25.32;-15.179999;-1.2138603;4.759673;0.045489833;
0.19372064;-0.81863576;0.028481591;15.24;-24.84;-14.4;-1.2378023;5.7152586;-0.4429273;
-0.3016911;-0.7569384;0.21968241;14.16;-24.72;-13.98;-1.2042835;5.6075196;-0.1412579;
-0.60773456;-0.5962808;0.27282768;12.78;-24.9;-15.96;0.21068975;5.2244473;0.22505496;
-0.8313112;-0.6695847;0.19585867;11.759999;-23.939999;-17.58;0.23702596;3.7493198;-0.22505496;
-1.3859769;-0.22731823;0.30581442;10.44;-23.76;-19.619999;-0.05746084;3.0262709;0.89064306;
-1.5460236;-0.62621325;1.0700068;9.599999;-21.18;-21.96;0.2801216;1.9129672;2.1978772;
-2.123902;-0.5303074;0.65950537;7.02;-18.539999;-24.3;2.1930888;2.0925324;0.557849;
-2.732324;-1.0837513;1.2948053;4.08;-15.299999;-28.92;3.9360676;-0.2633622;4.968268;
-3.4507015;-0.7239517;1.055346;1.26;-10.38;-31.56;3.2345665;-0.7422025;7.1254435;
-3.40733;-1.7801377;1.7779996;-1.74;-4.74;-36.96;7.592313;-0.49320555;10.922647;
-3.8050032;-1.0556515;1.159804;-6.6;0.29999998;-39.239998;10.024822;0.24420857;14.054263;
-3.6193001;-1.4948636;0.69188124;-9.12;11.219999;-40.62;11.059117;0.3854665;18.945917;
-3.2546136;-0.21693352;0.26977336;-11.94;20.34;-37.32;9.225159;0.6703765;18.917187;
-1.7940348;-0.87605715;0.51411945;-10.8;23.46;-33.54;9.493309;1.8770541;17.00422;
-1.6559793;0.1764637;-0.057650406;-8.82;25.98;-26.939999;6.4957685;0.7278373;14.918869;
-0.4489096;-0.21693352;0.56726474;-6.7799997;26.4;-26.16;5.976227;0.36870706;12.754211;
-0.69203395;0.2784782;-0.18593211;-5.58;26.58;-25.14;6.974609;0.521936;10.10383;
-0.31390837;0.383547;-0.12728904;-6.2999997;27.48;-26.039999;5.2866964;-1.5993267;10.281001;
0.17783815;0.32979086;0.13599387;-5.16;27.539999;-26.099998;6.004957;-1.4652514;8.90673;
0.3244458;0.17096591;0.04558582;-4.2599998;27.66;-25.38;6.4095774;-1.4053963;7.388806;
0.045280386;0.21250474;-0.12179126;-4.56;26.88;-25.019999;6.052841;-2.1691468;7.3217683;
0.11614075;0.025579982;-0.11690433;-5.46;27.0;-26.64;5.806238;-2.2290018;6.917148;
0.0092393365;0.039629884;-0.123623855;-5.52;26.46;-25.32;5.63625;-2.743755;7.544429;
