gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.026190847;0.23067799;0.27030787;9.78;-10.44;-48.719997;-4.4077253;4.685453;7.7096286;
0.029245174;0.19585867;0.124311075;11.099999;-10.559999;-47.879997;-5.394436;4.510676;7.2355766;
-0.13324498;0.1427134;0.33261612;11.7;-11.219999;-49.2;-5.834969;4.4939165;5.856517;
-0.07460192;0.35590535;0.45173484;11.5199995;-11.28;-49.68;-8.542811;4.970662;6.881235;
0.08055785;0.96615976;0.3277292;12.179999;-11.4;-48.6;-10.122984;4.0174704;5.0376997;
-0.07582365;1.880625;0.7272351;14.04;-9.24;-46.68;-16.671425;2.6671407;4.2640734;
-0.6298784;2.7040713;1.9672915;18.06;-9.48;-45.96;-16.451159;0.9624691;4.6782703;
-1.1069642;3.6600754;2.2592852;22.38;-10.139999;-43.98;-16.204556;-0.32321724;6.608296;
-1.964619;4.2544475;2.885422;28.619999;-11.34;-40.14;-17.246033;-2.054225;9.814132;
-2.1063397;4.282547;4.235434;34.32;-10.38;-34.26;-13.070247;-2.765303;14.703092;
-1.9890536;4.0320926;3.8768563;36.42;-14.5199995;-26.46;-6.402395;-1.3670892;15.63713;
-1.2511284;3.5317938;2.7577512;38.04;-18.48;-22.14;-2.7485435;-0.4189853;14.164396;
-1.1491139;2.5623505;2.7003298;38.52;-23.82;-18.06;-0.320823;0.8810662;13.541904;
-0.29023734;1.7303522;1.2812898;36.12;-28.019999;-15.299999;4.8698063;3.7684734;11.576264;
-0.1998293;1.6130661;-0.03023783;35.94;-30.179998;-12.78;1.5466543;4.2161894;9.411906;
-0.23159428;0.15920675;1.1407908;36.239998;-30.779999;-10.74;4.0438066;8.198046;10.709563;
-0.08315403;-0.36247218;0.32650748;35.34;-31.74;-10.679999;5.8900356;14.22904;9.660903;
0.4770094;-1.6135242;0.23243423;34.44;-32.46;-11.82;2.3415294;18.33779;11.355998;
1.1672871;-2.743625;1.1548407;33.48;-33.84;-13.139999;-2.6599581;18.390461;12.462119;
2.0505984;-3.187113;1.3271047;28.98;-36.54;-15.66;-3.9193082;15.096041;11.523592;
2.3499222;-3.3758705;1.1389582;25.019999;-38.64;-14.94;-7.0631943;11.777377;10.043976;
2.414674;-3.124194;1.5121969;20.34;-42.42;-13.92;-9.021651;9.81892;5.550059;
1.9553033;-2.824259;1.992337;15.42;-44.64;-11.04;-9.361628;7.0512233;-0.23463176;
0.92049754;-2.49317;2.1096232;10.26;-46.92;-9.0;-5.1430445;4.9898157;-1.0223241;
0.46662468;-1.623298;1.0986412;6.6;-47.76;-8.28;-2.231396;3.110068;-0.17238252;
0.79893535;-0.9708939;0.945314;3.06;-48.239998;-8.639999;-2.2409728;1.9393034;-2.9855695;
0.03352123;-1.3166437;1.0021244;0.0;-49.62;-5.8199997;2.315193;0.272939;-2.9712043;
-0.0538325;-0.5774967;-0.56596667;-2.04;-49.8;-5.2799997;1.6232687;0.35673606;-2.7222073;
-0.111253835;0.03214678;-0.9068295;0.06;-49.5;-5.2799997;0.78050977;-0.5530606;-4.402937;
-0.8045859;-0.038713586;-0.37659842;2.1;-49.2;-6.06;0.7565677;-0.2873042;-3.857059;
-1.8076266;-0.38690677;0.20250183;4.2;-49.14;-7.3199997;2.932897;0.82121116;0.095768064;
-1.7703638;-0.10896309;-1.0968086;2.1;-48.12;-12.3;4.9419317;1.3742718;2.4756045;
-2.640236;-0.20670153;-2.1395555;6.48;-46.2;-17.58;2.018312;1.2090719;3.6343982;
-2.808224;-0.9317986;-2.5470026;11.5199995;-41.399998;-22.439999;1.1659763;3.205836;8.238748;
-3.496669;-1.2793809;-3.2378912;15.24;-36.899998;-29.16;-5.916372;4.285621;10.264242;
-2.870532;-1.5707636;-3.2543845;18.9;-29.22;-34.739998;-8.233959;7.3337393;14.566623;
-2.957886;-1.7809013;-2.731484;20.22;-21.119999;-39.899998;-12.019192;8.188469;14.281713;
-2.1423807;-1.5603789;-2.8420506;18.66;-13.98;-44.46;-11.401487;9.31135;14.176368;
-2.2419517;-1.2806026;-2.4889705;17.64;-6.96;-45.899998;-10.891522;8.332121;12.129325;
-1.3458124;-0.5732207;-2.3698518;15.179999;-0.65999997;-47.879997;-10.951378;8.468591;12.002433;
-0.8956048;-0.43883032;-1.0577132;13.0199995;4.14;-48.3;-9.476549;8.93546;13.400646;
-0.022067508;-0.11323915;-0.75777835;12.719999;6.3599997;-47.82;-7.513304;7.0871363;10.527604;
0.3206279;0.101174556;-0.7150178;11.759999;6.8999996;-48.18;-6.0935426;5.8086324;10.012851;
0.5582545;0.11217013;-0.50426924;12.599999;6.6;-48.539997;-5.990592;4.3861775;8.901941;
0.7060839;-0.10713049;0.12064589;12.9;5.1;-48.0;-4.8602295;3.8905778;8.210017;
0.53626335;-0.001450805;-0.06688975;12.179999;3.3;-49.02;-4.525041;3.7804444;8.856451;
0.60590196;0.14943291;-0.13530666;11.46;2.8799999;-48.899998;-3.608062;3.1603463;7.6713214;
0.35178202;0.057803124;-0.12370021;11.94;1.5;-48.719997;-3.9121256;3.0358477;7.594707;
0.40920335;0.08712465;-0.07666359;12.24;0.9;-49.32;-3.6056678;3.074155;8.229171;
0.25098926;0.09750936;-0.2012801;12.48;-0.24;-48.899998;-3.9719806;3.0310593;7.716811;
