gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.12148582;-0.27068967;0.096898496;-10.0199995;8.46;-47.579998;4.283227;3.7421372;8.490138;
-0.010919216;0.15569428;0.0046578473;-9.12;9.12;-47.1;3.6487634;3.7924154;8.29142;
-0.19723311;0.05673411;0.028481591;-9.179999;8.099999;-47.1;2.8921957;3.8187518;8.772655;
-0.4721225;-0.09231701;-0.025885414;-9.84;9.12;-46.98;-0.44532153;3.7373488;9.517251;
0.42218423;-4.0201807;0.85314965;-10.559999;7.9199996;-48.0;-4.3957543;2.1523874;15.163078;
1.347645;1.3511575;1.7505107;-18.42;3.4199998;-47.52;-0.6488287;1.3910311;20.540455;
2.2688298;2.7121654;1.6423876;-15.24;-0.65999997;-50.039997;0.581791;0.21787235;17.22688;
1.5174656;3.4598644;1.1872929;-9.36;-6.3599997;-49.62;2.0566192;-1.6232687;15.055339;
1.2725086;4.0805035;2.2361486;-3.3;-10.98;-49.14;1.103727;-6.82138;19.391237;
2.6707792;4.047517;3.5458436;3.4199998;-16.08;-47.64;9.34008;-7.877223;16.422428;
2.286545;3.5368335;3.0308843;6.96;-22.32;-44.7;9.328109;-5.514146;9.620202;
1.5504524;3.3859496;3.4841464;10.44;-28.56;-41.579998;13.369521;-1.6280571;8.48535;
1.2413546;2.0487657;2.1286364;11.28;-34.559998;-40.02;14.540286;4.072537;-0.7685388;
-0.025579982;1.0542771;1.3381767;11.46;-37.68;-38.7;11.810896;4.345476;2.4779987;
0.7746535;-0.1698969;1.300303;10.44;-38.7;-37.62;10.149321;6.318598;2.4899697;
0.13935363;-0.72944945;0.33147076;8.94;-40.44;-37.02;10.819696;10.977715;1.6927006;
-0.55703276;-1.2364676;-0.9733374;7.02;-40.26;-36.36;9.330503;14.068628;6.1917048;
0.05138904;-1.4832572;-1.460197;6.96;-39.36;-37.38;7.776666;16.941969;13.383886;
2.4307091;-1.842446;-1.1407145;6.3599997;-39.3;-36.0;7.2690954;18.603546;12.782942;
2.1998022;-2.0812943;-2.5683064;7.7999997;-41.76;-28.439999;10.020034;18.100763;13.278542;
2.5785387;-2.033036;-2.973921;11.5199995;-43.44;-25.619999;5.6194906;12.433389;18.196531;
3.9438224;-2.095955;-2.380771;17.34;-44.04;-20.1;4.247314;8.363246;14.547469;
2.803948;-1.3849078;-2.5340981;20.88;-44.34;-13.139999;0.5674258;2.3798366;12.325649;
3.3573918;-0.90354604;-2.2604306;26.34;-42.0;-9.36;-0.7781156;-1.4101849;7.6713214;
2.159485;-0.5822309;-1.4699708;30.72;-40.379997;-4.14;-5.540482;-6.0672064;0.48602295;
1.7972419;-0.20899227;-0.10407617;33.18;-37.739998;-0.71999997;-4.0701427;-6.7806783;-2.9113493;
0.5492442;-0.6463718;-0.019776762;33.54;-37.92;2.28;-4.5513773;-8.243536;-5.9977746;
-0.11904237;-0.9188177;1.4157566;33.239998;-37.8;3.3;-2.2122424;-6.1749454;-4.620809;
-0.9724211;-0.9169851;1.6943111;30.779999;-40.5;0.12;2.0015526;-2.456451;-6.107908;
-1.938199;-1.3225996;1.6094009;27.66;-41.46;-3.3;3.7948096;-0.91219085;-3.4021606;
-3.2149074;-1.1692724;1.7089719;22.98;-43.44;-10.44;3.8259344;-1.3431472;-1.7166426;
-3.1794772;-2.4325418;2.9478066;19.619999;-42.36;-15.839999;7.034464;-1.5921441;2.8514943;
-4.105549;-3.0635655;3.1842115;10.139999;-40.86;-25.92;11.035175;0.007182605;10.664074;
-4.491616;-3.0550134;3.1579442;0.48;-36.3;-33.54;16.721703;3.6248214;13.628096;
-5.048114;-2.5925884;2.089541;-9.3;-28.859999;-42.0;13.70471;4.9491143;22.197243;
-3.4494796;-2.43132;2.0510564;-17.88;-14.94;-48.42;14.4014225;8.79899;22.295404;
-2.658409;-1.4514922;1.4151458;-24.18;-1.5;-46.739998;13.139678;9.5292225;20.064009;
-1.9980638;-0.81924665;0.7957283;-26.88;8.28;-40.26;9.2586775;8.054394;15.455171;
-1.4385113;-0.44112107;0.18852828;-21.66;14.099999;-31.199999;9.5292225;6.9458785;10.716746;
-0.8673523;-0.4179082;-0.09002627;-15.059999;15.839999;-26.46;8.044817;4.2305546;9.684845;
-0.64255387;-0.07826711;-0.2476295;-10.559999;15.42;-27.42;8.506898;3.2345665;8.5739355;
-0.4721225;0.10682506;-0.36980253;-9.3;13.92;-29.16;7.3576813;1.6304513;7.949049;
0.11797335;0.22838724;-0.15477799;-10.98;14.4;-30.24;7.8868;1.1013328;7.3864117;
0.2138792;0.17035505;-0.12728904;-10.98;14.4;-30.119999;7.8341274;0.8331822;5.7368064;
0.13568844;0.26870435;-0.20303634;-12.599999;14.58;-30.66;8.36564;1.0055647;5.394436;
0.07399105;0.12942708;-0.20670153;-13.86;13.799999;-30.599998;7.6258316;0.29209262;5.3896475;
0.20410535;0.007254025;-0.06314819;-14.639999;14.759999;-30.9;7.680898;0.29927522;5.614702;
0.061773747;0.12087496;-0.07047858;-14.5199995;13.559999;-31.619999;7.8963766;0.6440403;5.4734445;
0.15645786;5.345071E-4;-0.11018482;-15.059999;14.219999;-32.1;8.162133;0.7781156;5.741595;
0.0061850105;0.097662084;-0.055206947;-15.96;14.04;-31.679998;7.3121915;0.45968673;5.729624;
