gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.062384613;-0.15294538;-0.32650748;-43.62;9.0;-19.08;8.973767;1.7621324;3.526659;
-0.87361366;0.41210496;-0.49510628;-43.5;8.7;-18.42;9.893141;2.4253263;2.7102363;
-1.7758616;0.20685424;-1.4266758;-43.92;9.0;-18.359999;12.632108;4.831499;-0.12210429;
-1.8662697;-0.46876273;-1.4040737;-44.399998;7.62;-18.96;12.802095;6.34254;1.7788919;
-0.7575493;-0.8077929;-1.488984;-44.28;6.12;-15.96;15.340249;8.67928;3.6511576;
0.06895141;-1.5170075;-2.1273382;-46.14;2.82;-13.679999;15.780782;9.373599;3.787627;
-0.60300034;-1.573818;-2.893974;-45.719997;-3.6;-11.88;16.305113;9.184457;7.4582376;
0.283976;-1.4553101;-3.4394767;-46.26;-8.16;-7.9199996;15.218144;7.793426;12.074259;
0.5313764;-0.8187885;-3.5989125;-44.76;-16.02;-4.62;13.7885065;7.738359;12.004827;
0.99807745;-0.049098294;-4.077831;-40.559998;-23.699999;-2.3999999;12.586617;6.064812;13.096582;
0.9388235;1.1414781;-4.0381246;-35.34;-30.72;-2.1;9.71597;3.9336734;11.521198;
1.5203673;1.8183168;-3.5170567;-29.4;-38.52;-1.4399999;7.8221564;2.3463178;10.561123;
1.7983109;2.3002894;-3.1102204;-22.02;-42.719997;0.24;5.705682;1.0893618;7.43669;
1.5466344;2.5971699;-2.431549;-15.42;-46.86;1.5;3.5338416;0.8331822;4.486734;
0.8881217;2.8036425;-1.8176296;-8.34;-49.02;3.0;1.2593501;0.23702596;3.1364043;
0.8478046;3.901978;-1.2568552;-5.04;-50.52;5.2799997;2.171541;0.7685388;1.2617443;
0.48617238;3.1988723;-0.96486163;-1.8;-50.219997;7.3799996;0.78529817;0.46686932;-0.878672;
-0.04589125;4.0913463;-0.11759156;-2.3999999;-49.5;8.5199995;1.2330139;1.2473791;-0.51235914;
0.10132727;4.0669117;-0.2171626;-3.6;-48.3;7.56;2.255338;1.9871874;-3.3135753;
0.13125966;3.6148715;0.5842926;-6.24;-47.46;6.42;3.7900212;3.3399115;-1.2401965;
-0.650037;3.9630647;0.23976462;-9.54;-47.219997;5.1;5.3513403;5.099949;-4.247314;
-1.1485031;3.9984949;0.8249735;-10.559999;-45.96;1.3199999;7.058406;4.9610853;-0.8858546;
-1.1735485;3.2349133;0.8042041;-12.179999;-45.78;-4.08;7.266701;5.803844;-1.8411411;
-1.5431219;2.4713316;0.80664754;-13.559999;-44.76;-8.58;6.6657567;5.5476646;-1.9177556;
-1.5192982;2.0296762;1.3674219;-13.38;-43.559998;-14.639999;9.34008;6.634632;-0.7757214;
-2.2511148;1.4279739;1.3900238;-14.94;-40.26;-19.859999;9.421483;6.277896;0.19871874;
-1.7703638;0.39133555;1.8842138;-16.619999;-36.66;-25.14;10.376769;6.182128;1.2952632;
-1.7679204;-0.2879466;1.87444;-20.88;-32.76;-28.98;13.726257;6.6537857;1.0749966;
-2.6567292;-0.8487209;1.3900238;-25.619999;-27.779999;-30.9;10.522816;5.315427;2.5881321;
-1.9407952;-1.5389986;1.6490307;-28.5;-23.76;-33.48;13.017574;5.4016185;2.9831753;
-4.164345;-1.4430928;0.7987063;-34.02;-16.38;-33.239998;13.434165;3.4380736;3.181894;
-4.0971494;-1.8334357;0.6478226;-36.6;-8.5199995;-33.66;12.335226;2.111686;8.030452;
-3.678096;-1.673389;0.3173445;-39.239998;-1.4399999;-30.539999;12.677597;2.8083985;7.2930374;
-3.265151;-2.3563364;-0.18784106;-41.34;4.98;-26.82;12.126931;2.4157495;8.24593;
-3.6646569;-1.46936;-0.14263703;-43.98;9.059999;-20.46;11.071088;2.0446482;9.574712;
-3.3482287;-0.92813337;-0.6093381;-45.78;12.059999;-16.619999;9.854834;1.3239936;9.249101;
-1.8210657;-0.35208747;-0.44806966;-46.32;12.54;-12.179999;9.749489;0.557849;7.903559;
-0.87605715;-0.3581961;-0.30390546;-45.78;12.96;-9.3;8.293814;0.7541735;5.957073;
-0.90843296;0.22579107;-0.35705075;-46.8;13.08;-9.48;9.572318;1.2785037;4.5274353;
-0.8998809;0.35040757;-0.41447207;-46.379997;11.82;-8.34;8.88997;1.0319009;3.7924154;
-0.55290943;0.42432228;-0.38698313;-46.02;11.5199995;-8.639999;9.371204;1.0414777;3.3638535;
-0.3476587;0.024205536;-0.11942416;-47.52;11.46;-9.0;8.657733;0.7613561;3.5314474;
-0.17722727;0.17020233;-0.07849618;-46.5;10.0199995;-9.66;9.486126;1.2449849;3.4715924;
-0.29817858;0.22762366;-0.083383106;-46.5;10.8;-8.7;9.107842;1.3120226;2.645593;
-0.19494237;0.14210252;-0.09743301;-46.2;11.16;-9.54;9.44303;1.1755531;3.550601;
-0.117362484;0.1512655;-0.046120327;-46.559998;10.32;-9.9;8.988132;1.0630256;3.1364043;
-0.007406741;0.09934196;-0.004581489;-47.219997;10.98;-10.139999;9.421483;1.3383588;3.2130187;
-0.05627596;0.28748846;-0.04550946;-45.539997;10.38;-10.98;9.0839;1.0055647;3.265691;
-0.17783815;0.14393513;0.05467244;-46.86;10.74;-11.16;9.098266;1.0630256;3.5290532;
0.14408784;0.04375322;-0.12003502;-46.02;11.46;-11.7;9.608231;1.2665327;3.3303347;
