gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.20227276;-0.62453336;0.033292156;-40.62;-3.1799998;-21.18;7.9179244;4.4077253;4.6016555;
-0.49365547;-0.3374267;0.2556471;-39.18;-2.82;-20.34;7.6138606;4.417302;4.333505;
-0.6353762;-1.2537246;-0.6630942;-40.68;-1.86;-20.279999;10.788572;8.107066;0.0;
-3.3488395;-2.0576231;-1.5726726;-42.239998;-2.52;-17.46;10.427048;9.873987;-2.930503;
-2.857704;-2.502944;-1.2556335;-42.6;-3.6599998;-14.099999;13.608942;13.544298;5.293879;
-1.4264467;-2.9006174;-2.3722951;-44.399998;-8.58;-10.44;14.940417;13.857939;5.456685;
-0.14424056;-1.2897656;-2.6838365;-43.5;-15.179999;-4.74;18.244415;14.847043;8.676887;
0.3016911;-0.7552585;-3.6123517;-41.879997;-20.76;-1.26;19.96824;14.202703;11.530775;
-0.48754683;0.23678663;-4.3172903;-38.94;-28.199999;0.53999996;23.590668;9.079112;13.980043;
-0.65736735;1.858023;-4.6740355;-31.32;-34.68;2.04;19.436728;1.5945383;17.34659;
1.1599567;3.12679;-4.6312747;-23.58;-41.28;-0.42;16.98746;-2.956839;13.8603325;
1.756772;3.5995998;-4.018577;-12.719999;-48.36;-3.0;13.508386;-4.685453;8.047212;
1.7463874;3.7853029;-3.4358115;-2.1599998;-50.76;-0.78;9.845257;-5.0592475;3.3327289;
0.9901362;4.484133;-2.3344216;6.96;-51.84;3.36;6.2970495;-5.2005053;0.6607997;
0.92843884;4.207411;-1.4840971;13.139999;-50.34;8.04;5.123891;-3.6176388;-1.6950948;
-0.26274842;4.581871;-1.1224649;15.36;-49.379997;12.54;3.4715924;-2.3654714;-3.7181952;
-0.8956048;4.713818;-0.29229903;13.44;-48.6;14.58;3.6056678;-0.35434186;-3.6176388;
-0.30917418;4.6215773;0.06078109;10.0199995;-48.18;14.34;5.4135895;2.1332338;-5.5476646;
-0.9133199;4.501237;0.86834496;6.18;-47.46;14.34;5.981015;3.406949;-6.778284;
-1.511357;3.8805978;1.040609;2.58;-47.82;10.8;5.9618616;4.88896;-8.600272;
-1.8790978;2.782262;1.6759088;-2.28;-48.0;5.58;6.347328;5.660192;-6.476615;
-2.3378577;2.1567361;2.331978;-6.42;-47.16;1.1999999;7.8365216;5.741595;-6.7232175;
-2.1637611;1.1793517;2.8127291;-11.16;-44.879997;-6.66;10.340857;6.7208233;-4.390966;
-2.2889884;0.3552945;3.1774156;-16.68;-41.04;-13.0199995;13.40304;6.8357453;-2.918532;
-2.395279;-0.44371724;2.7913487;-23.279999;-35.76;-18.72;12.96969;6.112696;-1.6448165;
-3.4209218;-0.7564803;2.8365529;-27.599998;-28.8;-22.32;14.001591;5.957073;-0.2753332;
-3.7422369;-1.623298;1.8860464;-32.34;-19.8;-25.08;13.798083;4.6926355;2.6743233;
-3.4948363;-1.5151749;1.765706;-38.28;-8.94;-25.619999;13.541904;5.320215;2.9352913;
-4.503375;-1.9238437;0.5403103;-40.079998;-0.29999998;-23.939999;14.214675;3.3446999;6.778284;
-3.7434585;-1.4290429;0.22327125;-43.44;4.74;-19.859999;14.365509;3.4284968;12.447754;
-1.6506343;-0.9745591;-0.42363504;-44.16;8.5199995;-15.0;11.894693;3.98874;10.925041;
-1.2523501;0.2923754;-0.48166725;-44.52;9.42;-12.48;11.497256;4.4915223;7.278672;
-1.058095;0.5306128;-0.9221011;-44.82;8.94;-11.7;8.3033905;4.1012673;5.880459;
-0.64209574;0.3534619;-0.6728681;-43.2;8.7;-14.04;8.51408;2.4229321;2.942474;
-0.9328676;0.06574437;-0.5934556;-43.2;6.06;-13.74;8.77026;2.5091233;2.731784;
-1.0935252;0.11950051;-0.31673363;-43.32;6.12;-12.78;8.339304;2.336741;2.3774424;
-0.7239517;-0.12606731;-0.3472769;-43.379997;6.3599997;-13.38;8.830115;2.705448;3.6487634;
-0.38858664;-0.060704734;-0.10903945;-43.079998;7.08;-13.32;8.8205385;2.956839;3.6487634;
-0.13507758;-0.030772336;-0.10903945;-45.059998;7.2;-12.36;9.19164;3.3782187;3.5242648;
-0.3366631;0.07429648;-0.24220806;-45.0;6.54;-12.48;8.968979;3.4261026;2.8562827;
-0.21998784;-0.069867715;-0.21288654;-44.52;6.2999997;-11.639999;9.608231;3.4213142;3.5314474;
-0.391641;0.026648996;-0.13897185;-44.76;6.0;-12.48;8.346486;2.846706;3.5745432;
0.0011453723;-0.053985216;-0.12858713;-44.52;5.2799997;-12.9;8.957007;3.098097;3.4284968;
-0.118584216;-0.064369924;-0.07849618;-44.82;5.4;-12.48;8.985738;3.1794999;3.0238767;
-0.3665955;-0.051541757;-0.25320363;-43.98;5.1;-11.82;8.9402485;2.9735985;3.6487634;
-0.1698969;0.047418416;-0.04428773;-45.059998;5.22;-11.7;8.061577;2.468422;3.6008794;
0.056123246;0.04008803;-0.046120327;-45.3;5.4;-10.98;9.103054;3.0550013;3.3734303;
-0.08315403;0.04558582;-0.049785517;-45.48;5.04;-12.12;8.724771;2.920926;2.9113493;
-0.24930938;0.03153592;0.008246681;-45.6;4.68;-12.96;8.545205;2.8060043;2.8802247;
-0.08559749;-0.050320026;0.08582657;-45.3;4.7999997;-12.78;8.652945;2.7509377;3.3255463;
