gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.12034045;-1.3667346;-0.57986385;-18.66;15.42;-39.239998;6.778284;2.1643584;3.2010477;
-1.0781772;-2.361834;-0.46807548;-22.38;15.36;-38.76;9.8955345;2.2601264;3.0502129;
-0.6261369;-3.014849;-1.689806;-25.859999;14.4;-36.3;14.60493;3.1292217;4.1659107;
-2.4904976;-2.5945737;-2.3642013;-32.46;11.34;-32.46;13.417405;0.8738836;1.8243817;
-1.9456058;-3.3172274;-2.3232732;-37.98;9.3;-27.539999;15.385738;0.93134445;5.198111;
-0.47586402;-3.3441055;-1.8193095;-42.96;5.8799996;-21.119999;17.633894;3.7780502;6.682516;
0.17287487;-3.009962;-2.1913264;-45.36;2.1599998;-13.32;18.426374;7.1852984;2.384625;
-1.6157386;-3.3532684;-2.8296804;-47.34;-2.6399999;-7.56;19.810223;8.135797;4.5992613;
-1.7684549;-1.9568305;-3.8993056;-46.92;-9.48;-0.84;18.960281;5.2890906;8.298602;
-0.6872234;-1.3899475;-4.254829;-45.18;-18.6;3.3;18.704102;4.1299977;7.618649;
-0.45448375;9.92656E-4;-4.110054;-39.54;-28.98;5.04;11.514015;4.3622355;7.8868;
0.8051204;0.32841644;-4.251164;-35.28;-36.0;5.8199997;13.0798235;5.588366;5.5811834;
-0.0067195175;1.2245557;-4.1479278;-26.099998;-44.219997;5.22;4.177882;4.9012303;4.0557775;
-0.13927728;1.2978595;-3.5230126;-18.66;-48.0;3.6599998;4.6902413;6.455067;5.7607484;
0.7874053;1.9013945;-3.294549;-10.8;-51.18;3.24;3.3854012;4.51307;4.355053;
1.0433578;2.1793382;-3.2609513;-4.68;-52.079998;4.56;4.3957543;4.2904096;2.0015526;
0.44532076;2.4688883;-3.067918;3.24;-52.5;6.3599997;1.2521675;2.5187001;0.7733272;
0.6291912;2.1982749;-2.686738;8.04;-51.059998;9.84;0.1412579;2.815581;-1.2162545;
-0.204029;2.5947266;-2.538298;12.84;-49.559998;12.9;-2.3582888;3.2130187;-1.982399;
-0.25778514;2.7175105;-2.1736112;16.5;-48.6;15.66;-2.9999347;2.906561;-1.6519991;
0.44898596;2.7126236;-1.7704402;18.359999;-46.02;19.26;-3.3039982;2.0853498;-3.0310593;
0.6969972;3.0938034;-1.4472924;16.8;-42.78;24.18;-1.7860745;1.8866309;-4.2880154;
0.75441855;2.7211757;-1.2964088;14.94;-40.14;27.42;-1.2234371;2.3056161;-6.476615;
0.2779437;2.7834837;-1.3886495;11.58;-38.7;30.779999;0.15562311;2.8395233;-6.6537857;
-0.19181168;3.06326;-1.5028812;7.3799996;-37.2;31.619999;-0.7493851;1.6400281;-6.2228293;
-0.23701571;2.9258153;-1.4509577;0.9;-36.18;33.36;1.4748282;2.468422;-8.380005;
-0.61086524;3.1359532;-1.1840096;-3.0;-37.14;31.08;1.2952632;2.1164744;-8.267478;
-1.0512991;3.0449343;-1.0105238;-7.68;-38.76;27.599998;3.301604;2.992752;-9.067142;
-1.0415252;3.2110896;-0.58352906;-10.38;-39.66;24.779999;4.4843397;2.908955;-6.16058;
-1.4165965;3.2367458;-0.84436846;-12.599999;-42.42;19.08;5.147833;3.5865142;-8.305785;
-1.4624114;3.1634421;-0.38560867;-13.32;-44.04;14.16;7.3864117;3.7349546;-5.729624;
-2.2522602;3.2507958;-0.16814066;-14.099999;-45.3;10.32;5.9474964;3.4500446;-3.8115692;
-1.2797627;2.592283;0.117744274;-15.0;-46.62;4.92;10.163686;4.9634795;-6.344934;
-3.0628784;2.6093872;0.44089198;-16.26;-46.559998;0.17999999;8.346486;4.256891;-3.052607;
-2.3774874;2.043726;1.0700831;-16.199999;-46.44;-6.06;10.721535;4.271256;-0.8523358;
-2.52043;1.7382934;1.4671456;-17.82;-44.94;-12.24;11.389517;3.8953662;-0.1340753;
-2.5937338;1.1317042;1.64674;-18.359999;-42.84;-20.4;13.158832;4.0414124;0.92895025;
-2.6670377;1.0993284;1.927738;-21.48;-37.739998;-24.42;13.027151;4.6782703;0.32321724;
-2.2675319;0.5202281;1.5483906;-23.88;-29.76;-28.98;16.50383;8.2315645;-1.043872;
-6.6101727;1.9062814;-1.0428997;-23.82;-23.22;-33.18;13.022363;6.4502788;-0.2681506;
-6.197839;0.8421541;-2.0276144;-21.24;-13.86;-40.86;7.1829042;-0.2633622;11.305719;
-1.3946054;-0.757702;-1.2298244;-18.9;-3.24;-43.739998;7.1374145;0.9935937;13.458107;
-0.8179486;-0.2842814;-0.87979865;-19.74;0.29999998;-43.079998;9.002498;3.083732;7.996933;
-1.382388;-0.07047858;-1.5413657;-21.6;1.5;-42.6;9.0432;1.1444284;5.9953804;
-1.8167132;0.02603813;-1.8364136;-20.88;4.56;-42.239998;7.771878;0.32561144;5.329792;
-2.4092526;0.12255484;-2.1455114;-23.34;7.62;-41.28;7.807791;0.7757214;7.5755534;
-2.2876904;0.18730655;-2.347097;-23.82;10.98;-40.68;6.1414266;-0.35194764;8.487744;
-1.7867808;0.008933905;-1.7270688;-25.019999;12.78;-39.6;4.465186;0.30406362;9.766248;
-1.1343768;0.35040757;-1.6274977;-25.199999;13.2;-38.82;5.210082;0.91697925;9.095872;
-0.9828822;0.22029328;-1.1644619;-24.779999;13.559999;-38.94;4.920384;0.89303726;9.991303;
