gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.14538592;-0.37041342;0.06765333;-41.34;-17.22;-22.199999;7.7455416;2.2816741;5.408801;
-0.9401216;-0.13095424;-0.2780964;-40.32;-17.279999;-22.8;8.312967;2.5929205;5.1167083;
-0.41233405;-1.6685021;-0.5175556;-41.1;-15.839999;-23.519999;10.115802;2.9783869;3.821146;
-0.086132;-2.9659798;-1.7679968;-41.76;-17.76;-21.24;14.842255;3.289633;5.5548472;
-0.20952678;-3.6507597;-1.2194397;-41.28;-22.56;-14.82;12.272977;3.8402996;0.25378537;
-0.5143485;-2.6672668;-1.6232216;-40.559998;-27.779999;-9.599999;15.337854;5.5835776;2.4492683;
-0.34208453;-3.2133803;-1.970804;-38.1;-29.939999;-7.9199996;17.06647;7.6497736;3.1890767;
-0.26206118;-2.0228038;-2.7472138;-36.78;-32.28;-8.28;14.51395;7.7215996;3.3327289;
-0.56077427;-2.049682;-3.271947;-36.96;-39.719997;-5.3399997;14.530709;8.506898;1.6232687;
-0.3555236;-2.2549326;-3.2578971;-26.4;-43.559998;1.4399999;11.377545;7.3744407;7.1493855;
0.34269542;-1.6984345;-2.954297;-16.38;-44.94;3.48;9.067142;8.052;6.562806;
0.47219884;-1.4217125;-2.7618744;-8.28;-45.3;5.04;7.4917564;8.482956;5.5069633;
0.5039638;-0.76381063;-2.973234;-1.0799999;-43.739998;6.2999997;6.4215484;8.459014;4.841076;
0.48563787;-0.4113414;-2.7710376;6.3599997;-43.92;7.5;3.9217024;8.159739;3.98874;
0.9969321;-0.90980744;-2.909093;11.759999;-40.86;9.36;3.0454245;8.210017;1.721431;
0.25595254;0.070631295;-2.7789788;18.9;-37.92;10.08;2.2170308;7.910742;4.0462008;
1.2803736;0.36201403;-2.8840475;24.42;-35.28;11.219999;-0.44771573;7.716811;0.81881696;
0.13622294;0.38583776;-2.7246118;30.42;-28.8;14.04;-1.5705963;7.958626;-1.6807296;
-0.48502702;0.91179276;-2.9280298;33.42;-25.38;15.24;-1.8459295;7.654562;-0.50278234;
-0.027488936;0.7523569;-2.9176452;36.78;-20.1;16.02;-2.2960393;7.4654202;0.4357447;
0.6010914;1.3894894;-2.944523;38.879997;-15.54;18.42;-1.8315643;7.7192054;-0.22984336;
0.7733554;0.45242208;-3.6207511;39.899998;-7.14;20.88;0.4285621;6.232406;-2.0805612;
-1.1191051;1.4976125;-3.7722456;39.059998;-0.42;23.16;-3.301604;2.8060043;-2.054225;
-1.4453071;1.9863048;-3.2768338;37.079998;4.2;27.3;-3.4979286;-0.6344634;0.011971008;
-0.8949176;2.7847056;-1.9353738;32.88;7.7999997;31.08;-3.940856;-1.8626889;-1.2785037;
-0.81122905;3.3748014;-2.030058;26.34;9.42;36.48;-0.8283938;-0.7326257;-5.245995;
-0.4538729;3.3595297;-1.4198035;18.3;9.96;40.68;0.4333505;-0.6512229;-5.3441577;
-0.90469146;3.403512;-1.5370897;9.66;9.24;43.2;1.340753;-0.16280572;-7.0871363;
0.34330627;2.8384616;-1.2286028;1.1999999;9.179999;43.559998;2.4899697;-0.02873042;-5.2292356;
0.1740966;3.263624;-1.3391694;-6.06;8.46;44.04;4.5657425;1.3120226;-9.241918;
-1.2247849;3.5831065;-1.826029;-15.9;7.56;41.94;6.929119;1.3742718;-8.557177;
-0.58459806;2.5599072;-1.8962784;-23.64;4.08;39.6;4.8219223;1.1947067;-11.514015;
-3.2717943;2.9948432;-1.7386752;-29.519999;0.48;36.84;5.9977746;2.1380222;-11.882722;
-4.7073274;2.7028496;-1.2860241;-35.82;-10.62;31.08;3.9671922;0.9744401;-5.394436;
-4.373184;3.058984;-0.31780264;-39.12;-18.06;22.14;8.626608;4.355053;-6.1510034;
-4.7085495;2.9514718;0.2509129;-41.52;-22.98;12.24;8.887576;5.945102;-3.145981;
-2.7000244;1.9514854;1.2466233;-44.04;-23.939999;1.38;12.493244;7.190087;-1.1875241;
-1.8753563;0.9160688;1.6100881;-45.48;-21.84;-6.66;10.860398;6.3257804;-0.94570965;
-1.1838568;0.6540076;1.7566957;-48.48;-18.359999;-9.78;11.099818;6.4502788;-2.779668;
-1.885741;-0.23480132;1.0590876;-48.239998;-13.62;-11.639999;10.702381;6.2156467;-5.0736127;
-3.3903022;-0.3667482;0.54901516;-49.2;-10.74;-12.719999;8.473379;4.8626237;-0.79966336;
-4.4299946;-1.7405841;0.24724771;-50.64;-7.8599997;-13.679999;9.859622;4.345476;0.5626374;
-3.8227947;-1.333137;0.50808716;-50.28;-6.3599997;-10.86;8.425495;1.0582372;9.893141;
-1.8808541;-1.1352167;1.3694072;-50.52;-3.48;-8.4;13.948918;4.7309427;7.166145;
-3.5729508;0.16653714;0.00290161;-51.059998;1.38;-5.64;14.585776;5.243601;2.966416;
-4.9021935;0.30031663;-1.5395331;-50.879997;3.12;-4.74;11.64809;2.8993783;4.402937;
-5.050023;1.1182652;-2.8919888;-51.36;1.4399999;-5.64;12.1245365;4.6806645;5.564424;
-5.529552;0.55077136;-3.4637587;-49.44;-3.24;-9.24;3.9384618;-1.13964;6.9434843;
-1.8124372;-0.38690677;-1.2542591;-48.239998;-8.34;-10.74;4.8745947;-1.0055647;13.223475;
0.080634214;-0.119347796;-0.54443365;-47.46;-10.32;-12.3;5.3752823;0.074220255;9.134179;
0.27183503;0.009544769;0.11713341;-47.52;-11.7;-10.98;6.0073514;1.5682021;6.0576296;
-0.39584067;0.25022566;-0.7270824;-45.12;-12.84;-12.179999;7.285855;3.4524388;4.819528;
