gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.24678956;9.92656E-4;0.0096211275;-41.579998;14.759999;-25.08;8.389582;1.7357962;4.1371803;
-0.16065755;0.13110696;0.008399397;-41.7;14.82;-25.5;8.736741;2.0039468;4.3358994;
-0.17165314;-0.5414557;-0.3135266;-41.7;15.42;-25.38;10.185233;2.8898015;3.5697548;
-0.7305948;-0.40523273;-0.52855116;-41.52;14.5199995;-24.18;11.530775;4.283227;2.0757728;
-1.3579534;-0.6098726;-1.1797335;-43.26;13.679999;-22.619999;13.637672;5.609914;0.641646;
-1.8002199;-0.61048347;-1.8675678;-43.62;12.96;-21.6;13.417405;5.334581;4.0653543;
-0.36896262;-1.5958091;-2.505311;-44.879997;9.54;-18.84;14.1787615;6.7830725;3.7445314;
-0.3036;-1.7002671;-2.609769;-46.2;5.58;-16.199999;13.980043;6.407183;6.1414266;
0.5742133;-2.3190734;-2.5205827;-46.379997;-0.53999996;-12.84;12.531551;6.634632;6.854899;
0.42271876;-1.7760143;-2.7661505;-46.92;-6.6;-7.5;13.04391;7.7862434;6.098331;
-0.048258353;-1.1394928;-3.1687107;-44.94;-12.719999;-3.12;11.789349;7.573159;6.6394205;
-0.26389378;-0.48647782;-3.4698672;-41.219997;-19.38;-1.56;11.458948;8.564359;5.4518967;
0.2968805;-0.9910525;-3.8406625;-36.42;-25.199999;-0.78;8.054394;6.8165917;8.162133;
0.8185594;-0.4107305;-3.2707253;-28.08;-32.219997;1.0799999;4.759673;5.3106384;9.476549;
1.6982054;0.71142894;-2.9048169;-22.619999;-35.82;3.84;4.000711;6.4454904;8.849269;
1.9755383;1.2752576;-3.2701144;-14.94;-37.32;6.66;3.5314474;6.7806783;3.2585084;
1.1746938;0.9160688;-3.5602753;-9.66;-39.18;9.96;1.2018893;6.134244;2.4540567;
0.72692966;1.3644439;-2.9573514;-2.04;-39.12;12.0;-1.5993267;4.876989;0.4213795;
0.9816604;1.7101936;-2.261576;2.3999999;-40.44;12.84;-1.7310078;4.876989;-0.10295067;
0.05375614;1.726687;-1.9653062;6.0;-39.12;16.56;-4.367024;4.345476;-2.219425;
0.40317106;1.9777526;-1.517542;7.62;-38.1;16.32;-3.2920272;3.6343982;2.0039468;
1.5925257;1.8506926;-1.0618365;7.9199996;-37.86;20.039999;-1.1683705;4.644751;-0.92655605;
1.0726794;2.0015764;-1.5364788;8.88;-35.82;24.48;-0.94570965;4.759673;-3.5218706;
0.9388999;2.4902685;-1.5499178;8.58;-34.14;27.72;-1.3120226;3.229778;-1.6879122;
1.0299188;2.6729171;-2.120466;6.6;-30.66;31.5;2.3008277;3.916914;-6.82138;
-0.1863139;3.5715;-2.1449006;4.2599998;-28.5;35.28;-0.7206547;1.1109096;-4.9491143;
0.73975784;2.8702266;-1.7612772;0.53999996;-28.26;38.1;1.4173675;1.6256629;-7.427113;
-0.07269296;3.3350952;-1.6617062;-2.3999999;-26.88;37.44;1.7142484;0.48362875;-6.574777;
0.0036651916;2.5977807;-1.1137601;-8.16;-27.119999;36.719997;4.235343;1.7190368;-6.9482727;
-0.43188173;3.2703435;-1.540144;-12.599999;-26.64;33.899998;4.197036;1.2665327;-7.2834606;
-0.8185594;2.5513551;-1.2652546;-16.8;-28.439999;31.439999;4.4795513;2.3223755;-7.142203;
-0.9663888;3.2642348;-0.58352906;-18.9;-32.94;26.099998;6.9578495;3.311181;-5.708076;
-0.8570439;2.8305204;-0.311694;-22.74;-34.5;20.76;5.909189;3.6367924;-9.189245;
-2.053729;3.7779725;0.04260785;-23.939999;-37.14;16.08;8.238748;3.5098996;-6.0456586;
-2.149024;3.195818;-0.29764408;-26.939999;-36.6;7.14;6.172551;2.822764;-4.6375685;
-1.5790867;2.2990677;0.43967026;-27.779999;-38.04;-0.96;9.648932;3.2824504;-1.8411411;
-1.5949692;1.8696294;0.6394232;-28.199999;-38.399998;-7.8599997;11.49965;3.8259344;-2.4899697;
-2.4819455;1.7486781;0.63331455;-27.24;-36.54;-12.179999;11.164462;4.0222588;-0.82360536;
-2.0274618;1.277701;1.0334313;-28.68;-35.16;-18.84;12.23467;4.699818;0.62728083;
-1.1319333;0.41454843;1.6589572;-29.64;-31.74;-22.8;15.857396;7.082348;2.2290018;
-2.0109684;0.8073348;0.17638734;-30.9;-27.3;-25.68;13.417405;7.814974;-1.30484;
-3.9694023;1.558699;-0.6275113;-30.96;-22.74;-30.72;8.51408;3.5577838;2.2242134;
-2.1783454;-0.18715385;0.063988134;-29.039999;-19.56;-34.26;8.638579;3.1004913;5.358523;
-1.6762142;-0.28733575;0.12812899;-28.859999;-15.54;-36.54;9.426271;3.4811692;2.9951463;
-2.7354546;0.3693444;-0.6372852;-28.859999;-11.219999;-36.719997;11.183616;4.1180267;4.355053;
-2.7708848;0.99242693;-1.5731307;-29.16;-5.94;-37.98;10.427048;2.6886885;8.12622;
-2.0793853;1.1549171;-2.0697641;-26.64;-2.28;-39.719997;7.4199305;1.5682021;4.4196963;
-2.9993484;0.22029328;-1.5150986;-24.3;1.74;-39.6;7.288249;1.6280571;8.047212;
-2.393981;-0.1737148;-1.834581;-23.88;4.44;-39.96;5.6530094;1.30484;6.443096;
-1.9895881;-0.50358206;-1.3159565;-23.46;7.3799996;-39.899998;5.492598;1.6208745;9.445425;
-3.3652565;0.53672147;-3.1149547;-25.199999;10.26;-38.399998;9.897929;4.510676;7.226;
-1.7849482;-0.023441954;-2.479044;-24.72;12.9;-38.16;4.8937483;-0.8690952;12.2634;
-0.267559;-0.3777438;-1.122923;-26.34;12.9;-36.66;3.5913026;0.2657564;9.378387;
0.02443461;-0.62819856;-0.47662762;-27.9;12.059999;-36.54;5.042488;2.0087352;6.778284;
-0.679893;-0.5377905;-0.8266534;-29.519999;11.58;-35.52;5.708076;2.3415294;6.038476;
-0.5338962;-0.84077966;-0.70264775;-30.3;12.12;-34.14;5.6530094;2.0949266;7.549217;
-0.16371189;-0.6764569;-0.48579058;-30.96;10.98;-32.399998;6.0576296;2.3056161;7.970597;
-0.61453044;-0.49502993;0.0096211275;-33.239998;10.559999;-32.46;6.3760586;1.9440918;8.69604;
0.41416663;0.29848403;-0.36300668;-33.0;11.16;-31.5;6.878841;2.6599581;7.355287;
