gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.32436943;-0.091858864;0.70417494;-41.219997;8.5199995;-28.56;6.3377514;2.0853498;6.550835;
0.408058;0.034590244;0.5484043;-40.62;9.42;-28.38;7.1374145;2.540248;6.1629744;
-0.050701816;-0.033826664;0.3022256;-41.46;9.78;-27.359999;6.962638;2.1547816;5.813421;
-0.27305678;-0.17676914;0.22220223;-40.8;11.34;-28.199999;6.7734957;1.9440918;7.10629;
-0.30298916;-0.107741356;0.123242065;-41.399998;11.94;-27.539999;6.407183;1.7190368;6.9219365;
-0.20952678;-0.18348865;0.17638734;-41.04;13.5;-27.0;6.4933743;2.0614076;7.1469913;
-0.115453534;-0.22319488;0.12812899;-41.46;12.84;-26.76;7.25473;2.2577322;7.1038957;
-0.30298916;-0.24274258;-0.09483683;-42.36;13.139999;-26.939999;7.7431474;2.5761611;6.330569;
-0.43799037;-0.209145;-0.2499966;-42.12;13.559999;-25.92;8.569147;2.6671407;6.2755017;
-0.7165449;-0.2934444;-0.46196684;-42.12;14.16;-24.96;8.123826;2.3247697;5.5332994;
-0.28771752;-0.64408106;-0.34162638;-43.739998;13.679999;-23.519999;8.3512745;1.9967642;6.1677628;
-0.32253686;-0.7375434;-0.35811976;-43.8;13.32;-22.32;9.411906;2.966416;5.269937;
-0.7696902;-0.80534947;-0.70509124;-45.36;12.719999;-21.539999;9.682451;2.633622;5.126285;
-0.589485;-0.90614223;-0.8553641;-45.96;12.66;-19.859999;10.948983;3.0765493;5.8900356;
-0.4288274;-1.3710107;-1.2463179;-46.86;9.84;-18.3;10.831668;3.5697548;4.0414124;
-0.9370673;-1.1639273;-1.440573;-48.719997;8.76;-14.219999;10.465355;3.1723173;6.2371945;
-0.12156218;-1.4730252;-1.4705054;-49.26;5.8799996;-12.36;10.836456;4.7405195;5.3896475;
-0.47708577;-1.392391;-1.8241963;-50.579998;1.56;-9.599999;10.996868;4.642357;6.2515597;
-0.3585779;-1.1675925;-1.9872974;-49.379997;-2.34;-6.72;9.522039;4.185065;7.4534492;
0.14049901;-1.2751049;-2.1424572;-48.12;-6.48;-3.9599998;9.486126;4.7764325;6.5819597;
