gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.3627776;0.010155635;-0.61422503;1.8;14.759999;-48.6;0.31364042;0.90500826;10.649709;
0.64011043;0.26488644;-1.711339;1.9799999;14.219999;-49.739998;2.7844565;2.0470424;12.25143;
0.48556152;-0.37652206;-1.2458596;0.24;12.54;-50.16;1.2330139;5.4495025;12.031163;
1.117807;-1.3166437;-0.42180246;-2.04;11.04;-49.86;1.8124107;8.688857;17.571646;
2.1098523;-1.2726613;-0.8072584;-4.5;8.639999;-50.879997;1.091756;8.691252;19.412786;
2.8074603;-1.4485905;-0.569021;-7.98;1.5;-51.059998;-2.1308396;6.8979945;19.290682;
3.398778;-1.3270284;-0.44440445;-12.0;-4.3199997;-51.059998;-4.685453;5.4399257;19.64263;
3.7439167;-0.93729633;-0.34422258;-14.28;-12.059999;-49.14;-4.7620673;4.6232033;18.040909;
4.09944;-0.46326494;-0.2947425;-15.78;-19.98;-46.44;-5.822998;3.8905778;16.501436;
4.118377;0.10606148;-0.15851954;-15.96;-28.199999;-42.66;-5.4518967;3.098097;13.886669;
4.0487385;0.7963392;-0.06261369;-14.759999;-36.12;-37.26;-5.2412066;2.327164;10.680833;
3.7042105;1.2123384;0.31612277;-12.42;-41.399998;-30.66;-4.7860093;2.1523874;8.3273325;
3.40733;1.5623642;0.59223384;-12.24;-46.32;-23.699999;-2.585738;2.2936451;4.757279;
3.149545;2.1158082;0.43218717;-12.48;-49.26;-16.32;-1.4532804;1.9967642;2.540248;
2.5857162;2.3949735;0.30085114;-12.0;-50.52;-9.84;-0.20590134;2.4277205;1.8315643;
2.4672084;2.6387088;0.16340645;-12.42;-49.44;-3.3;0.6703765;2.0949266;-0.5386954;
2.1520019;2.5818982;-0.006414085;-15.299999;-48.42;2.28;1.5610195;2.6791117;1.340753;
1.9962313;3.0162234;0.11209377;-17.52;-48.18;4.3199997;1.7429788;1.757344;-1.3455414;
1.2002739;3.1897092;0.22815818;-19.32;-46.8;6.24;3.5697548;2.27928;-1.448492;
0.89300865;3.8152351;-0.4981606;-21.6;-45.84;5.64;3.8426938;2.6839;0.6991069;
0.13859005;3.6997817;-0.121256754;-22.32;-45.12;1.92;4.259285;3.1747115;-0.32800564;
0.48433977;2.9667435;0.11881329;-23.64;-44.28;-1.9799999;6.3856354;3.2369606;3.4500446;
0.021303926;2.8030314;-0.03940081;-23.34;-42.96;-5.64;6.1988873;3.9959226;1.9728222;
0.20578523;3.0431015;-1.131017;-23.46;-43.559998;-9.059999;7.048829;4.5513773;3.040636;
-0.5584072;3.0559297;-1.4779885;-19.619999;-44.52;-11.7;6.122273;4.086902;0.6344634;
-1.6488017;3.1127403;-2.223855;-15.299999;-45.539997;-16.02;7.5037274;4.173094;4.3861775;
-2.2169063;2.5360835;-2.164601;-8.5199995;-45.719997;-20.52;6.6777277;3.6607344;4.8338933;
-3.0146964;2.0052416;-2.3588562;-2.04;-44.219997;-24.06;6.7471595;3.4955344;8.497321;
-3.1270955;1.2862531;-3.125492;5.8199997;-39.36;-31.859999;6.4694324;3.205836;13.039122;
-3.1545844;0.5635995;-3.184746;12.84;-33.899998;-36.78;0.48841715;1.9656396;10.812514;
-2.8784733;-0.45959973;-2.8212812;18.9;-25.98;-39.84;1.4939818;3.6942532;18.177378;
-2.3005948;-1.0362566;-4.5915685;22.02;-17.279999;-42.36;-1.151611;1.5562311;14.914081;
-1.9688951;-1.6116916;-4.932431;22.5;-8.22;-45.899998;-5.969044;-0.35194764;16.072874;
-2.218739;-1.7301995;-4.9544225;19.5;0.9;-46.92;-6.608296;0.22984336;16.803106;
-0.82291186;-1.4021648;-4.4015894;14.4;8.82;-47.7;-10.266636;0.3184288;17.760786;
-0.5315291;-1.016098;-2.6606236;8.16;13.08;-47.94;-9.5052805;1.7860745;12.476484;
0.31268665;-0.6514114;-1.9721785;4.02;14.58;-48.539997;-5.9953804;2.6743233;12.047922;
0.19356793;-2.2907447E-4;-1.5128077;0.29999998;15.12;-48.18;-4.7189717;3.0334535;10.290578;
0.46967903;0.15859589;-1.1914927;-0.24;13.0199995;-47.879997;-4.209007;2.6671407;9.636961;
0.4647921;0.3449098;-0.7583892;-2.22;12.66;-49.079998;-2.9041667;2.3391352;10.015245;
0.4751768;0.46647197;-0.7162395;-1.38;11.7;-49.739998;-2.2864625;1.6065093;9.179668;
0.31940615;0.5061782;-0.4370741;-0.59999996;10.86;-49.379997;-1.8028339;1.2545617;9.428665;
0.25221097;0.38095084;-0.19456059;0.59999996;9.84;-48.84;-0.50278234;0.878672;9.036016;
0.08422305;0.23006712;0.1414153;1.1999999;9.059999;-49.44;-1.5011644;0.6991069;9.352051;
0.15202908;0.2832124;0.23671028;2.1599998;8.46;-50.16;-0.5482722;1.3335704;9.771036;
0.09277516;0.11461359;0.28069258;1.8;8.94;-50.1;-0.4309563;1.2114661;10.010457;
5.345071E-4;0.0846812;-0.025961773;3.54;9.0;-50.219997;-0.11731588;1.2641385;9.261071;
0.044516806;0.08040514;-0.2874121;3.06;8.28;-49.62;-0.58418524;1.3455414;9.725547;
-0.019013181;0.0846812;-0.3136793;3.36;8.58;-49.86;-1.0845734;1.115698;8.837297;
-0.030619621;0.029092457;-0.18051068;3.84;8.5199995;-49.92;-1.151611;1.2785037;9.268254;
