gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.2766456;-0.3806454;-0.1511128;2.1599998;-17.46;-42.899998;-3.9576154;1.5777789;8.813355;
-0.34994942;-0.15523612;-0.12667818;2.1;-17.279999;-43.26;-3.6894648;1.4820108;8.957007;
-0.22044599;-0.4179082;0.11644619;2.34;-16.44;-43.98;-3.3997664;2.516306;11.815684;
0.39347357;-0.15523612;-0.29100093;1.26;-16.32;-44.52;1.2162545;3.6128504;12.622531;
0.6139959;0.4049273;-2.0032563;1.14;-15.66;-43.92;2.2720973;4.367024;16.441582;
2.327473;-0.26397014;-2.1413116;3.54;-16.56;-43.02;3.643975;3.70383;15.565304;
2.0739639;-0.6109416;-2.50722;6.18;-20.34;-43.559998;0.062249243;5.219659;13.391069;
2.8198304;-1.987221;-0.56466854;7.62;-24.779999;-43.68;-4.331111;7.726388;13.79569;
2.5180628;-2.2987623;-0.21586451;4.62;-33.3;-42.84;-1.3096284;9.957784;14.506767;
3.1246521;-1.8552741;-0.5304601;-2.34;-41.1;-39.6;-6.9363017;8.8684225;17.092804;
3.6713765;-1.3592515;-0.499306;-7.14;-46.44;-30.66;-9.095872;7.8604636;15.83106;
3.7660606;-0.75021887;0.1915826;-9.12;-48.899998;-21.96;-13.2546;6.2252235;13.965678;
3.8491383;0.31390837;0.8665887;-11.4;-49.86;-12.179999;-12.495638;4.4675803;10.041581;
3.4575737;1.3560445;1.2043972;-13.2;-50.16;-3.06;-11.006445;3.095703;7.642591;
3.283477;1.6718618;1.5764141;-15.9;-49.62;4.38;-6.2755017;2.4875755;5.7990556;
2.9646053;2.2051473;1.3907111;-20.76;-47.579998;10.679999;-2.719813;2.6264393;2.9903579;
2.5510497;2.6962829;0.6735553;-24.66;-44.1;15.24;0.16759412;2.1164744;2.7581203;
2.1252766;3.2686636;0.22090414;-30.06;-40.92;16.5;-0.0023942017;1.4891934;0.51714754;
1.2816716;3.0267608;0.706542;-33.059998;-38.46;15.96;1.0414777;2.2529438;0.50757074;
0.9365328;2.9332986;0.7212028;-37.02;-36.42;14.219999;2.980781;2.2050598;1.7836803;
0.8296314;3.3627367;0.12194397;-40.2;-35.219997;10.98;3.6631286;1.6376339;1.2473791;
0.2578615;2.804406;0.5379432;-42.48;-33.42;6.24;5.8541226;3.0334535;3.9504328;
0.076434515;3.2827134;-0.29039007;-44.64;-32.46;1.38;5.1334677;2.7629087;-0.15322891;
-0.21433735;3.525838;-1.247005;-43.379997;-32.7;-6.2999997;6.65618;4.1826706;2.9879637;
-0.9394344;3.2607224;-1.3355805;-41.7;-34.079998;-11.34;3.9791632;4.1635165;2.7150247;
-1.0579423;2.867325;-1.2292899;-37.559998;-35.64;-19.68;3.5984852;3.8307228;3.4500446;
-1.929647;2.3071616;-1.0918453;-33.899998;-36.0;-24.48;4.867412;4.6016555;5.30585;
-2.260736;2.0548744;-1.5536594;-28.68;-34.8;-31.619999;3.3542767;4.6806645;6.6849103;
-2.5643358;1.5594627;-1.6892715;-23.519999;-33.059998;-36.54;3.2800562;5.195717;10.1660795;
-2.541734;1.0548879;-1.967826;-16.38;-27.48;-41.94;1.9752164;4.8362875;11.652879;
-2.2185862;0.7934376;-2.5878541;-12.719999;-23.4;-45.059998;2.1571758;4.9515085;12.735058;
-2.2631793;0.14469871;-2.7674487;-8.4;-18.42;-46.2;0.5674258;3.9193082;13.355156;
-1.2729669;-0.6708064;-2.7130816;-6.2999997;-13.259999;-46.739998;-0.055066638;3.5362358;14.298471;
-0.9742537;-0.8161923;-3.567682;-6.0;-10.679999;-47.039997;-3.0573955;2.432509;14.422971;
-0.25831965;-1.4740942;-3.127859;-6.8399997;-10.74;-46.68;-5.2292356;1.4341269;12.349591;
-0.37621662;-1.5871043;-3.0942616;-9.42;-10.62;-45.12;-6.1797338;2.2529438;12.146085;
-0.3206279;-1.235246;-2.9256628;-10.44;-11.4;-45.059998;-8.41113;2.554613;12.11496;
-0.26137397;-1.0281626;-1.7192038;-10.679999;-10.679999;-45.719997;-8.722376;3.095703;11.332056;
-0.37071884;-0.5431356;-1.1773664;-11.16;-11.88;-45.42;-6.2850785;2.516306;10.965743;
-0.05245805;-0.51381403;-0.53473616;-9.84;-11.7;-45.12;-3.7445314;2.0829554;9.814132;
-0.18562667;-0.09659307;-0.85360783;-10.679999;-11.94;-44.76;-1.6424223;1.6927006;9.557953;
0.1259146;0.13859005;-0.9696722;-10.2;-11.46;-45.36;-3.1483753;1.079785;9.974544;
-0.062842764;0.041462477;-0.3759112;-9.3;-11.82;-45.0;-2.6431987;1.1348516;9.840468;
0.0092393365;0.087277375;-0.13889548;-8.22;-11.28;-45.539997;-2.6431987;1.0821792;9.524434;
-0.13309227;-0.050778173;0.3308599;-8.5199995;-11.34;-44.46;-1.745373;1.4652514;10.041581;
-0.0048105638;0.028023442;0.24411702;-8.82;-10.86;-45.239998;-0.80684596;1.4628572;10.230723;
-0.034132097;0.17157678;-0.027718011;-9.12;-11.28;-44.16;-0.79248077;1.2186487;9.847651;
0.09720393;0.09094256;-0.024663685;-9.179999;-11.16;-45.18;-1.4413095;0.8331822;10.3097315;
-0.03901902;0.22044599;0.059024855;-9.599999;-11.4;-45.6;-1.4748282;0.533907;9.493309;
-0.009697486;0.010308351;0.12255484;-8.04;-10.98;-45.66;-1.6663644;0.7110779;9.86441;
