gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.25401914;-0.106551394;-0.030437581;15.179999;28.619999;30.599998;-1.9633054;3.9673133;8.193209;
-0.47881755;-0.33073893;-0.21552975;15.24;29.16;31.679998;-1.673598;3.6536634;8.892337;
-0.5490671;-0.3435671;-0.3340376;15.78;29.099998;32.52;-1.9058428;3.387899;9.407105;
-0.9687315;-0.6080718;0.037979323;14.4;30.72;32.88;-1.6927522;2.9736893;9.09585;
-1.4164957;-0.8499744;0.33852503;12.84;33.12;32.219997;-1.7047237;2.4780743;9.344854;
-1.0603614;0.08403856;0.93595123;11.639999;36.12;33.12;-0.31604427;1.9393626;10.091868;
-0.6816248;1.0308796;1.0770612;11.099999;39.36;33.059998;-0.7709565;2.4206119;9.222747;
0.05813299;0.11946875;0.69160515;14.639999;40.92;33.66;-2.1931558;1.2162915;7.59464;
0.23284045;-0.55859166;0.42954394;15.839999;40.44;34.44;-2.5403256;1.9417568;5.7965393;
-1.1568779;-0.89701104;0.6476229;14.94;39.6;32.94;-3.4645157;2.8108785;8.988108;
-0.7066703;-1.7894851;1.1424237;12.42;43.44;32.82;-7.1660647;3.0215747;10.221159;
-0.47881755;-1.0649989;2.4759426;11.099999;43.8;35.16;-5.978504;3.0239692;12.088694;
-0.05060102;-1.7247334;2.9707434;8.22;46.14;33.18;-3.675212;3.6488748;14.720001;
0.6683874;-2.9855592;2.4527297;8.28;45.12;35.28;2.1404817;2.3846977;21.45749;
2.7935877;-2.424174;2.1198082;4.56;45.42;34.86;5.2290964;1.0989721;25.185377;
4.977431;-2.0478811;0.62318826;0.48;37.14;35.28;14.502123;1.9704882;17.080757;
4.8650317;-1.5604106;-0.6889503;-4.56;27.06;36.42;16.44388;2.8946784;11.413508;
4.614577;-2.8022997;-2.371884;-8.16;11.639999;43.32;14.159741;1.7023294;4.783761;
3.5327346;-3.502962;-2.8685176;-11.759999;4.2599998;48.18;11.746312;-0.098165266;4.477294;
2.9145389;-3.7100453;-2.476342;-11.82;-3.78;57.96;9.251478;-0.71588814;2.308081;
2.2804606;-4.68743;-1.9821521;-9.179999;-9.96;69.659996;4.3168774;-0.45730647;-1.8268317;
1.3721042;-4.8432007;-0.925966;-7.08;-12.12;77.88;1.908237;0.12689656;-3.0527003;
1.3690498;-5.8358564;0.011712119;-3.8999999;-12.66;83.28;0.94573855;0.4668836;-4.285752;
0.47963;-5.5194283;0.85043013;-1.02;-12.66;89.82;1.2713599;0.4860378;-4.6472874;
1.0171914;-6.1168547;2.0129066;2.3999999;-11.94;94.74;1.3024855;0.071828246;-3.007209;
0.38616765;-5.428409;2.5626853;3.9599998;-10.2;97.439995;3.3615618;-0.32083282;-2.2769554;
-0.61565137;-4.4546905;3.1515596;4.02;-10.08;98.4;3.5339496;-0.9960183;1.0606637;
-0.58266467;-3.017935;4.0709114;2.34;-10.2;100.02;5.5738716;0.21069619;2.5020173;
0.12838249;-2.112022;4.33114;-4.7999997;-7.98;98.579994;5.956956;0.85236186;9.598648;
1.0801105;-0.4865096;4.7422523;-11.759999;-2.1599998;102.24;14.873235;3.4333901;6.589044;
0.58347714;0.28256977;4.277995;-15.36;1.1999999;104.04;10.187639;2.7486274;9.536397;
2.591391;1.5629433;4.010436;-25.38;14.639999;103.02;17.303425;2.221887;7.7694216;
3.227913;2.1982431;4.3201447;-30.96;24.0;101.82;19.21645;3.4286015;8.059129;
3.788687;1.8628782;2.8082533;-36.059998;34.5;98.04;23.43995;2.770176;-0.10055954;
4.3647327;2.4761868;1.544373;-43.559998;56.34;84.42;25.50621;0.20351335;3.727886;
4.7257543;1.7443703;0.36540312;-46.8;65.159996;74.46;24.002605;-0.9433443;-0.88109314;
3.3818507;2.339353;-0.46354106;-45.12;60.3;49.559998;20.983425;-4.0391417;0.22027329;
2.9267561;2.6918223;-0.96383965;13.98;-3.84;-18.119999;19.041668;-4.616162;-1.0917894;
2.1381292;3.073613;-1.070741;15.24;-5.46;-18.06;16.264309;-4.618556;-1.2330515;
0.8931858;3.4529605;-1.2283443;21.9;-12.059999;-19.08;12.79261;-3.6464806;-0.84039044;
-0.21370204;3.7809951;-0.6296964;24.9;-14.46;-20.76;6.699181;-0.27294734;2.6863763;
-0.22103243;3.7791624;-0.62847465;31.32;-16.199999;-25.26;6.7039695;-0.23942748;2.7342618;
-1.1141174;3.5855181;-0.61014867;13.5;-37.86;-27.3;4.333637;1.7406378;5.566689;
-0.6009906;2.1609805;-0.7640867;20.939999;-33.66;-28.68;2.2530127;2.516383;8.913885;
-0.51730204;1.1823742;-0.93268555;27.539999;-32.64;-29.16;0.15562786;2.4804688;9.435837;
-0.50752825;1.3699099;-0.8001278;28.38;-31.439999;-29.58;-1.1564348;2.1404817;9.933846;
-0.028609874;0.25630257;-0.29677483;33.239998;-31.08;-29.34;-1.2593886;2.3128695;9.26345;
0.18030605;-0.14503591;-0.3713004;33.3;-31.08;-29.64;-1.2905141;2.1979442;9.680053;
0.02087021;-0.12365562;-0.2955531;33.239998;-31.74;-28.98;-1.6807809;2.3224466;9.361614;
0.07279375;-0.26720896;-0.21614061;33.66;-31.98;-28.619999;-1.6305012;2.1548474;9.565128;
