gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.080634214;0.03436117;0.24732406;13.98;-26.039999;-37.44;-0.35194764;3.6056678;10.288184;
0.39706242;0.19257528;0.094607756;15.12;-27.3;-37.62;-1.2354081;3.7708676;8.078336;
-0.65118235;1.3306172;-0.034895677;14.88;-27.24;-36.84;-0.9528923;3.7229836;7.700052;
-0.77763146;2.1082487;-0.048334714;17.88;-26.039999;-35.46;-2.2218192;4.867412;10.731112;
-1.509448;4.780784;-0.99761933;21.6;-24.24;-33.36;-1.0223241;3.2249897;3.940856;
-0.86254174;-0.6430884;-0.14668402;27.48;-22.26;-29.4;-5.602731;-2.2361844;5.0831895;
-0.8399397;-0.77931136;1.6999617;26.699999;-20.58;-30.599998;-0.59136784;-1.5705963;6.790255;
-1.5265522;-0.5374087;0.673708;23.64;-21.3;-33.12;5.480627;-0.62249243;6.7974377;
-1.7427986;-0.4885395;-1.7239381;22.32;-19.859999;-35.399998;6.8620815;-2.030283;9.826103;
-1.1991285;-1.2032518;-2.327473;23.16;-15.36;-36.899998;7.8101854;-3.5362358;11.291354;
-1.3176364;-1.7518088;-3.6744308;21.539999;-8.28;-39.0;12.912229;-3.3135753;16.62833;
-0.38545597;-1.6106989;-6.420881;17.039999;1.62;-41.46;12.191574;-7.925107;19.91078;
-0.1966986;-1.4256067;-7.214395;12.3;5.94;-43.44;9.651326;-10.676044;20.585945;
1.0158689;-2.090228;-5.672571;-0.9;13.259999;-44.94;6.9482727;-7.692869;23.911491;
1.8112154;-1.8061758;-5.5931587;-11.099999;11.82;-46.92;4.9993925;-5.6051254;26.959608;
2.9999592;-1.4347697;-4.5461354;-18.72;5.7599998;-47.879997;0.44532153;-4.261679;25.671528;
3.6658022;-1.15255;-3.3115768;-23.519999;-4.02;-48.539997;-0.6991069;-1.364695;23.219566;
3.6645806;0.6763805;-4.590118;-23.64;-14.759999;-48.6;-1.2617443;-1.283292;22.800581;
3.9022071;2.3159428;-3.9108357;-19.14;-26.58;-47.219997;-9.397541;-4.3598413;18.347366;
4.234518;2.673299;-1.0629818;-9.78;-35.04;-42.059998;-9.9673605;-4.5657425;14.501979;
4.025602;3.1827607;0.016417004;-3.1799998;-42.18;-35.579998;-6.3281746;-3.6104562;13.520356;
3.7647624;4.254829;-0.61888283;1.0799999;-47.46;-25.32;-2.4732103;-1.5227122;10.446201;
2.810591;4.5755334;0.22288945;6.8999996;-50.7;-12.059999;-3.2441432;-2.1859062;7.7072344;
3.0457742;4.5755334;0.5991824;6.48;-51.6;-1.8;3.7445314;0.16280572;6.1510034;
1.6438384;4.9335003;-0.6793585;4.3199997;-50.879997;9.059999;6.320992;1.9847932;4.0581717;
1.8826867;4.4887905;-0.90965474;1.8;-49.32;14.94;6.476615;1.7405846;1.9608512;
0.34513888;4.712978;-0.48693597;-0.78;-47.1;19.619999;4.6830587;2.1068976;2.4372973;
0.5412266;4.124715;-1.1613312;-4.98;-47.039997;22.859999;8.540417;2.7150247;0.33518824;
-0.7348709;4.3544;-0.9041569;-8.88;-46.8;23.64;7.58513;2.6671407;2.980781;
-1.1588113;3.6629007;-1.6720145;-12.599999;-48.36;22.5;7.0081277;3.6750996;-0.9864111;
-2.0549507;3.6598463;-1.5748869;-13.38;-48.84;18.359999;7.226;4.3646297;2.4061728;
-2.257758;3.4118352;-2.190639;-13.08;-51.84;13.62;3.3446999;5.5428762;3.4452562;
-2.833193;2.6036603;-0.7184539;-10.26;-53.399998;5.8199997;5.1454387;7.1230493;9.43106;
-3.1587842;2.075262;-0.29940033;-10.38;-54.66;-1.4399999;6.644209;8.674492;8.243536;
-2.905275;1.4680619;-0.8100837;-8.58;-55.02;-9.78;8.083124;10.168474;10.472537;
-3.1202996;1.1388055;-1.3274865;-5.3399997;-53.1;-16.859999;5.39683;7.2355766;9.71597;
-2.9596422;0.5652031;-0.99517584;-1.62;-50.16;-25.199999;4.6686935;6.9722147;13.285725;
-2.4666739;0.08323039;-1.5089135;1.3199999;-47.16;-29.16;4.2760444;5.028123;11.142914;
-2.320677;-0.16417004;-1.9707277;4.08;-41.46;-33.6;1.7836803;3.3973722;11.47092;
-2.026851;-0.64858615;-2.2205715;11.88;-32.82;-35.82;1.6950948;3.0071173;12.407052;
-1.6811012;-0.9094256;-2.249893;14.099999;-27.779999;-39.239998;1.4628572;1.1827357;12.54831;
-1.700038;-1.2136365;-2.7813458;14.759999;-23.16;-41.219997;1.0989386;0.016759412;12.162844;
-1.2596041;-0.8049677;-3.0440178;14.28;-16.02;-44.579998;-0.5793968;-1.7190368;14.547469;
-0.7648033;-1.1036807;-2.8735864;13.559999;-10.559999;-45.0;1.0127473;-1.8866309;13.393463;
-0.8717047;-1.0132728;-2.9780445;12.9;-4.92;-45.48;-0.8762778;-1.7046716;12.304102;
-0.62125;-1.1226176;-2.4117723;11.219999;-0.96;-45.84;-1.1109096;-1.3862427;12.39987;
-0.6243043;-0.97112304;-2.0446424;7.68;1.86;-46.86;-1.7070658;-1.2761095;11.66485;
-0.6640105;-0.70295316;-1.3702471;5.1;3.72;-47.52;-3.8163576;-1.7741034;11.36318;
-0.47158796;-0.77747875;-0.028176159;2.34;5.52;-48.239998;-2.3463178;-0.50757074;11.719916;
-0.10629055;-0.25396723;-0.21510093;0.53999996;6.54;-48.059998;-0.050278235;1.13964;11.822867;
