gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.06780604;-0.3759112;0.17027868;-44.04;12.78;-24.3;7.680898;1.7166426;5.4997807;
-0.3145956;-0.3478114;0.08353582;-44.399998;12.66;-23.34;8.236353;1.8219875;4.711789;
-0.26511553;-0.65446573;-0.044745877;-44.16;13.0199995;-22.74;10.206781;2.4971523;4.7644615;
-0.59986967;-0.7039458;-0.8046622;-45.36;13.139999;-21.18;13.546693;4.8626237;1.4389153;
-1.5271631;-1.5976417;-1.8516853;-47.039997;11.94;-19.32;13.28333;4.7261543;0.25378537;
-2.207056;-1.3343588;-1.7918205;-48.18;9.719999;-16.68;11.933001;3.3375173;4.9012303;
-0.13439035;-2.004478;-1.508379;-50.1;6.72;-13.0199995;13.142073;5.4399257;6.4742208;
-0.08979719;-2.6355016;-1.7374535;-50.579998;4.02;-9.719999;14.279318;6.881235;4.1922474;
-0.22479841;-1.8535942;-2.3532057;-51.12;-1.56;-3.0;14.434941;7.403171;6.622661;
0.14172074;-1.7082083;-2.841287;-49.14;-6.48;1.74;14.923657;7.939472;6.5771713;
-0.22602014;-1.2256248;-3.3464725;-47.16;-14.4;5.3399997;11.688792;7.654562;6.584354;
0.8020661;-0.9189704;-3.8559341;-42.42;-21.06;7.02;13.886669;9.761459;8.494926;
0.9425651;0.3039818;-4.532162;-35.52;-27.66;9.78;9.510069;7.582736;8.133403;
1.8185458;-0.24274258;-3.9438987;-26.34;-33.54;11.82;5.7008934;6.644209;6.256348;
1.7299703;0.024205536;-3.3782375;-19.32;-36.3;15.24;5.51654;7.5875244;3.98874;
1.4428637;0.33880115;-3.4405458;-11.82;-36.66;18.48;4.1802764;6.4239426;3.0142999;
1.0952814;0.9655489;-3.199254;-5.1;-35.94;21.779999;1.9728222;5.5811834;1.5921441;
0.9419542;1.1243738;-3.2004757;-0.29999998;-34.68;23.1;0.4189853;4.6471453;0.78769237;
0.35308012;1.8433622;-2.9695687;3.36;-33.66;24.6;-0.90500826;4.0414124;-0.1388637;
0.13622294;2.1268036;-2.7710376;6.24;-32.219997;27.24;-1.9488802;3.490746;0.47644615;
0.50701815;2.3039546;-2.3348796;8.88;-29.88;29.34;-2.1571758;2.7126305;-1.4030021;
0.39767328;2.4847708;-1.9720258;9.84;-29.88;31.679998;-1.6376339;2.2266076;-1.8507179;
0.8032878;2.175673;-1.7796031;9.0;-27.0;35.46;-0.8690952;1.5993267;-2.9735985;
-0.02687807;3.562948;-1.476614;6.6;-23.46;39.48;-1.4460979;0.6344634;-5.969044;
-0.27672195;3.1274009;-0.98547834;1.8;-22.439999;41.399998;-1.4413095;-0.11971009;-4.956297;
0.56321776;3.2141438;-1.1302534;-4.14;-22.02;40.92;-0.62249243;0.32800564;-4.570531;
0.3744604;3.685121;-0.6776023;-8.34;-20.699999;40.86;4.1132383;2.4133554;-8.992921;
-0.14172074;3.2679;-0.914618;-15.78;-21.119999;39.0;2.0494366;0.7398083;-5.2531776;
0.19181168;2.9435306;-0.8877399;-21.779999;-19.74;36.0;5.856517;2.5474305;-7.901165;
-0.6762278;3.3253214;-1.0465649;-25.26;-20.939999;32.64;7.996933;3.7804444;-7.2212114;
-0.95294976;3.4029012;-1.4607315;-30.24;-23.039999;28.08;8.937854;4.0342298;-7.759907;
-2.5485299;3.0742557;-1.8480201;-32.82;-26.4;20.34;7.3241625;2.4396915;-6.6753335;
-2.6529877;2.9832368;-1.6794213;-32.94;-30.599998;12.3;5.39683;3.4883518;-5.3106384;
-2.588847;3.0382147;-0.29092458;-30.9;-34.62;1.68;7.3097973;4.9060187;-2.5067291;
-2.144748;2.0339522;0.32055154;-29.939999;-34.86;-6.7799997;9.478944;6.4574614;-3.107674;
-2.5094345;1.7376826;0.9460775;-29.939999;-32.88;-14.16;11.502045;8.040029;0.088585466;
-1.0684034;0.8445976;1.2289082;-29.88;-29.76;-21.119999;11.47092;7.558794;0.39983168;
-2.8393016;1.2911401;0.79213953;-29.64;-27.359999;-24.119999;11.346421;7.3457103;-2.695871;
-2.8166997;0.46463937;0.6046039;-29.939999;-21.48;-30.3;9.622596;5.1406503;2.992752;
-1.5222762;-0.36858082;0.9130908;-29.58;-17.64;-33.78;9.941025;5.5093575;2.6240451;
-2.6254988;-0.39484802;0.4335616;-31.92;-12.96;-35.1;10.692804;6.014534;1.9177556;
-2.588847;-0.5811619;0.12873985;-33.66;-8.639999;-35.82;10.087071;4.9754505;4.173094;
-2.6908615;-0.630642;-0.22128594;-34.14;-3.8999999;-35.46;12.071864;4.6160207;6.455067;
-3.1251867;0.34613153;-0.3923282;-34.38;0.24;-35.76;7.850887;2.6001031;5.8493342;
-1.5564847;-0.5750533;-0.5364924;-34.26;5.4;-35.76;11.801319;2.9951463;7.8604636;
-2.52043;-0.18532124;-1.2389874;-35.219997;6.8999996;-34.86;8.557177;2.4636335;4.3861775;
-2.406809;-0.3636939;-1.6372715;-35.94;8.46;-34.38;8.8684225;1.5825673;7.9562316;
-2.0726657;-0.6294203;-1.5370897;-37.26;10.139999;-33.36;6.8237743;2.3056161;6.61069;
-1.8777997;-0.15050192;-1.0997101;-38.76;11.4;-31.26;8.487744;2.2744915;10.592248;
-1.0958922;1.1310934;-1.2457069;-38.94;11.219999;-30.96;5.0831895;2.5234885;6.833351;
-0.71837753;-0.1437824;-0.7344127;-37.02;10.8;-31.8;4.3478703;2.3080103;5.8876414;
-0.32070425;0.1390482;-0.68737614;-37.86;10.44;-31.619999;7.1254435;3.1387985;6.1653686;
