gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.21548271;-0.674548;-0.6175084;-2.28;-26.16;-39.18;0.29209262;2.420538;8.221988;
-0.1910481;-0.18829921;-1.0530553;-1.74;-25.74;-38.28;1.1563994;1.9416976;10.393529;
0.063682705;-0.49312097;-0.8355873;-0.84;-25.019999;-37.86;1.3838485;2.7006595;10.187628;
-0.26190847;0.14767668;-1.9351448;-0.78;-25.439999;-39.78;4.594473;4.417302;11.458948;
0.64766985;1.3437508;-2.81418;2.1599998;-22.98;-40.079998;1.685518;3.809175;14.315231;
0.36911532;1.1006265;-3.0408108;7.2599998;-22.68;-40.5;-0.24660277;5.23163;10.757447;
1.4143058;-1.5829046;-1.7555504;11.5199995;-22.439999;-40.2;1.9488802;5.791873;16.396091;
2.7899742;0.8367327;-1.9039906;11.04;-26.16;-40.02;1.8531121;4.3981485;15.131953;
3.0440943;-0.7979427;-1.7506634;15.12;-31.619999;-34.02;-2.3582888;3.8402996;10.70717;
2.9170341;-1.7160732;-0.99746656;18.06;-34.02;-28.14;-3.4955344;4.156334;15.601217;
3.71177;-1.0227411;-0.53809595;18.359999;-35.7;-24.42;-2.930503;4.898836;15.213356;
3.6738963;0.64980793;-1.3926964;20.22;-38.28;-18.0;-5.717653;5.1334677;13.106159;
4.3250785;-0.18585575;-1.5612952;24.0;-39.42;-11.219999;-4.223372;5.5572414;11.061511;
3.7789652;0.4195117;-1.1788936;28.32;-36.48;-0.9;-7.759907;5.315427;7.889194;
3.684892;0.6302602;-0.05245805;32.04;-34.92;4.44;-8.01848;6.390424;4.663905;
3.099683;0.87888235;-0.33162346;33.719997;-32.399998;13.559999;-6.2946553;7.4941506;2.0159178;
2.6794076;1.3559681;-0.5643631;35.399998;-29.699999;16.98;-6.8046207;6.8261685;2.8299465;
2.4301746;1.8440495;-0.51610476;34.739998;-26.519999;23.58;-7.0153103;4.8698063;1.7310078;
2.5505152;2.213623;-0.34322992;34.38;-24.48;28.199999;-6.7016697;2.5019407;0.80684596;
2.2872322;2.6125178;0.2590832;28.859999;-20.939999;36.3;-4.630386;3.2106245;-1.115698;
1.7154623;3.0584495;-0.14164437;22.56;-17.76;41.28;-0.93373865;3.7349546;-3.787627;
0.72402805;3.3864841;-1.0292315;14.4;-15.66;45.239998;-0.6607997;2.7581203;-3.7349546;
0.4558582;3.6265543;-0.9540951;7.9199996;-14.34;46.379997;0.09816227;1.9608512;-3.2249897;
0.54321194;2.9136746;-0.7897724;-2.3999999;-13.559999;47.46;1.4748282;2.0111294;-3.301604;
0.012370021;3.7395644;-1.1666763;-10.139999;-12.48;45.48;3.3662477;2.8323407;-1.4221559;
0.21884248;3.686419;-1.4812719;-18.18;-13.799999;42.36;3.2034419;1.9895816;-3.3375173;
-0.68401635;3.4909422;-0.87101746;-25.98;-15.719999;37.559998;4.462792;4.249708;-0.16998832;
-0.36147952;3.1818442;-1.4293483;-33.239998;-17.039999;30.9;4.783615;4.2042184;-3.394978;
-1.1336132;3.1048753;-1.4409548;-36.78;-20.64;25.74;6.3760586;5.693711;0.7422025;
